accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.5,4,0.940478,8,600,,,,0.030027,600,4,,11,pairwise,0.970506,0.0,0.022222,static_learned_interaction,,,40,,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
1.0,0.511111,4,0.940478,8,600,0.0,0.0,0.5,0.032311,600,4,0.522222,11,pairwise,0.972789,0.0,0.188889,candidate_regret_gate,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.411111,0.011111,0.088889,0.511111,0.0,0.133333,0.0,0.0,0.133333,0.222222,0.0,0.0,0.133333,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.744444,0.511111,4,0.940478,8,600,0.0,1.0,0.5,0.032761,600,4,0.388889,11,pairwise,0.973239,0.0,0.111111,uncertainty_regret_gate,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.288889,0.022222,0.077778,0.388889,0.0,0.122222,0.0,0.0,0.122222,0.111111,0.0,0.255556,0.122222,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.744444,0.511111,4,0.940478,8,600,0.0,1.0,0.5,0.032761,600,4,0.388889,11,pairwise,0.973239,0.0,0.111111,train_selected_candidate_regret_gate,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.288889,0.022222,0.077778,0.388889,0.0,0.122222,0.0,0.0,0.122222,0.111111,0.0,0.255556,0.122222,0.740278,0.338009,0.2125,0.969248,uncertainty_regret_gate,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
,0.511111,4,0.940478,8,600,,,,0.0,600,4,,11,pairwise,0.940478,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
1.0,0.511111,4,0.940478,8,600,0.0025,0.0,0.5,0.032311,600,4,0.522222,11,pairwise,0.972789,0.0,0.188889,candidate_regret_gate_m0p0025,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.411111,0.011111,0.088889,0.511111,0.0,0.133333,0.0,0.0,0.133333,0.222222,0.0,0.0,0.133333,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
1.0,0.511111,4,0.940478,8,600,0.005,0.0,0.5,0.032311,600,4,0.522222,11,pairwise,0.972789,0.0,0.188889,candidate_regret_gate_m0p005,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.411111,0.011111,0.088889,0.511111,0.0,0.133333,0.0,0.0,0.133333,0.222222,0.0,0.0,0.133333,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
1.0,0.511111,4,0.940478,8,600,0.01,0.0,0.5,0.032311,600,4,0.522222,11,pairwise,0.972789,0.0,0.188889,candidate_regret_gate_m0p01,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.411111,0.011111,0.088889,0.511111,0.0,0.133333,0.0,0.0,0.133333,0.222222,0.0,0.0,0.133333,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.866667,0.511111,4,0.940478,8,600,0.02,0.0,0.5,0.031749,600,4,0.444444,11,pairwise,0.972227,0.0,0.155556,candidate_regret_gate_m0p02,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.355556,0.011111,0.077778,0.444444,0.0,0.133333,0.0,0.0,0.133333,0.166667,0.0,0.133333,0.122222,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.033333,0.5,4,0.940478,8,600,0.05,0.0,0.5,0.031643,600,4,0.033333,11,pairwise,0.972121,0.0,0.022222,candidate_regret_gate_m0p05,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.022222,0.0,0.0,0.966667,0.011111,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
