source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate,0.988432,0.955668,0.032763,0.986702,0.504445,0.237778,0.00173,0.052791,0.031034,0.977778,0.435556,0.055405,0.050428,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate_m0p0025,0.988432,0.955668,0.032763,0.986621,0.504445,0.235556,0.001811,0.055275,0.030952,0.964444,0.428889,0.055405,0.050428,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate_m0p005,0.988432,0.955668,0.032763,0.986936,0.502222,0.231111,0.001496,0.045649,0.031268,0.948889,0.426667,0.055405,0.050428,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate_m0p01,0.988432,0.955668,0.032763,0.987405,0.497778,0.208889,0.001026,0.031322,0.031737,0.864444,0.397778,0.055405,0.050428,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate_m0p02,0.988432,0.955668,0.032763,0.988037,0.502222,0.128889,0.000395,0.012056,0.032368,0.566667,0.271111,0.055405,0.050428,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,candidate_regret_gate_m0p05,0.988432,0.955668,0.032763,0.988855,0.506667,0.006667,-0.000423,-0.012911,0.033186,0.011111,0.011111,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,train_selected_candidate_regret_gate,0.988432,0.955668,0.032763,0.988103,0.506667,0.153333,0.000328,0.010023,0.032435,0.62,0.282222,0.055405,0.050428,0.287891,0.165278,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate,0.988432,0.955668,0.032763,0.989253,0.508889,0.073333,-0.000821,-0.025059,0.033584,0.391111,0.2,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p5_m0p0025,0.988432,0.955668,0.032763,0.989324,0.511111,0.055555,-0.000892,-0.027226,0.033655,0.317778,0.162222,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p5_m0p005,0.988432,0.955668,0.032763,0.989456,0.508889,0.044444,-0.001025,-0.031273,0.033788,0.262222,0.135555,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p5_m0p01,0.988432,0.955668,0.032763,0.989433,0.508889,0.017778,-0.001002,-0.030571,0.033765,0.137778,0.08,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p5_m0p02,0.988432,0.955668,0.032763,0.98886,0.506667,0.006667,-0.000428,-0.013063,0.033191,0.017778,0.013333,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p5_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0,0.988432,0.955668,0.032763,0.989566,0.508889,0.011111,-0.001134,-0.034612,0.033897,0.091111,0.057778,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0p0025,0.988432,0.955668,0.032763,0.989593,0.506667,0.006667,-0.001161,-0.035448,0.033925,0.066667,0.046667,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0p005,0.988432,0.955668,0.032763,0.98899,0.506667,0.006667,-0.000558,-0.017044,0.033322,0.035556,0.024444,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0p01,0.988432,0.955668,0.032763,0.98886,0.506667,0.006667,-0.000428,-0.013063,0.033191,0.017778,0.013333,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r0p75_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0,0.988432,0.955668,0.032763,0.988855,0.506667,0.006667,-0.000423,-0.012911,0.033186,0.011111,0.011111,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0p0025,0.988432,0.955668,0.032763,0.988488,0.506667,0.006667,-5.7e-05,-0.001728,0.03282,0.002222,0.002222,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0p005,0.988432,0.955668,0.032763,0.988488,0.506667,0.006667,-5.7e-05,-0.001728,0.03282,0.002222,0.002222,0.055405,0.050428,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0p0025,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0p005,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_penalty.csv,2048,8,uncertainty_regret_gate_r1p5_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.055405,0.050428,0.0,0.0,5,partial_but_insufficient_gap_closure
