source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate,0.988432,0.955588,0.032844,0.984805,0.511111,0.266667,0.003626,0.110408,0.029217,0.96,0.404445,0.082981,0.049787,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate_m0p0025,0.988432,0.955588,0.032844,0.985459,0.511111,0.257778,0.002972,0.090502,0.029871,0.904445,0.386667,0.082981,0.049787,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate_m0p005,0.988432,0.955588,0.032844,0.985832,0.511111,0.237778,0.002599,0.079139,0.030244,0.84,0.362222,0.082981,0.049787,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate_m0p01,0.988432,0.955588,0.032844,0.98471,0.524444,0.22,0.003722,0.113325,0.029122,0.708889,0.291111,0.082981,0.049787,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate_m0p02,0.988432,0.955588,0.032844,0.986322,0.522222,0.133333,0.00211,0.064232,0.030734,0.393333,0.164444,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,candidate_regret_gate_m0p05,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,train_selected_candidate_regret_gate,0.988432,0.955588,0.032844,0.983868,0.524444,0.226667,0.004564,0.138962,0.02828,0.764444,0.308889,0.082981,0.049787,0.399151,0.193056,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate,0.988432,0.955588,0.032844,0.987385,0.513333,0.075556,0.001046,0.031854,0.031797,0.22,0.097778,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p5_m0p0025,0.988432,0.955588,0.032844,0.987822,0.511111,0.055555,0.00061,0.018573,0.032234,0.16,0.077778,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p5_m0p005,0.988432,0.955588,0.032844,0.988763,0.502222,0.028889,-0.000331,-0.010078,0.033175,0.111111,0.068889,0.082981,0.049787,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p5_m0p01,0.988432,0.955588,0.032844,0.988823,0.504444,0.017778,-0.000391,-0.011917,0.033235,0.053333,0.035556,0.082981,0.049787,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p5_m0p02,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p5_m0p05,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0,0.988432,0.955588,0.032844,0.989002,0.504444,0.013333,-0.00057,-0.017361,0.033414,0.035555,0.024444,0.082981,0.049787,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0p0025,0.988432,0.955588,0.032844,0.988632,0.506667,0.013333,-0.0002,-0.006089,0.033044,0.024444,0.013333,0.082981,0.049787,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0p005,0.988432,0.955588,0.032844,0.988338,0.506667,0.011111,9.4e-05,0.002856,0.03275,0.015556,0.006667,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0p01,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0p02,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r0p75_m0p05,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0p0025,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0p005,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0p01,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0p02,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate_perturbed.csv,2048,8,uncertainty_regret_gate_r1_m0p05,0.988432,0.955588,0.032844,0.988432,0.506667,0.006667,0.0,0.0,0.032844,0.0,0.0,0.082981,0.049787,0.0,0.0,5,partial_but_insufficient_gap_closure
