source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate,0.988432,0.955668,0.032763,0.985735,0.517778,0.24,0.002697,0.082306,0.030067,0.982222,0.404445,0.050928,0.049808,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate_m0p0025,0.988432,0.955668,0.032763,0.985841,0.515556,0.228889,0.002591,0.079083,0.030172,0.928889,0.386667,0.050928,0.049808,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate_m0p005,0.988432,0.955668,0.032763,0.985753,0.513333,0.226667,0.002678,0.08175,0.030085,0.891111,0.371111,0.050928,0.049808,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate_m0p01,0.988432,0.955668,0.032763,0.985339,0.517778,0.197778,0.003092,0.09438,0.029671,0.768889,0.32,0.050928,0.049808,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate_m0p02,0.988432,0.955668,0.032763,0.988434,0.513333,0.104444,-3e-06,-7.9e-05,0.032766,0.433333,0.213333,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,candidate_regret_gate_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate,0.988432,0.955668,0.032763,0.988296,0.511111,0.064444,0.000136,0.004145,0.032627,0.248889,0.126667,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p5_m0p0025,0.988432,0.955668,0.032763,0.988827,0.511111,0.046667,-0.000395,-0.012062,0.033158,0.18,0.1,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p5_m0p005,0.988432,0.955668,0.032763,0.989211,0.506667,0.031111,-0.000779,-0.023789,0.033543,0.135555,0.082222,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p5_m0p01,0.988432,0.955668,0.032763,0.989738,0.504444,0.011111,-0.001306,-0.039874,0.03407,0.075555,0.057778,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p5_m0p02,0.988432,0.955668,0.032763,0.988455,0.506667,0.006667,-2.3e-05,-0.000714,0.032787,0.006667,0.004444,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p5_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0,0.988432,0.955668,0.032763,0.9897,0.504444,0.008889,-0.001268,-0.038708,0.034031,0.051111,0.042222,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0p0025,0.988432,0.955668,0.032763,0.988993,0.504444,0.008889,-0.000561,-0.017129,0.033324,0.026667,0.02,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0p005,0.988432,0.955668,0.032763,0.988693,0.506667,0.006667,-0.000261,-0.007978,0.033025,0.013333,0.011111,0.050928,0.049808,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r0p75_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1_m0,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1_m0p0025,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1_m0p005,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
