accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_risk_penalty,deployment_safe_prob_threshold,deployment_utility_margin,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,safe_probability_brier,safe_probability_mean,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.5,4,0.940478,8,600,,,,0.030027,800,4,,11,pairwise,0.970506,0.0,0.022222,static_learned_interaction,,,40,,600,400,,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.5,0.5,0.0,0.031777,800,4,0.511111,11,pairwise,0.972255,0.0,0.122222,train_selected_safety_utility_gate,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.022222,0.0,0.033333,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.533333,0.0,0.011111,0.144444,0.934722,0.401108,0.238889,0.967012,safety_utility_gate_p0p5_m0_r0p5,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
,0.511111,4,0.940478,8,600,,,,0.0,800,4,,11,pairwise,0.940478,0.0,1.0,generated_plus_composition_oracle,,,40,,600,400,,,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.0,0.5,0.0,0.030311,800,4,0.511111,11,pairwise,0.970789,0.0,0.122222,safety_utility_gate_p0p5_m0_r0,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.011111,0.0,0.011111,0.022222,0.0,0.255556,0.0,0.0,0.255556,0.577778,0.0,0.011111,0.133333,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.25,0.5,0.0,0.03125,800,4,0.511111,11,pairwise,0.971728,0.0,0.122222,safety_utility_gate_p0p5_m0_r0p25,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.011111,0.0,0.011111,0.022222,0.0,0.255556,0.0,0.0,0.255556,0.566667,0.0,0.011111,0.144444,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.5,0.5,0.0,0.031777,800,4,0.511111,11,pairwise,0.972255,0.0,0.122222,safety_utility_gate_p0p5_m0_r0p5,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.022222,0.0,0.033333,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.533333,0.0,0.011111,0.144444,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.888889,0.511111,4,0.940478,8,600,1.0,0.5,0.0,0.030881,800,4,0.444444,11,pairwise,0.97136,0.0,0.133333,safety_utility_gate_p0p5_m0_r1,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.022222,0.0,0.066667,0.088889,0.0,0.255556,0.0,0.0,0.255556,0.4,0.0,0.111111,0.144444,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.0,0.5,0.001,0.030311,800,4,0.511111,11,pairwise,0.970789,0.0,0.122222,safety_utility_gate_p0p5_m0p001_r0,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.011111,0.0,0.011111,0.022222,0.0,0.255556,0.0,0.0,0.255556,0.577778,0.0,0.011111,0.133333,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.25,0.5,0.001,0.03125,800,4,0.511111,11,pairwise,0.971728,0.0,0.122222,safety_utility_gate_p0p5_m0p001_r0p25,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.011111,0.0,0.011111,0.022222,0.0,0.255556,0.0,0.0,0.255556,0.566667,0.0,0.011111,0.144444,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
0.988889,0.511111,4,0.940478,8,600,0.5,0.5,0.001,0.031777,800,4,0.511111,11,pairwise,0.972255,0.0,0.122222,safety_utility_gate_p0p5_m0p001_r0p5,0.042212,0.295537,40,0.029348,600,400,0.228703,0.447442,11,0.022222,0.0,0.033333,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.533333,0.0,0.011111,0.144444,,,,,,90,2048,0.943056,0.968885,4,0.981228,0.943056,0.968885,180
