source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0_r0,0.988432,0.955462,0.032969,0.984158,0.522222,0.164444,0.004273,0.129612,0.028696,0.862222,0.368889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0_r0p25,0.988432,0.955462,0.032969,0.984896,0.522222,0.166667,0.003536,0.107252,0.029433,0.873333,0.371111,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0_r0p5,0.988432,0.955462,0.032969,0.98448,0.522222,0.168889,0.003952,0.119857,0.029018,0.873333,0.362222,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0_r1,0.988432,0.955462,0.032969,0.983993,0.52,0.157778,0.004438,0.134617,0.028531,0.828889,0.328889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p001_r0,0.988432,0.955462,0.032969,0.984158,0.522222,0.164444,0.004273,0.129612,0.028696,0.862222,0.368889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p001_r0p25,0.988432,0.955462,0.032969,0.984896,0.522222,0.166667,0.003536,0.107252,0.029433,0.873333,0.371111,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p001_r0p5,0.988432,0.955462,0.032969,0.98448,0.522222,0.168889,0.003952,0.119857,0.029018,0.873333,0.362222,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p001_r1,0.988432,0.955462,0.032969,0.984059,0.52,0.155556,0.004373,0.132639,0.028596,0.826667,0.328889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p0025_r0,0.988432,0.955462,0.032969,0.984158,0.522222,0.164444,0.004273,0.129612,0.028696,0.862222,0.368889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p0025_r0p25,0.988432,0.955462,0.032969,0.984896,0.522222,0.166667,0.003536,0.107252,0.029433,0.873333,0.371111,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p0025_r0p5,0.988432,0.955462,0.032969,0.98448,0.522222,0.168889,0.003952,0.119857,0.029018,0.873333,0.362222,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p0025_r1,0.988432,0.955462,0.032969,0.984059,0.52,0.155556,0.004373,0.132639,0.028596,0.826667,0.328889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p005_r0,0.988432,0.955462,0.032969,0.984158,0.522222,0.164444,0.004273,0.129612,0.028696,0.862222,0.368889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p005_r0p25,0.988432,0.955462,0.032969,0.984896,0.522222,0.166667,0.003536,0.107252,0.029433,0.873333,0.371111,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p005_r0p5,0.988432,0.955462,0.032969,0.98448,0.522222,0.168889,0.003952,0.119857,0.029018,0.873333,0.362222,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_safety_gate.csv,2048,8,safety_utility_gate_p0p55_m0p005_r1,0.988432,0.955462,0.032969,0.984059,0.52,0.155556,0.004373,0.132639,0.028596,0.826667,0.328889,0.038601,0.297712,0.0,0.0,5,insufficient_no_harm_rejection
