model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy,residual_clip
state_base_plus_clipped_diag_0,11,17,0.02,270,0.01693,0.016875,0.0641,0.198621,0.113597,0.396984,0.385185,0.451852,0.970954,0.997165,1.034095,0.907283,-0.026211,0.063672,0.459259,0.503704,0.414815,0.555556,0.0
state_base_plus_clipped_diag_0,11,17,0.05,270,0.01693,0.016875,0.0641,0.198621,0.113597,0.396984,0.292593,0.437037,0.966242,0.997165,1.064095,0.920565,-0.030923,0.045676,0.477778,0.503704,0.414815,0.555556,0.0
state_base_plus_clipped_diag_0,11,17,0.1,270,0.01693,0.016875,0.0641,0.198621,0.113597,0.396984,0.177778,0.366667,0.96617,0.997165,1.114095,0.94024,-0.030995,0.02593,0.503704,0.503704,0.414815,0.555556,0.0
state_base_plus_clipped_diag_0.01,11,17,0.02,270,0.01693,0.022929,0.064615,0.19954,0.106475,0.39187,0.377778,0.451852,0.967105,0.997165,1.034095,0.907283,-0.03006,0.059823,0.462963,0.503704,0.414815,0.555556,0.01
state_base_plus_clipped_diag_0.01,11,17,0.05,270,0.01693,0.022929,0.064615,0.19954,0.106475,0.39187,0.292593,0.437037,0.966764,0.997165,1.064095,0.920565,-0.030401,0.046199,0.477778,0.503704,0.414815,0.555556,0.01
state_base_plus_clipped_diag_0.01,11,17,0.1,270,0.01693,0.022929,0.064615,0.19954,0.106475,0.39187,0.177778,0.366667,0.966659,0.997165,1.114095,0.94024,-0.030506,0.026419,0.503704,0.503704,0.414815,0.555556,0.01
state_base_plus_clipped_diag_0.02,11,17,0.02,270,0.01693,0.028778,0.065216,0.200607,0.09816,0.387395,0.37037,0.451852,0.964866,0.997165,1.034095,0.907283,-0.032299,0.057583,0.462963,0.503704,0.414815,0.555556,0.02
state_base_plus_clipped_diag_0.02,11,17,0.05,270,0.01693,0.028778,0.065216,0.200607,0.09816,0.387395,0.281481,0.437037,0.965859,0.997165,1.064095,0.920565,-0.031306,0.045294,0.485185,0.503704,0.414815,0.555556,0.02
state_base_plus_clipped_diag_0.02,11,17,0.1,270,0.01693,0.028778,0.065216,0.200607,0.09816,0.387395,0.166667,0.366667,0.969194,0.997165,1.114095,0.94024,-0.027971,0.028954,0.503704,0.503704,0.414815,0.555556,0.02
state_base_plus_clipped_diag_0.05,11,17,0.02,270,0.01693,0.046055,0.067439,0.205156,0.067428,0.377297,0.366667,0.451852,0.96376,0.997165,1.034095,0.907283,-0.033405,0.056478,0.474074,0.503704,0.414815,0.555556,0.05
state_base_plus_clipped_diag_0.05,11,17,0.05,270,0.01693,0.046055,0.067439,0.205156,0.067428,0.377297,0.259259,0.437037,0.964896,0.997165,1.064095,0.920565,-0.032269,0.04433,0.492593,0.503704,0.414815,0.555556,0.05
state_base_plus_clipped_diag_0.05,11,17,0.1,270,0.01693,0.046055,0.067439,0.205156,0.067428,0.377297,0.137037,0.366667,0.975208,0.997165,1.114095,0.94024,-0.021957,0.034968,0.5,0.503704,0.414815,0.555556,0.05
state_base_plus_clipped_diag_0.1,11,17,0.02,270,0.01693,0.078023,0.073282,0.216056,-0.013382,0.360567,0.311111,0.451852,0.966709,0.997165,1.034095,0.907283,-0.030456,0.059427,0.481481,0.503704,0.414815,0.555556,0.1
state_base_plus_clipped_diag_0.1,11,17,0.05,270,0.01693,0.078023,0.073282,0.216056,-0.013382,0.360567,0.218519,0.437037,0.973569,0.997165,1.064095,0.920565,-0.023596,0.053004,0.488889,0.503704,0.414815,0.555556,0.1
state_base_plus_clipped_diag_0.1,11,17,0.1,270,0.01693,0.078023,0.073282,0.216056,-0.013382,0.360567,0.103704,0.366667,0.98274,0.997165,1.114095,0.94024,-0.014425,0.0425,0.5,0.503704,0.414815,0.555556,0.1
state_base_plus_clipped_diag_0,13,17,0.02,270,-0.004662,0.010107,0.086919,0.240647,0.138634,0.376211,0.322222,0.62963,0.940039,0.972575,0.987913,0.862419,-0.032537,0.07762,0.47037,0.477778,0.485185,0.581481,0.0
state_base_plus_clipped_diag_0,13,17,0.05,270,-0.004662,0.010107,0.086919,0.240647,0.138634,0.376211,0.255556,0.577778,0.947483,0.972575,1.017914,0.880489,-0.025092,0.066994,0.474074,0.477778,0.485185,0.581481,0.0
