model,compute_cost,residual_clip,seeds,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
state_base_plus_clipped_diag_0,0.02,0.0,5,1350,0.008464,0.006598,0.065614,0.192812,0.10548,0.401904,0.379259,0.963208,0.988277,1.016741,0.902441,-0.025069,0.060768,0.479259,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0,0.05,0.0,5,1350,0.008464,0.006598,0.065614,0.192812,0.10548,0.401904,0.294074,0.968195,0.988277,1.046741,0.918192,-0.020081,0.050003,0.484444,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0,0.1,0.0,5,1350,0.008464,0.006598,0.065614,0.192812,0.10548,0.401904,0.187407,0.976134,0.988277,1.096741,0.941071,-0.012142,0.035063,0.487407,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.01,0.02,0.01,5,1350,0.008464,0.006274,0.065896,0.193349,0.098926,0.399121,0.393333,0.96343,0.988277,1.016741,0.902441,-0.024847,0.060989,0.479259,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.01,0.05,0.01,5,1350,0.008464,0.006274,0.065896,0.193349,0.098926,0.399121,0.3,0.969297,0.988277,1.046741,0.918192,-0.01898,0.051104,0.482963,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.01,0.1,0.01,5,1350,0.008464,0.006274,0.065896,0.193349,0.098926,0.399121,0.188148,0.976309,0.988277,1.096741,0.941071,-0.011968,0.035238,0.487407,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.02,0.02,0.02,5,1350,0.008464,0.005852,0.066307,0.194047,0.090681,0.395329,0.408148,0.963728,0.988277,1.016741,0.902441,-0.024549,0.061287,0.482963,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.02,0.05,0.02,5,1350,0.008464,0.005852,0.066307,0.194047,0.090681,0.395329,0.298519,0.969221,0.988277,1.046741,0.918192,-0.019056,0.051029,0.485185,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.02,0.1,0.02,5,1350,0.008464,0.005852,0.066307,0.194047,0.090681,0.395329,0.188148,0.977398,0.988277,1.096741,0.941071,-0.010879,0.036327,0.488148,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.05,0.02,0.05,5,1350,0.008464,0.005082,0.068178,0.197063,0.054278,0.379956,0.426667,0.96478,0.988277,1.016741,0.902441,-0.023496,0.06234,0.48963,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.05,0.05,0.05,5,1350,0.008464,0.005082,0.068178,0.197063,0.054278,0.379956,0.328889,0.972607,0.988277,1.046741,0.918192,-0.01567,0.054414,0.488889,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.05,0.1,0.05,5,1350,0.008464,0.005082,0.068178,0.197063,0.054278,0.379956,0.197778,0.979442,0.988277,1.096741,0.941071,-0.008835,0.03837,0.49037,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.1,0.02,0.1,5,1350,0.008464,0.006908,0.072506,0.204851,-0.029214,0.350945,0.440741,0.969328,0.988277,1.016741,0.902441,-0.018949,0.066887,0.488889,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.1,0.05,0.1,5,1350,0.008464,0.006908,0.072506,0.204851,-0.029214,0.350945,0.355555,0.978412,0.988277,1.046741,0.918192,-0.009865,0.060219,0.491852,0.488148,0.465185,0.556296
state_base_plus_clipped_diag_0.1,0.1,0.1,5,1350,0.008464,0.006908,0.072506,0.204851,-0.029214,0.350945,0.226667,0.98828,0.988277,1.096741,0.941071,3e-06,0.047208,0.491111,0.488148,0.465185,0.556296
