causal_k,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,2.0387888,0,1.83306026,0.28051573,pairwise,0.19605634,0.00377208,0,11,0.45123848,0,0.24105088,1.04420424,1.645473,0.09539822,0.53644896,0.52886301,0.0,2048
8,0,1,0,0.64490914,0,1.8134954,0.20969675,pairwise,0.23528282,0.03159432,1,11,0.43140039,1,0.22666273,1.05648613,0.84071869,0.06969634,0.5370189,0.67246807,0.0,2048
8,0,0,0,0.99338567,1,1.61342621,0.18111314,pairwise,0.22726679,0.01389086,2,11,0.73304325,0,0.26873779,0.7003957,1.50273001,0.51052141,0.54711866,0.51389086,0.0,2048
8,1,0,0,1.07593644,0,1.64964163,0.11444648,pairwise,0.32255369,0.04843605,3,11,0.65447623,1,0.2270745,0.81458288,0.42391998,0.37595859,0.54429686,0.95156395,0.0,2048
8,0,1,0,0.69768125,0,1.78464544,0.18187377,pairwise,0.20965396,0.05016771,4,11,0.38698435,1,0.20538716,1.0770427,0.94937098,0.01239884,0.5382427,0.56683922,0.0,2048
8,0,0,0,1.08984101,0,1.80122232,0.12431349,pairwise,0.21602252,0.06210125,5,11,0.40747699,0,0.22650611,1.0663538,0.98530167,0.03415039,0.53729516,0.72447288,0.0,2048
8,0,0,0,2.07536983,0,1.87561071,0.10638529,pairwise,0.25815699,0.05529992,6,11,0.49099854,0,0.2888906,1.01609635,1.78132915,0.15041116,0.53436643,0.85536212,0.0,2048
8,0,0,0,1.10679877,1,1.67299056,0.21155702,pairwise,0.18965463,0.03269,7,11,0.57807839,0,0.21662661,0.90473652,2.36414075,0.25018689,0.54287517,0.91727108,0.0,2048
8,0,1,1,0.98591924,1,1.63926375,0.1579112,pairwise,0.21264049,0.00609666,8,11,0.68745792,0,0.2379726,0.76775575,1.35968876,0.43071726,0.54526818,0.69321299,0.0,2048
8,0,1,0,0.44423836,0,1.5502243,0.11635999,pairwise,0.26697016,0.04254218,9,11,0.7989493,1,0.44106776,0.58850211,0.2244578,0.62902403,0.55339777,0.64635205,0.0,2048
8,0,1,1,0.77309805,1,1.74851167,0.23795798,pairwise,0.19686672,0.00127123,10,11,0.40111494,0,0.19590059,1.08408773,1.33626628,0.06505504,0.53980702,0.57553113,0.0,2048
8,0,0,0,1.23881352,0,1.94299364,0.12402688,pairwise,0.2928257,0.06172222,11,11,0.5216608,0,0.36071363,0.9897787,1.11398923,0.19341391,0.53174853,0.93827778,0.0,2048
8,0,0,0,1.83790112,0,1.80754113,0.17278992,pairwise,0.19240688,0.03934207,12,11,0.41992137,0,0.23253492,1.06069064,1.55455494,0.05112621,0.53693569,0.83477008,0.0,2048
8,0,1,0,0.57959992,0,1.86822295,0.15212701,pairwise,0.2468677,0.0231323,13,11,0.48773864,1,0.28122163,1.01914585,0.71797562,0.14657491,0.53465784,0.7515173,0.0,2048
8,0,0,0,1.1638701,0,1.87118268,0.23333147,pairwise,0.19654478,0.01630569,14,11,0.48821035,0,0.27673936,1.0181284,1.07319558,0.1462962,0.53484094,0.51630569,0.0,2048
8,0,1,0,0.46653312,0,1.56366885,0.17422245,pairwise,0.2751959,0.01013821,15,11,0.78553623,1,0.3883518,0.6134057,0.24138868,0.60496724,0.55079907,0.97039938,0.0,2048
8,0,1,0,0.59254038,0,1.8452158,0.21436492,pairwise,0.20650747,0.02680274,16,11,0.46274552,1,0.25250101,1.03600287,0.77057803,0.11004126,0.53590339,0.46839187,0.0,2048
8,0,0,0,1.12333071,0,1.82638228,0.13390078,pairwise,0.2701222,0.01141939,17,11,0.44794947,0,0.25489888,1.04620028,1.02972722,0.09084511,0.53602314,0.88847321,0.0,2048
8,0,1,0,0.96944404,0,1.62107062,0.15193744,pairwise,0.20682652,0.05516885,18,11,0.7178517,1,0.25230861,0.72313893,0.3314923,0.48337948,0.54637265,0.59073484,0.0,2048
8,0,1,0,0.60233027,0,1.86498523,0.18026073,pairwise,0.19849178,0.01330032,19,11,0.48266146,1,0.2895512,1.02193582,0.72843975,0.13790867,0.53450871,0.96834612,0.0,2048
8,0,0,0,1.21610641,0,1.91861665,0.13504674,pairwise,0.24065922,0.01242158,20,11,0.510562,0,0.3288298,0.99855781,1.09551263,0.1761938,0.5327701,0.81102479,0.0,2048
8,0,1,0,0.34408355,0,1.54233015,0.12885363,pairwise,0.25128886,0.03208962,21,11,0.80908924,1,0.49196723,0.56922156,0.21184607,0.64738441,0.55512762,0.6230889,0.0,2048
8,0,1,1,0.8163799,1,1.73600793,0.12844723,pairwise,0.22984222,0.0441306,22,11,0.39988071,0,0.19216928,1.073735,1.45751858,0.03257462,0.54023093,0.61236352,0.0,2048
8,0,0,0,1.12066543,0,1.82622159,0.18336715,pairwise,0.22335361,0.04233386,23,11,0.44669548,0,0.25733459,1.04648495,1.02624249,0.08834451,0.53595233,0.89143568,0.0,2048
8,0,1,0,0.72517437,0,1.59161305,0.16709168,pairwise,0.22585957,0.00984493,24,11,0.75645339,1,0.30829102,0.66263258,0.27911437,0.5521273,0.54834926,0.73800087,0.0,2048
8,0,0,0,1.26755631,1,1.64063179,0.1604505,pairwise,0.21375234,0.03895279,25,11,0.6747914,0,0.23008467,0.78569663,2.8193965,0.40922472,0.54488921,0.77793694,0.0,2048
8,0,0,0,1.22193503,0,1.92874765,0.12292957,pairwise,0.22393921,0.0639635,26,11,0.5134905,0,0.34341884,0.99550235,1.09730697,0.1797218,0.53228354,0.83096564,0.0,2048
8,0,1,0,0.2673454,0,1.54171395,0.14892189,pairwise,0.22918227,0.0420163,27,11,0.8120991,1,0.49501902,0.56349874,0.20813286,0.65290916,0.55463934,0.94270968,0.0,2048
