model,selected_by,test_seed,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
state_route_no_gate,none,11,0.02,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.388889,0.451852,0.96374,0.997165,1.034095,0.907283,-0.033425,0.056457,0.47037,0.503704,0.414815,0.555556
loso_diagnostic_gate,sparse_confidence:ge:0.369924,11,0.02,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.366667,0.451852,0.961141,0.997165,1.034095,0.907283,-0.036024,0.053858,0.481481,0.503704,0.414815,0.555556
test_oracle_diagnostic_gate,sparse_margin:ge:0.063287,11,0.02,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.292593,0.451852,0.953075,0.997165,1.034095,0.907283,-0.04409,0.045793,0.503704,0.503704,0.414815,0.555556
state_route_no_gate,none,11,0.05,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.285185,0.437037,0.969639,0.997165,1.064095,0.920565,-0.027526,0.049074,0.481481,0.503704,0.414815,0.555556
loso_diagnostic_gate,no_gate,11,0.05,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.285185,0.437037,0.969639,0.997165,1.064095,0.920565,-0.027526,0.049074,0.481481,0.503704,0.414815,0.555556
test_oracle_diagnostic_gate,sparse_confidence:ge:0.509330,11,0.05,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.159259,0.437037,0.959749,0.997165,1.064095,0.920565,-0.037416,0.039184,0.503704,0.503704,0.414815,0.555556
state_route_no_gate,none,11,0.1,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.174074,0.366667,0.971161,0.997165,1.114095,0.94024,-0.026004,0.030921,0.488889,0.503704,0.414815,0.555556
loso_diagnostic_gate,sparse_entropy:le:1.086389,11,0.1,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.166667,0.366667,0.97176,0.997165,1.114095,0.94024,-0.025405,0.03152,0.488889,0.503704,0.414815,0.555556
test_oracle_diagnostic_gate,sparse_margin:ge:0.134831,11,0.1,270,0.01693,0.017744,0.060977,0.19867,0.156781,0.41612,0.137037,0.366667,0.966656,0.997165,1.114095,0.94024,-0.030509,0.026416,0.503704,0.503704,0.414815,0.555556
state_route_no_gate,none,13,0.02,270,-0.004662,0.018594,0.085813,0.242834,0.1496,0.396895,0.340741,0.62963,0.9332,0.972575,0.987913,0.862419,-0.039375,0.070781,0.488889,0.477778,0.485185,0.581481
