adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,4088,True,0.33,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-indexed_N4096_K8_D0_seed11.pt,514.410645,512,2,0.335,wpu-cws-indexed,3.681535,2e-05,6853655,11,8.0,ok,4096,1.118468
0,4088,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-indexed_N4096_K8_D0_seed13.pt,514.410645,512,2,0.335,wpu-cws-indexed,1.920375,1.4e-05,6853655,13,8.0,ok,4096,1.093807
0,4088,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K8_D0_seed11.pt,514.410645,512,2,0.335,wpu-cws-learned,3.6004,1e-06,6853655,11,16.0,ok,4096,1.113932
0,4088,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K8_D0_seed13.pt,514.410645,512,2,0.335,wpu-cws-learned,1.660712,8e-06,6853655,13,16.0,ok,4096,1.059801
0,4088,True,0.33,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed11.pt,513.410645,512,2,0.335,wpu-cws-oracle,4.01248,2e-05,6853655,11,8.0,ok,4096,1.118468
0,4088,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed13.pt,514.410645,512,2,0.335,wpu-cws-oracle,2.018485,1.4e-05,6853655,13,8.0,ok,4096,1.093807
32,4056,True,0.33,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-indexed_N4096_K8_D32_seed11.pt,515.560059,512,2,0.335,wpu-cws-indexed,7.400645,2.1e-05,6853655,11,8.0,ok,4096,1.117839
32,4056,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-indexed_N4096_K8_D32_seed13.pt,515.560059,512,2,0.335,wpu-cws-indexed,4.902225,1.1e-05,6853655,13,8.0,ok,4096,1.158338
32,4056,True,0.335,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K8_D32_seed11.pt,515.560059,512,2,0.335,wpu-cws-learned,4.410263,1e-06,6853655,11,16.0,ok,4096,1.115422
32,4056,True,0.33,8,1.0,artifacts/wpu_v2_distractor_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K8_D32_seed13.pt,515.560059,512,2,0.335,wpu-cws-learned,5.06401,5e-06,6853655,13,16.0,ok,4096,1.102867
