source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_candidate_selector,0.988432,0.955429,0.033003,0.988676,0.5,0.14,-0.000244,-0.007393,0.033247,0.993333,0.415556,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0_pmin0,0.988432,0.955429,0.033003,0.988676,0.5,0.14,-0.000244,-0.007393,0.033247,0.993333,0.415556,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0_pmin0p3,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.988889,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0_pmin0p4,0.988432,0.955429,0.033003,0.98848,0.5,0.14,-4.9e-05,-0.001473,0.033052,0.98,0.406667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0_pmin0p5,0.988432,0.955429,0.033003,0.988415,0.502222,0.135556,1.6e-05,0.000491,0.032987,0.94,0.388889,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0_pmin0p6,0.988432,0.955429,0.033003,0.988301,0.495556,0.117778,0.000131,0.003969,0.032872,0.851111,0.355556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p02_pmin0,0.988432,0.955429,0.033003,0.988676,0.5,0.14,-0.000244,-0.007393,0.033247,0.993333,0.415556,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p02_pmin0p3,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.988889,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p02_pmin0p4,0.988432,0.955429,0.033003,0.98848,0.5,0.14,-4.9e-05,-0.001473,0.033052,0.98,0.406667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p02_pmin0p5,0.988432,0.955429,0.033003,0.988415,0.502222,0.135556,1.6e-05,0.000491,0.032987,0.94,0.388889,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p02_pmin0p6,0.988432,0.955429,0.033003,0.988301,0.495556,0.117778,0.000131,0.003969,0.032872,0.851111,0.355556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p05_pmin0,0.988432,0.955429,0.033003,0.988676,0.5,0.14,-0.000244,-0.007393,0.033247,0.993333,0.415556,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p05_pmin0p3,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.988889,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p05_pmin0p4,0.988432,0.955429,0.033003,0.98848,0.5,0.14,-4.9e-05,-0.001473,0.033052,0.98,0.406667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p05_pmin0p5,0.988432,0.955429,0.033003,0.988415,0.502222,0.135556,1.6e-05,0.000491,0.032987,0.94,0.388889,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p05_pmin0p6,0.988432,0.955429,0.033003,0.988301,0.495556,0.117778,0.000131,0.003969,0.032872,0.851111,0.355556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p1_pmin0,0.988432,0.955429,0.033003,0.988676,0.5,0.14,-0.000244,-0.007393,0.033247,0.993333,0.415556,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p1_pmin0p3,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.988889,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p1_pmin0p4,0.988432,0.955429,0.033003,0.98848,0.5,0.14,-4.9e-05,-0.001473,0.033052,0.98,0.406667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p1_pmin0p5,0.988432,0.955429,0.033003,0.988415,0.502222,0.135556,1.6e-05,0.000491,0.032987,0.94,0.388889,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p1_pmin0p6,0.988432,0.955429,0.033003,0.988301,0.495556,0.117778,0.000131,0.003969,0.032872,0.851111,0.355556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p2_pmin0,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.991111,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p2_pmin0p3,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.988889,0.413333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p2_pmin0p4,0.988432,0.955429,0.033003,0.98848,0.5,0.14,-4.9e-05,-0.001473,0.033052,0.98,0.406667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p2_pmin0p5,0.988432,0.955429,0.033003,0.988415,0.502222,0.135556,1.6e-05,0.000491,0.032987,0.94,0.388889,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,end_to_end_selector_pg0p2_pmin0p6,0.988432,0.955429,0.033003,0.988301,0.495556,0.117778,0.000131,0.003969,0.032872,0.851111,0.355556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,8,train_selected_end_to_end_candidate_selector,0.988432,0.955429,0.033003,0.988601,0.5,0.14,-0.00017,-0.005145,0.033173,0.991111,0.413333,0.0,0.0,0.868386,0.052222,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_candidate_selector,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.995556,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0_pmin0,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.995556,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0_pmin0p3,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.995556,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0_pmin0p4,0.966183,0.905196,0.060987,0.960736,0.5,0.148889,0.005446,0.089304,0.055541,0.964444,0.382222,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0_pmin0p5,0.966183,0.905196,0.060987,0.960292,0.502222,0.142222,0.005891,0.096591,0.055096,0.902222,0.353333,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0_pmin0p6,0.966183,0.905196,0.060987,0.961662,0.497778,0.128889,0.004521,0.074127,0.056466,0.804444,0.315556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p02_pmin0,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.995556,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p02_pmin0p3,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.995556,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p02_pmin0p4,0.966183,0.905196,0.060987,0.960736,0.5,0.148889,0.005446,0.089304,0.055541,0.964444,0.382222,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p02_pmin0p5,0.966183,0.905196,0.060987,0.960292,0.502222,0.142222,0.005891,0.096591,0.055096,0.902222,0.353333,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p02_pmin0p6,0.966183,0.905196,0.060987,0.961662,0.497778,0.128889,0.004521,0.074127,0.056466,0.804444,0.315556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p05_pmin0,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.993333,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p05_pmin0p3,0.966183,0.905196,0.060987,0.960019,0.502222,0.16,0.006163,0.101061,0.054824,0.993333,0.386667,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p05_pmin0p4,0.966183,0.905196,0.060987,0.960736,0.5,0.148889,0.005446,0.089304,0.055541,0.964444,0.382222,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p05_pmin0p5,0.966183,0.905196,0.060987,0.960292,0.502222,0.142222,0.005891,0.096591,0.055096,0.902222,0.353333,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p05_pmin0p6,0.966183,0.905196,0.060987,0.961662,0.497778,0.128889,0.004521,0.074127,0.056466,0.804444,0.315556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p1_pmin0,0.966183,0.905196,0.060987,0.95992,0.502222,0.16,0.006263,0.102697,0.054724,0.991111,0.384444,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p1_pmin0p3,0.966183,0.905196,0.060987,0.95992,0.502222,0.16,0.006263,0.102697,0.054724,0.991111,0.384444,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p1_pmin0p4,0.966183,0.905196,0.060987,0.960637,0.5,0.148889,0.005546,0.09094,0.055441,0.962222,0.38,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p1_pmin0p5,0.966183,0.905196,0.060987,0.960292,0.502222,0.142222,0.005891,0.096591,0.055096,0.902222,0.353333,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p1_pmin0p6,0.966183,0.905196,0.060987,0.961662,0.497778,0.128889,0.004521,0.074127,0.056466,0.804444,0.315556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p2_pmin0,0.966183,0.905196,0.060987,0.959662,0.502222,0.157777,0.006521,0.106927,0.054466,0.982222,0.382222,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p2_pmin0p3,0.966183,0.905196,0.060987,0.959662,0.502222,0.157777,0.006521,0.106927,0.054466,0.982222,0.382222,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p2_pmin0p4,0.966183,0.905196,0.060987,0.960218,0.5,0.148889,0.005965,0.097811,0.055022,0.96,0.377778,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p2_pmin0p5,0.966183,0.905196,0.060987,0.960292,0.502222,0.142222,0.005891,0.096591,0.055096,0.902222,0.353333,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,end_to_end_selector_pg0p2_pmin0p6,0.966183,0.905196,0.060987,0.961662,0.497778,0.128889,0.004521,0.074127,0.056466,0.804444,0.315556,0.0,0.0,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,16,train_selected_end_to_end_candidate_selector,0.966183,0.905196,0.060987,0.960277,0.502222,0.153333,0.005906,0.096833,0.055082,0.977778,0.382222,0.0,0.0,0.921305,0.053056,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_candidate_selector,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0_pmin0,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0_pmin0p3,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0_pmin0p4,1.004095,0.968509,0.035586,1.004137,0.486667,0.124444,-4.3e-05,-0.001197,0.035628,0.975556,0.473333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0_pmin0p5,1.004095,0.968509,0.035586,1.004141,0.484445,0.12,-4.6e-05,-0.001298,0.035632,0.917778,0.444445,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0_pmin0p6,1.004095,0.968509,0.035586,1.004181,0.477778,0.117778,-8.7e-05,-0.002434,0.035672,0.806667,0.386667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p02_pmin0,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p02_pmin0p3,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p02_pmin0p4,1.004095,0.968509,0.035586,1.004137,0.486667,0.124444,-4.3e-05,-0.001197,0.035628,0.975556,0.473333,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p02_pmin0p5,1.004095,0.968509,0.035586,1.004141,0.484445,0.12,-4.6e-05,-0.001298,0.035632,0.917778,0.444445,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p02_pmin0p6,1.004095,0.968509,0.035586,1.004181,0.477778,0.117778,-8.7e-05,-0.002434,0.035672,0.806667,0.386667,0.0,0.0,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_end_to_end_candidate_selector.csv,2048,32,end_to_end_selector_pg0p05_pmin0,1.004095,0.968509,0.035586,1.004432,0.486667,0.126667,-0.000338,-0.009493,0.035924,0.993333,0.486667,0.0,0.0,0.0,0.0,5,harmful_transfer
