accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_generated_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.5,4,0.939425,8,600,0.031081,4,11,pairwise,4,0.970506,0.022222,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.952246,4,0.981228,180
0.511111,4,0.939425,8,600,0.027935,4,11,pairwise,4,0.96736,0.1,joint_candidate_generator_evaluator,40,600,400,11,0.055556,0.0,0.033333,0.088889,0.033333,0.244444,0.066667,0.0,0.344444,0.277778,0.055556,0.033333,0.022222,0.0,0.0,0.055556,0.0,0.177778,600,90,2048,0.952246,4,0.981228,180
0.511111,4,0.939425,8,600,0.024692,4,11,pairwise,4,0.964117,0.033333,learned_generated_oracle,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844444,0.1,0.022222,0.033333,1.0,0.0,0.0,600,90,2048,0.952246,4,0.981228,180
0.511111,4,0.939425,8,600,0.0,4,11,pairwise,4,0.939425,1.0,generated_plus_composition_oracle,40,600,400,11,0.233333,0.033333,0.066667,0.333333,0.088889,0.111111,0.055556,0.011111,0.266667,0.188889,0.033333,0.0,0.011111,0.0,0.022222,0.033333,0.022222,0.122222,600,90,2048,0.952246,4,0.981228,180
0.455556,4,0.964325,8,600,0.032029,4,13,pairwise,4,0.996354,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.951815,4,0.980309,180
0.488889,4,0.964325,8,600,0.026943,4,13,pairwise,4,0.991268,0.155556,joint_candidate_generator_evaluator,40,600,400,13,0.0,0.011111,0.022222,0.033333,0.022222,0.233333,0.011111,0.011111,0.277778,0.344444,0.077778,0.044444,0.011111,0.011111,0.011111,0.077778,0.022222,0.166667,600,90,2048,0.951815,4,0.980309,180
0.477778,4,0.964325,8,600,0.021337,4,13,pairwise,4,0.985662,0.044444,learned_generated_oracle,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.133333,0.022222,0.011111,1.0,0.0,0.0,600,90,2048,0.951815,4,0.980309,180
0.511111,4,0.964325,8,600,0.0,4,13,pairwise,4,0.964325,1.0,generated_plus_composition_oracle,40,600,400,13,0.3,0.033333,0.011111,0.344444,0.033333,0.211111,0.0,0.011111,0.255556,0.266667,0.0,0.033333,0.011111,0.0,0.0,0.044444,0.0,0.088889,600,90,2048,0.951815,4,0.980309,180
0.5,4,0.954776,8,600,0.021588,4,17,pairwise,4,0.976364,0.0,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.955082,4,0.98719,180
0.466667,4,0.954776,8,600,0.022224,4,17,pairwise,4,0.977,0.133333,joint_candidate_generator_evaluator,40,600,400,17,0.022222,0.0,0.033333,0.055556,0.011111,0.177778,0.044444,0.022222,0.255556,0.533333,0.033333,0.044444,0.011111,0.0,0.011111,0.066667,0.0,0.055556,600,90,2048,0.955082,4,0.98719,180
0.488889,4,0.954776,8,600,0.02041,4,17,pairwise,4,0.975185,0.033333,learned_generated_oracle,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844444,0.111111,0.022222,0.022222,1.0,0.0,0.0,600,90,2048,0.955082,4,0.98719,180
0.511111,4,0.954776,8,600,0.0,4,17,pairwise,4,0.954776,1.0,generated_plus_composition_oracle,40,600,400,17,0.311111,0.044444,0.155556,0.511111,0.044444,0.044444,0.077778,0.066667,0.233333,0.133333,0.022222,0.022222,0.0,0.011111,0.011111,0.044444,0.0,0.055556,600,90,2048,0.955082,4,0.98719,180
