accept_rate,accuracy,adapter_steps,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_adapter_candidate_accept_rate,train_joint_adapter_candidate_regret_loss,train_joint_adapter_uncertainty_accept_rate,train_joint_adapter_uncertainty_regret_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
,0.588889,700,4,0.28664,8,600,,,,1.444456,700,4,,11,pairwise,4,1.731096,0.0,static_learned_interaction,,,40,,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.933333,0.777778,700,4,0.28664,8,600,0.0,0.0,0.5,1.491299,700,4,0.288889,11,pairwise,4,1.777939,0.177778,joint_adapter_candidate_regret_gate,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.044444,0.033333,0.022222,0.011111,0.0,0.022222,0.066667,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.366667,0.744444,700,4,0.28664,8,600,0.0,1.0,0.5,1.238806,700,4,0.066667,11,pairwise,4,1.525446,0.044444,joint_adapter_uncertainty_regret_gate,0.175088,0.977363,40,0.20874,600,400,11,0.044444,0.011111,0.044444,0.1,0.0,0.133333,0.0,0.011111,0.144444,0.0,0.022222,0.011111,0.011111,0.0,0.011111,0.633333,0.066667,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.922222,0.777778,700,4,0.28664,8,600,0.02,0.0,0.5,1.491301,700,4,0.288889,11,pairwise,4,1.777941,0.166667,train_selected_joint_propagation_adapter,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.033333,0.033333,0.022222,0.011111,0.0,0.022222,0.077778,0.155556,0.870833,0.345435,0.154167,0.170154,candidate_regret_gate_m0p02,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
,0.955556,700,4,0.28664,8,600,,,,0.0,700,4,,11,pairwise,4,0.28664,1.0,generated_plus_composition_oracle,,,40,,600,400,11,0.3,0.022222,0.088889,0.411111,0.044444,0.088889,0.033333,0.077778,0.244444,0.066667,0.1,0.011111,0.066667,0.0,0.011111,0.0,0.088889,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.933333,0.777778,700,4,0.28664,8,600,0.0025,0.0,0.5,1.491299,700,4,0.288889,11,pairwise,4,1.777939,0.177778,joint_adapter_candidate_regret_gate_m0p0025,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.044444,0.033333,0.022222,0.011111,0.0,0.022222,0.066667,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.933333,0.777778,700,4,0.28664,8,600,0.005,0.0,0.5,1.491299,700,4,0.288889,11,pairwise,4,1.777939,0.177778,joint_adapter_candidate_regret_gate_m0p005,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.044444,0.033333,0.022222,0.011111,0.0,0.022222,0.066667,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.922222,0.777778,700,4,0.28664,8,600,0.01,0.0,0.5,1.491301,700,4,0.288889,11,pairwise,4,1.777941,0.166667,joint_adapter_candidate_regret_gate_m0p01,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.033333,0.033333,0.022222,0.011111,0.0,0.022222,0.077778,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.922222,0.777778,700,4,0.28664,8,600,0.02,0.0,0.5,1.491301,700,4,0.288889,11,pairwise,4,1.777941,0.166667,joint_adapter_candidate_regret_gate_m0p02,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.266667,0.011111,0.0,0.277778,0.033333,0.033333,0.022222,0.011111,0.0,0.022222,0.077778,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.911111,0.777778,700,4,0.28664,8,600,0.05,0.0,0.5,1.491288,700,4,0.277778,11,pairwise,4,1.777928,0.166667,joint_adapter_candidate_regret_gate_m0p05,0.175088,0.977363,40,0.20874,600,400,11,0.2,0.033333,0.133333,0.366667,0.0,0.255556,0.011111,0.0,0.266667,0.033333,0.033333,0.022222,0.011111,0.0,0.022222,0.088889,0.155556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.355556,0.744444,700,4,0.28664,8,600,0.0025,1.0,0.5,1.240768,700,4,0.066667,11,pairwise,4,1.527408,0.044444,joint_adapter_uncertainty_regret_gate_r0p5_m0p0025,0.175088,0.977363,40,0.20874,600,400,11,0.044444,0.011111,0.033333,0.088889,0.0,0.133333,0.0,0.011111,0.144444,0.0,0.022222,0.011111,0.011111,0.0,0.011111,0.644444,0.066667,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.333333,0.733333,700,4,0.28664,8,600,0.005,1.0,0.5,1.268907,700,4,0.066667,11,pairwise,4,1.555547,0.033333,joint_adapter_uncertainty_regret_gate_r0p5_m0p005,0.175088,0.977363,40,0.20874,600,400,11,0.044444,0.011111,0.033333,0.088889,0.0,0.133333,0.0,0.0,0.133333,0.0,0.022222,0.011111,0.011111,0.0,0.011111,0.666667,0.055556,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
0.322222,0.733333,700,4,0.28664,8,600,0.01,1.0,0.5,1.268907,700,4,0.066667,11,pairwise,4,1.555547,0.033333,joint_adapter_uncertainty_regret_gate_r0p5_m0p01,0.175088,0.977363,40,0.20874,600,400,11,0.044444,0.011111,0.033333,0.088889,0.0,0.133333,0.0,0.0,0.133333,0.0,0.022222,0.011111,0.011111,0.0,0.011111,0.677778,0.044444,,,,,,90,2048,0.888889,0.171207,0.365278,0.198848,4,0.256015,180
