source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate,2.009235,0.286055,1.72318,2.099453,0.691111,0.197778,-0.090218,-0.052355,1.813398,0.922222,0.308889,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate_m0p0025,2.009235,0.286055,1.72318,2.099453,0.691111,0.197778,-0.090218,-0.052355,1.813398,0.922222,0.308889,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate_m0p005,2.009235,0.286055,1.72318,2.099453,0.691111,0.197778,-0.090218,-0.052355,1.813398,0.913333,0.306667,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate_m0p01,2.009235,0.286055,1.72318,2.105512,0.686667,0.195556,-0.096276,-0.055871,1.819456,0.906666,0.306667,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate_m0p02,2.009235,0.286055,1.72318,2.09223,0.686667,0.193333,-0.082995,-0.048164,1.806175,0.888889,0.3,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_candidate_regret_gate_m0p05,2.009235,0.286055,1.72318,2.053442,0.691111,0.188889,-0.044207,-0.025654,1.767387,0.846667,0.284444,0.134374,0.896683,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate,2.009235,0.286055,1.72318,1.855904,0.704444,0.128889,0.153331,0.088981,1.569849,0.471111,0.12,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate_r0p5_m0p0025,2.009235,0.286055,1.72318,1.858923,0.702222,0.126667,0.150312,0.08723,1.572868,0.462222,0.12,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate_r0p5_m0p005,2.009235,0.286055,1.72318,1.907159,0.697778,0.122222,0.102076,0.059237,1.621104,0.448889,0.117778,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate_r0p5_m0p01,2.009235,0.286055,1.72318,1.918478,0.693333,0.12,0.090757,0.052669,1.632423,0.435555,0.115556,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate_r0p5_m0p02,2.009235,0.286055,1.72318,1.917157,0.695555,0.12,0.092078,0.053435,1.631102,0.422222,0.108889,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_joint_propagation_adapter.csv,2048,8,joint_adapter_uncertainty_regret_gate_r0p5_m0p05,2.009235,0.286055,1.72318,1.866634,0.693333,0.106667,0.142601,0.082755,1.580579,0.38,0.095556,0.134374,0.896683,0.0,0.0,5,partial_but_insufficient_gap_closure
