accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.0,0.533333,4,0.852384,8,0.071643,4,0.0,11,pairwise,60,0.924027,0.0,static_learned_interaction,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.619401,0.166667,0.851777,confidence_t0,45,2048,0.166667,0.851777,4,0.906424,60
1.0,0.555556,4,0.852384,8,0.018235,4,0.111111,11,pairwise,60,0.870619,0.8,joint_selector_propagator,120,11,0.0,0.0,0.0,0.266667,0.0,0.0,0.266667,0.666667,0.0,0.0,0.066667,1.0,0.619401,0.166667,0.851777,confidence_t0,45,2048,0.166667,0.851777,4,0.906424,60
1.0,0.555556,4,0.852384,8,0.018235,4,0.111111,11,pairwise,60,0.870619,0.8,confidence_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.266667,0.0,0.0,0.266667,0.666667,0.0,0.0,0.066667,1.0,0.619401,0.166667,0.851777,confidence_t0,45,2048,0.166667,0.851777,4,0.906424,60
1.0,0.555556,4,0.852384,8,0.018235,4,0.111111,11,pairwise,60,0.870619,0.8,train_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.266667,0.0,0.0,0.266667,0.666667,0.0,0.0,0.066667,1.0,0.619401,0.166667,0.851777,confidence_t0,45,2048,0.166667,0.851777,4,0.906424,60
1.0,0.577778,4,0.852384,8,0.0,4,0.0,11,pairwise,60,0.852384,1.0,generated_plus_composition_oracle,120,11,0.0,0.0,0.022222,0.266667,0.0,0.022222,0.311111,0.6,0.0,0.0,0.088889,1.0,0.619401,0.166667,0.851777,confidence_t0,45,2048,0.166667,0.851777,4,0.906424,60
0.0,0.511111,4,0.839602,8,0.071722,4,0.0,13,pairwise,60,0.911325,0.0,static_learned_interaction,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.960572,0.05,0.844008,confidence_t0,45,2048,0.05,0.844008,4,0.918024,60
1.0,0.577778,4,0.839602,8,0.002988,4,0.022222,13,pairwise,60,0.84259,0.955556,joint_selector_propagator,120,13,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,1.0,0.960572,0.05,0.844008,confidence_t0,45,2048,0.05,0.844008,4,0.918024,60
1.0,0.577778,4,0.839602,8,0.002988,4,0.022222,13,pairwise,60,0.84259,0.955556,confidence_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,1.0,0.960572,0.05,0.844008,confidence_t0,45,2048,0.05,0.844008,4,0.918024,60
1.0,0.577778,4,0.839602,8,0.002988,4,0.022222,13,pairwise,60,0.84259,0.955556,train_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,1.0,0.960572,0.05,0.844008,confidence_t0,45,2048,0.05,0.844008,4,0.918024,60
1.0,0.577778,4,0.839602,8,0.0,4,0.0,13,pairwise,60,0.839602,1.0,generated_plus_composition_oracle,120,13,0.0,0.0,0.0,0.333333,0.022222,0.0,0.355556,0.644444,0.0,0.0,0.0,1.0,0.960572,0.05,0.844008,confidence_t0,45,2048,0.05,0.844008,4,0.918024,60
0.0,0.444444,4,0.906402,8,0.103735,4,0.0,17,pairwise,60,1.010137,0.0,static_learned_interaction,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.847983,0.133333,0.883757,confidence_t0,45,2048,0.133333,0.883757,4,0.965832,60
1.0,0.666667,4,0.906402,8,0.008836,4,0.044444,17,pairwise,60,0.915238,0.822222,joint_selector_propagator,120,17,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.555556,0.0,0.0,0.0,1.0,0.847983,0.133333,0.883757,confidence_t0,45,2048,0.133333,0.883757,4,0.965832,60
1.0,0.666667,4,0.906402,8,0.008836,4,0.044444,17,pairwise,60,0.915238,0.822222,confidence_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.555556,0.0,0.0,0.0,1.0,0.847983,0.133333,0.883757,confidence_t0,45,2048,0.133333,0.883757,4,0.965832,60
1.0,0.666667,4,0.906402,8,0.008836,4,0.044444,17,pairwise,60,0.915238,0.822222,train_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.555556,0.0,0.0,0.0,1.0,0.847983,0.133333,0.883757,confidence_t0,45,2048,0.133333,0.883757,4,0.965832,60
1.0,0.688889,4,0.906402,8,0.0,4,0.0,17,pairwise,60,0.906402,1.0,generated_plus_composition_oracle,120,17,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.622222,0.0,0.0,0.044444,1.0,0.847983,0.133333,0.883757,confidence_t0,45,2048,0.133333,0.883757,4,0.965832,60
0.0,0.511111,4,0.905171,8,0.080048,4,0.0,19,pairwise,60,0.985219,0.0,static_learned_interaction,120,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.744353,0.1,0.858496,confidence_t0,45,2048,0.1,0.858496,4,0.909492,60
1.0,0.622222,4,0.905171,8,0.003771,4,0.066667,19,pairwise,60,0.908942,0.888889,joint_selector_propagator,120,19,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.555556,0.0,0.0,0.022222,1.0,0.744353,0.1,0.858496,confidence_t0,45,2048,0.1,0.858496,4,0.909492,60
1.0,0.622222,4,0.905171,8,0.003771,4,0.066667,19,pairwise,60,0.908942,0.888889,confidence_selected_joint_selector_propagator,120,19,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.555556,0.0,0.0,0.022222,1.0,0.744353,0.1,0.858496,confidence_t0,45,2048,0.1,0.858496,4,0.909492,60
1.0,0.622222,4,0.905171,8,0.003771,4,0.066667,19,pairwise,60,0.908942,0.888889,train_selected_joint_selector_propagator,120,19,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.555556,0.0,0.0,0.022222,1.0,0.744353,0.1,0.858496,confidence_t0,45,2048,0.1,0.858496,4,0.909492,60
1.0,0.622222,4,0.905171,8,0.0,4,0.0,19,pairwise,60,0.905171,1.0,generated_plus_composition_oracle,120,19,0.0,0.0,0.0,0.311111,0.0,0.0,0.311111,0.666667,0.0,0.0,0.022222,1.0,0.744353,0.1,0.858496,confidence_t0,45,2048,0.1,0.858496,4,0.909492,60
0.0,0.511111,4,0.914333,8,0.068689,4,0.0,23,pairwise,60,0.983022,0.0,static_learned_interaction,120,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.972074,0.033333,0.800792,confidence_t0,45,2048,0.033333,0.800792,4,0.871957,60
1.0,0.622222,4,0.914333,8,0.014519,4,0.133333,23,pairwise,60,0.928853,0.733333,joint_selector_propagator,120,23,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.577778,0.0,0.0,0.0,1.0,0.972074,0.033333,0.800792,confidence_t0,45,2048,0.033333,0.800792,4,0.871957,60
1.0,0.622222,4,0.914333,8,0.014519,4,0.133333,23,pairwise,60,0.928853,0.733333,confidence_selected_joint_selector_propagator,120,23,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.577778,0.0,0.0,0.0,1.0,0.972074,0.033333,0.800792,confidence_t0,45,2048,0.033333,0.800792,4,0.871957,60
1.0,0.622222,4,0.914333,8,0.014519,4,0.133333,23,pairwise,60,0.928853,0.733333,train_selected_joint_selector_propagator,120,23,0.0,0.0,0.0,0.422222,0.0,0.0,0.422222,0.577778,0.0,0.0,0.0,1.0,0.972074,0.033333,0.800792,confidence_t0,45,2048,0.033333,0.800792,4,0.871957,60
