accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.533333,8,0.952935,16,0.052785,4,0.0,11,pairwise,60,1.00572,0.0,static_learned_interaction,120,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.65,0.268944,0.25,0.860207,confidence_t0p35,45,2048,0.3,0.849568,4,0.872946,0,60
1.0,0.511111,8,0.952935,16,0.021474,4,0.288889,11,pairwise,60,0.974409,0.488889,joint_selector_propagator,120,11,0.0,0.35,0.0,0.422222,0.0,0.0,0.422222,0.2,0.0,0.0,0.377778,0.65,0.268944,0.25,0.860207,confidence_t0p35,45,2048,0.3,0.849568,4,0.872946,0,60
0.688889,0.533333,8,0.952935,16,0.04101,4,0.222222,11,pairwise,60,0.993945,0.355556,confidence_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.311111,0.0,0.0,0.311111,0.177778,0.0,0.311111,0.2,0.65,0.268944,0.25,0.860207,confidence_t0p35,45,2048,0.3,0.849568,4,0.872946,0,60
0.688889,0.533333,8,0.952935,16,0.04101,4,0.222222,11,pairwise,60,0.993945,0.355556,train_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.311111,0.0,0.0,0.311111,0.177778,0.0,0.311111,0.2,0.65,0.268944,0.25,0.860207,confidence_t0p35,45,2048,0.3,0.849568,4,0.872946,0,60
1.0,0.533333,8,0.952935,16,0.0,4,0.0,11,pairwise,60,0.952935,1.0,generated_plus_composition_oracle,120,11,0.0,0.35,0.088889,0.488889,0.0,0.022222,0.6,0.266667,0.0,0.0,0.133333,0.65,0.268944,0.25,0.860207,confidence_t0p35,45,2048,0.3,0.849568,4,0.872946,0,60
0.0,0.6,8,0.826368,16,0.029821,4,0.0,13,pairwise,60,0.856189,0.0,static_learned_interaction,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.356687,0.183333,0.816878,confidence_t0,45,2048,0.183333,0.816878,4,0.826716,0,60
1.0,0.6,8,0.826368,16,0.0177,4,0.2,13,pairwise,60,0.844068,0.644444,joint_selector_propagator,120,13,0.0,0.0,0.0,0.866667,0.0,0.0,0.866667,0.133333,0.0,0.0,0.0,1.0,0.356687,0.183333,0.816878,confidence_t0,45,2048,0.183333,0.816878,4,0.826716,0,60
1.0,0.6,8,0.826368,16,0.0177,4,0.2,13,pairwise,60,0.844068,0.644444,confidence_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.866667,0.0,0.0,0.866667,0.133333,0.0,0.0,0.0,1.0,0.356687,0.183333,0.816878,confidence_t0,45,2048,0.183333,0.816878,4,0.826716,0,60
1.0,0.6,8,0.826368,16,0.0177,4,0.2,13,pairwise,60,0.844068,0.644444,train_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.866667,0.0,0.0,0.866667,0.133333,0.0,0.0,0.0,1.0,0.356687,0.183333,0.816878,confidence_t0,45,2048,0.183333,0.816878,4,0.826716,0,60
1.0,0.622222,8,0.826368,16,0.0,4,0.0,13,pairwise,60,0.826368,1.0,generated_plus_composition_oracle,120,13,0.0,0.0,0.0,0.511111,0.066667,0.0,0.577778,0.311111,0.0,0.0,0.111111,1.0,0.356687,0.183333,0.816878,confidence_t0,45,2048,0.183333,0.816878,4,0.826716,0,60
