accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.488889,4,0.925967,16,0.053424,4,0.0,11,pairwise,60,0.979391,0.0,static_learned_interaction,120,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.483333,0.167627,0.183333,0.856073,confidence_t0p35,45,2048,0.283333,0.839435,4,0.866307,1,60
1.0,0.488889,4,0.925967,16,0.028878,4,0.244444,11,pairwise,60,0.954845,0.4,joint_selector_propagator,120,11,0.0,0.35,0.0,0.644444,0.0,0.0,0.644444,0.244444,0.0,0.0,0.111111,0.483333,0.167627,0.183333,0.856073,confidence_t0p35,45,2048,0.283333,0.839435,4,0.866307,1,60
0.444444,0.488889,4,0.925967,16,0.03937,4,0.088889,11,pairwise,60,0.965337,0.244444,confidence_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.288889,0.0,0.0,0.288889,0.155556,0.0,0.555556,0.0,0.483333,0.167627,0.183333,0.856073,confidence_t0p35,45,2048,0.283333,0.839435,4,0.866307,1,60
0.444444,0.488889,4,0.925967,16,0.03937,4,0.088889,11,pairwise,60,0.965337,0.244444,train_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.288889,0.0,0.0,0.288889,0.155556,0.0,0.555556,0.0,0.483333,0.167627,0.183333,0.856073,confidence_t0p35,45,2048,0.283333,0.839435,4,0.866307,1,60
1.0,0.511111,4,0.925967,16,0.0,4,0.0,11,pairwise,60,0.925967,1.0,generated_plus_composition_oracle,120,11,0.0,0.35,0.066667,0.355556,0.088889,0.044444,0.555556,0.2,0.0,0.0,0.244444,0.483333,0.167627,0.183333,0.856073,confidence_t0p35,45,2048,0.283333,0.839435,4,0.866307,1,60
0.0,0.622222,4,0.819566,16,0.033776,4,0.0,13,pairwise,60,0.853342,0.0,static_learned_interaction,120,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.116667,0.054131,0.016667,0.826855,confidence_t0p35,45,2048,0.483333,0.828254,4,0.828495,1,60
1.0,0.622222,4,0.819566,16,0.036684,4,0.555556,13,pairwise,60,0.85625,0.311111,joint_selector_propagator,120,13,0.0,0.35,0.0,0.022222,0.0,0.0,0.022222,0.977778,0.0,0.0,0.0,0.116667,0.054131,0.016667,0.826855,confidence_t0p35,45,2048,0.483333,0.828254,4,0.828495,1,60
0.111111,0.622222,4,0.819566,16,0.032374,4,0.044444,13,pairwise,60,0.85194,0.066667,confidence_selected_joint_selector_propagator,120,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.888889,0.0,0.116667,0.054131,0.016667,0.826855,confidence_t0p35,45,2048,0.483333,0.828254,4,0.828495,1,60
0.111111,0.622222,4,0.819566,16,0.032374,4,0.044444,13,pairwise,60,0.85194,0.066667,train_selected_joint_selector_propagator,120,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.888889,0.0,0.116667,0.054131,0.016667,0.826855,confidence_t0p35,45,2048,0.483333,0.828254,4,0.828495,1,60
1.0,0.688889,4,0.819566,16,0.0,4,0.0,13,pairwise,60,0.819566,1.0,generated_plus_composition_oracle,120,13,0.0,0.35,0.0,0.444444,0.066667,0.0,0.511111,0.288889,0.0,0.0,0.2,0.116667,0.054131,0.016667,0.826855,confidence_t0p35,45,2048,0.483333,0.828254,4,0.828495,1,60
