accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,learned_safe_candidates,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_learned_safe_0_rate,selected_learned_safe_1_rate,selected_learned_safe_2_rate,selected_learned_safe_3_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.422222,4,0.953195,16,0.09036,4,0.0,11,pairwise,60,4,1.043555,0.0,0.25,0.0,static_learned_interaction,120,0.0,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316667,0.28712,0.083333,0.889985,confidence_t0p35,4,45,2048,0.416667,0.884119,4,0.913561,0,60,0,1,0,0.4,1.0
1.0,0.422222,4,0.953195,16,0.085824,4,0.355556,11,pairwise,60,4,1.039019,0.222222,0.25,0.0,joint_selector_propagator,120,0.0,11,0.0,0.35,0.022222,0.555556,0.0,0.0,0.577778,0.133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288889,0.0,0.316667,0.28712,0.083333,0.889985,confidence_t0p35,4,45,2048,0.416667,0.884119,4,0.913561,0,60,0,1,0,0.4,1.0
0.244444,0.422222,4,0.953195,16,0.081346,4,0.044444,11,pairwise,60,4,1.034541,0.066667,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,11,0.0,0.35,0.0,0.155556,0.0,0.0,0.155556,0.066667,0.0,0.755556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.316667,0.28712,0.083333,0.889985,confidence_t0p35,4,45,2048,0.416667,0.884119,4,0.913561,0,60,0,1,0,0.4,1.0
0.244444,0.422222,4,0.953195,16,0.081346,4,0.044444,11,pairwise,60,4,1.034541,0.066667,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,11,0.0,0.35,0.0,0.155556,0.0,0.0,0.155556,0.066667,0.0,0.755556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.316667,0.28712,0.083333,0.889985,confidence_t0p35,4,45,2048,0.416667,0.884119,4,0.913561,0,60,0,1,0,0.4,1.0
1.0,0.511111,4,0.953195,16,0.0,4,0.0,11,pairwise,60,4,0.953195,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,11,0.0,0.35,0.022222,0.111111,0.0,0.0,0.133333,0.488889,0.0,0.0,0.0,0.088889,0.088889,0.066667,0.022222,0.0,0.0,0.111111,0.0,0.316667,0.28712,0.083333,0.889985,confidence_t0p35,4,45,2048,0.416667,0.884119,4,0.913561,0,60,0,1,0,0.4,1.0
0.0,0.577778,4,0.770867,16,0.067506,4,0.0,13,pairwise,60,4,0.838373,0.0,0.25,0.0,static_learned_interaction,120,0.0,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.392512,0.233333,0.781221,confidence_t0p25,4,45,2048,0.5,0.791609,4,0.810249,0,60,0,1,0,0.4,1.0
1.0,0.644444,4,0.770867,16,0.039852,4,0.333333,13,pairwise,60,4,0.810718,0.377778,0.25,0.0,joint_selector_propagator,120,0.0,13,0.0,0.25,0.0,0.288889,0.0,0.0,0.288889,0.511111,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.0,0.044444,0.0,0.6,0.392512,0.233333,0.781221,confidence_t0p25,4,45,2048,0.5,0.791609,4,0.810249,0,60,0,1,0,0.4,1.0
0.688889,0.6,4,0.770867,16,0.049367,4,0.244444,13,pairwise,60,4,0.820234,0.311111,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,13,0.0,0.25,0.0,0.133333,0.0,0.0,0.133333,0.422222,0.0,0.311111,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.022222,0.0,0.6,0.392512,0.233333,0.781221,confidence_t0p25,4,45,2048,0.5,0.791609,4,0.810249,0,60,0,1,0,0.4,1.0
0.688889,0.6,4,0.770867,16,0.049367,4,0.244444,13,pairwise,60,4,0.820234,0.311111,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,13,0.0,0.25,0.0,0.133333,0.0,0.0,0.133333,0.422222,0.0,0.311111,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.022222,0.0,0.6,0.392512,0.233333,0.781221,confidence_t0p25,4,45,2048,0.5,0.791609,4,0.810249,0,60,0,1,0,0.4,1.0
1.0,0.666667,4,0.770867,16,0.0,4,0.0,13,pairwise,60,4,0.770867,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,13,0.0,0.25,0.044444,0.022222,0.0,0.0,0.066667,0.488889,0.0,0.0,0.0,0.111111,0.133333,0.022222,0.066667,0.0,0.022222,0.088889,0.0,0.6,0.392512,0.233333,0.781221,confidence_t0p25,4,45,2048,0.5,0.791609,4,0.810249,0,60,0,1,0,0.4,1.0
