accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,learned_safe_candidates,loss,loss_generator_propagation_steps,loss_generator_random_candidates,loss_generator_structured_candidates,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,safe_generator_mode,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_learned_safe_0_rate,selected_learned_safe_1_rate,selected_learned_safe_2_rate,selected_learned_safe_3_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.511111,4,0.847476,16,0.05551,4,0.0,11,pairwise,120,4,0.902986,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988889,0.374586,0.244444,0.836828,confidence_t0p25,4,90,2048,0.25,0.837113,4,0.860343,0,180,1,1,0,0.4,1.0
1.0,0.577778,4,0.847476,16,0.025655,4,0.211111,11,pairwise,120,4,0.873131,80,4,4,0.411111,0.25,0.3,joint_selector_propagator,400,loss,0.0,11,0.0,0.25,0.0,0.333333,0.0,0.0,0.333333,0.533333,0.0,0.0,0.0,0.0,0.0,0.0,0.122222,0.0,0.0,0.011111,0.0,0.988889,0.374586,0.244444,0.836828,confidence_t0p25,4,90,2048,0.25,0.837113,4,0.860343,0,180,1,1,0,0.4,1.0
1.0,0.577778,4,0.847476,16,0.025655,4,0.211111,11,pairwise,120,4,0.873131,80,4,4,0.411111,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,11,0.0,0.25,0.0,0.333333,0.0,0.0,0.333333,0.533333,0.0,0.0,0.0,0.0,0.0,0.0,0.122222,0.0,0.0,0.011111,0.0,0.988889,0.374586,0.244444,0.836828,confidence_t0p25,4,90,2048,0.25,0.837113,4,0.860343,0,180,1,1,0,0.4,1.0
1.0,0.577778,4,0.847476,16,0.025655,4,0.211111,11,pairwise,120,4,0.873131,80,4,4,0.411111,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,11,0.0,0.25,0.0,0.333333,0.0,0.0,0.333333,0.533333,0.0,0.0,0.0,0.0,0.0,0.0,0.122222,0.0,0.0,0.011111,0.0,0.988889,0.374586,0.244444,0.836828,confidence_t0p25,4,90,2048,0.25,0.837113,4,0.860343,0,180,1,1,0,0.4,1.0
1.0,0.622222,4,0.847476,16,0.0,4,0.0,11,pairwise,120,4,0.847476,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,11,0.0,0.25,0.0,0.311111,0.011111,0.0,0.322222,0.255556,0.0,0.0,0.066667,0.0,0.022222,0.0,0.177778,0.0,0.0,0.155556,0.0,0.988889,0.374586,0.244444,0.836828,confidence_t0p25,4,90,2048,0.25,0.837113,4,0.860343,0,180,1,1,0,0.4,1.0
0.0,0.533333,4,0.735102,16,0.112783,4,0.0,13,pairwise,120,4,0.847885,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927778,0.456355,0.188889,0.772862,confidence_t0p25,4,90,2048,0.194444,0.777377,4,0.82952,0,180,1,1,0,0.4,1.0
0.822222,0.655556,4,0.735102,16,0.070609,4,0.166667,13,pairwise,120,4,0.805712,80,4,4,0.4,0.25,0.3,joint_selector_propagator,400,loss,0.0,13,0.0,0.25,0.0,0.344444,0.0,0.0,0.344444,0.344444,0.0,0.177778,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.022222,0.0,0.927778,0.456355,0.188889,0.772862,confidence_t0p25,4,90,2048,0.194444,0.777377,4,0.82952,0,180,1,1,0,0.4,1.0
0.811111,0.644444,4,0.735102,16,0.072888,4,0.166667,13,pairwise,120,4,0.80799,80,4,4,0.4,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,13,0.0,0.25,0.0,0.344444,0.0,0.0,0.344444,0.344444,0.0,0.188889,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.022222,0.0,0.927778,0.456355,0.188889,0.772862,confidence_t0p25,4,90,2048,0.194444,0.777377,4,0.82952,0,180,1,1,0,0.4,1.0
0.811111,0.644444,4,0.735102,16,0.072888,4,0.166667,13,pairwise,120,4,0.80799,80,4,4,0.4,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,13,0.0,0.25,0.0,0.344444,0.0,0.0,0.344444,0.344444,0.0,0.188889,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.022222,0.0,0.927778,0.456355,0.188889,0.772862,confidence_t0p25,4,90,2048,0.194444,0.777377,4,0.82952,0,180,1,1,0,0.4,1.0
1.0,0.711111,4,0.735102,16,0.0,4,0.0,13,pairwise,120,4,0.735102,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,13,0.0,0.25,0.011111,0.255556,0.022222,0.011111,0.3,0.3,0.0,0.0,0.066667,0.0,0.022222,0.0,0.166667,0.0,0.0,0.144444,0.0,0.927778,0.456355,0.188889,0.772862,confidence_t0p25,4,90,2048,0.194444,0.777377,4,0.82952,0,180,1,1,0,0.4,1.0
