accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.444444,4,0.937109,16,0.035262,4,0.0,11,pairwise,60,0.97237,0.0,0.25,0.8,static_learned_interaction,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.116667,0.038661,0.0,0.872712,confidence_t0,45,2048,0.0,0.872712,4,0.874055,0,60
0.066667,0.444444,4,0.937109,16,0.034685,4,0.0,11,pairwise,60,0.971794,0.066667,0.25,0.8,joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066667,0.0,0.933333,0.0,0.116667,0.038661,0.0,0.872712,confidence_t0,45,2048,0.0,0.872712,4,0.874055,0,60
0.066667,0.444444,4,0.937109,16,0.034685,4,0.0,11,pairwise,60,0.971794,0.066667,0.25,0.8,confidence_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066667,0.0,0.933333,0.0,0.116667,0.038661,0.0,0.872712,confidence_t0,45,2048,0.0,0.872712,4,0.874055,0,60
0.066667,0.444444,4,0.937109,16,0.034685,4,0.0,11,pairwise,60,0.971794,0.066667,0.25,0.8,train_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066667,0.0,0.933333,0.0,0.116667,0.038661,0.0,0.872712,confidence_t0,45,2048,0.0,0.872712,4,0.874055,0,60
1.0,0.444444,4,0.937109,16,0.0,4,0.0,11,pairwise,60,0.937109,1.0,0.25,0.8,generated_plus_composition_oracle,120,11,0.0,0.0,0.066667,0.222222,0.044444,0.044444,0.377778,0.422222,0.022222,0.0,0.177778,0.116667,0.038661,0.0,0.872712,confidence_t0,45,2048,0.0,0.872712,4,0.874055,0,60
0.0,0.6,4,0.832222,16,0.034451,4,0.0,13,pairwise,60,0.866673,0.0,0.25,0.8,static_learned_interaction,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.083333,0.019174,0.016667,0.851298,confidence_t0,45,2048,0.016667,0.851298,4,0.851939,0,60
0.155556,0.6,4,0.832222,16,0.031104,4,0.0,13,pairwise,60,0.863327,0.111111,0.25,0.8,joint_selector_propagator,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.083333,0.019174,0.016667,0.851298,confidence_t0,45,2048,0.016667,0.851298,4,0.851939,0,60
0.155556,0.6,4,0.832222,16,0.031104,4,0.0,13,pairwise,60,0.863327,0.111111,0.25,0.8,confidence_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.083333,0.019174,0.016667,0.851298,confidence_t0,45,2048,0.016667,0.851298,4,0.851939,0,60
0.155556,0.6,4,0.832222,16,0.031104,4,0.0,13,pairwise,60,0.863327,0.111111,0.25,0.8,train_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.083333,0.019174,0.016667,0.851298,confidence_t0,45,2048,0.016667,0.851298,4,0.851939,0,60
1.0,0.6,4,0.832222,16,0.0,4,0.0,13,pairwise,60,0.832222,1.0,0.25,0.8,generated_plus_composition_oracle,120,13,0.0,0.0,0.044444,0.244444,0.088889,0.0,0.377778,0.466667,0.044444,0.0,0.111111,0.083333,0.019174,0.016667,0.851298,confidence_t0,45,2048,0.016667,0.851298,4,0.851939,0,60
0.0,0.488889,4,0.968622,16,0.040641,4,0.0,17,pairwise,60,1.009263,0.0,0.25,0.8,static_learned_interaction,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.116667,0.233936,0.0,0.972831,confidence_t0,45,2048,0.0,0.972831,4,0.978948,0,60
0.111111,0.488889,4,0.968622,16,0.039161,4,0.0,17,pairwise,60,1.007783,0.111111,0.25,0.8,joint_selector_propagator,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.888889,0.0,0.116667,0.233936,0.0,0.972831,confidence_t0,45,2048,0.0,0.972831,4,0.978948,0,60
0.111111,0.488889,4,0.968622,16,0.039161,4,0.0,17,pairwise,60,1.007783,0.111111,0.25,0.8,confidence_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.888889,0.0,0.116667,0.233936,0.0,0.972831,confidence_t0,45,2048,0.0,0.972831,4,0.978948,0,60
0.111111,0.488889,4,0.968622,16,0.039161,4,0.0,17,pairwise,60,1.007783,0.111111,0.25,0.8,train_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.888889,0.0,0.116667,0.233936,0.0,0.972831,confidence_t0,45,2048,0.0,0.972831,4,0.978948,0,60
1.0,0.511111,4,0.968622,16,0.0,4,0.0,17,pairwise,60,0.968622,1.0,0.25,0.8,generated_plus_composition_oracle,120,17,0.0,0.0,0.088889,0.222222,0.066667,0.066667,0.444444,0.288889,0.022222,0.0,0.244444,0.116667,0.233936,0.0,0.972831,confidence_t0,45,2048,0.0,0.972831,4,0.978948,0,60
0.0,0.422222,4,1.048663,16,0.048895,4,0.0,19,pairwise,60,1.097559,0.0,0.25,0.8,static_learned_interaction,120,19,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.183333,0.077612,0.0,0.880536,confidence_t0p55,45,2048,0.05,0.883449,4,0.883494,0,60
0.222222,0.444444,4,1.048663,16,0.052424,4,0.066667,19,pairwise,60,1.101088,0.155556,0.25,0.8,joint_selector_propagator,120,19,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.183333,0.077612,0.0,0.880536,confidence_t0p55,45,2048,0.05,0.883449,4,0.883494,0,60
0.133333,0.422222,4,1.048663,16,0.050387,4,0.022222,19,pairwise,60,1.099051,0.111111,0.25,0.8,confidence_selected_joint_selector_propagator,120,19,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.133333,0.0,0.866667,0.0,0.183333,0.077612,0.0,0.880536,confidence_t0p55,45,2048,0.05,0.883449,4,0.883494,0,60
0.133333,0.422222,4,1.048663,16,0.050387,4,0.022222,19,pairwise,60,1.099051,0.111111,0.25,0.8,train_selected_joint_selector_propagator,120,19,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.133333,0.0,0.866667,0.0,0.183333,0.077612,0.0,0.880536,confidence_t0p55,45,2048,0.05,0.883449,4,0.883494,0,60
1.0,0.488889,4,1.048663,16,0.0,4,0.0,19,pairwise,60,1.048663,1.0,0.25,0.8,generated_plus_composition_oracle,120,19,0.0,0.55,0.044444,0.311111,0.066667,0.022222,0.444444,0.466667,0.0,0.0,0.088889,0.183333,0.077612,0.0,0.880536,confidence_t0p55,45,2048,0.05,0.883449,4,0.883494,0,60
0.0,0.488889,4,1.013249,16,0.046753,4,0.0,23,pairwise,60,1.060002,0.0,0.25,0.8,static_learned_interaction,120,23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.105351,0.0,0.693438,confidence_t0p45,45,2048,0.016667,0.693507,4,0.696966,0,60
0.2,0.488889,4,1.013249,16,0.050628,4,0.044444,23,pairwise,60,1.063876,0.155556,0.25,0.8,joint_selector_propagator,120,23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.25,0.105351,0.0,0.693438,confidence_t0p45,45,2048,0.016667,0.693507,4,0.696966,0,60
0.177778,0.488889,4,1.013249,16,0.048619,4,0.022222,23,pairwise,60,1.061868,0.155556,0.25,0.8,confidence_selected_joint_selector_propagator,120,23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.177778,0.0,0.822222,0.0,0.25,0.105351,0.0,0.693438,confidence_t0p45,45,2048,0.016667,0.693507,4,0.696966,0,60
