accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.444444,4,0.93079,16,0.046141,4,0.0,11,pairwise,60,0.976931,0.0,0.25,0.3,static_learned_interaction,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666667,0.320773,0.15,0.864273,confidence_t0,45,2048,0.15,0.864273,4,0.87952,0,60
0.711111,0.466667,4,0.93079,16,0.023932,4,0.111111,11,pairwise,60,0.954722,0.511111,0.25,0.3,joint_selector_propagator,120,11,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.288889,0.044444,0.666667,0.320773,0.15,0.864273,confidence_t0,45,2048,0.15,0.864273,4,0.87952,0,60
0.711111,0.466667,4,0.93079,16,0.023932,4,0.111111,11,pairwise,60,0.954722,0.511111,0.25,0.3,confidence_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.288889,0.044444,0.666667,0.320773,0.15,0.864273,confidence_t0,45,2048,0.15,0.864273,4,0.87952,0,60
0.711111,0.466667,4,0.93079,16,0.023932,4,0.111111,11,pairwise,60,0.954722,0.511111,0.25,0.3,train_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.288889,0.044444,0.666667,0.320773,0.15,0.864273,confidence_t0,45,2048,0.15,0.864273,4,0.87952,0,60
1.0,0.466667,4,0.93079,16,0.0,4,0.0,11,pairwise,60,0.93079,1.0,0.25,0.3,generated_plus_composition_oracle,120,11,0.0,0.0,0.044444,0.266667,0.022222,0.044444,0.377778,0.511111,0.0,0.0,0.111111,0.666667,0.320773,0.15,0.864273,confidence_t0,45,2048,0.15,0.864273,4,0.87952,0,60
0.0,0.6,4,0.813968,16,0.053315,4,0.0,13,pairwise,60,0.867283,0.0,0.25,0.3,static_learned_interaction,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.866667,0.590783,0.166667,0.822112,confidence_t0,45,2048,0.166667,0.822112,4,0.85382,0,60
0.844444,0.6,4,0.813968,16,0.019819,4,0.111111,13,pairwise,60,0.833787,0.666667,0.25,0.3,joint_selector_propagator,120,13,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.644444,0.0,0.155556,0.0,0.866667,0.590783,0.166667,0.822112,confidence_t0,45,2048,0.166667,0.822112,4,0.85382,0,60
0.844444,0.6,4,0.813968,16,0.019819,4,0.111111,13,pairwise,60,0.833787,0.666667,0.25,0.3,confidence_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.644444,0.0,0.155556,0.0,0.866667,0.590783,0.166667,0.822112,confidence_t0,45,2048,0.166667,0.822112,4,0.85382,0,60
0.844444,0.6,4,0.813968,16,0.019819,4,0.111111,13,pairwise,60,0.833787,0.666667,0.25,0.3,train_selected_joint_selector_propagator,120,13,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.644444,0.0,0.155556,0.0,0.866667,0.590783,0.166667,0.822112,confidence_t0,45,2048,0.166667,0.822112,4,0.85382,0,60
1.0,0.622222,4,0.813968,16,0.0,4,0.0,13,pairwise,60,0.813968,1.0,0.25,0.3,generated_plus_composition_oracle,120,13,0.0,0.0,0.044444,0.266667,0.022222,0.0,0.333333,0.577778,0.0,0.0,0.088889,0.866667,0.590783,0.166667,0.822112,confidence_t0,45,2048,0.166667,0.822112,4,0.85382,0,60
