accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.4,4,0.950981,16,0.03954,4,0.0,11,pairwise,60,0.990521,0.0,static_learned_interaction,120,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.633333,0.359296,0.166667,0.879577,confidence_t0p35,45,2048,0.4,0.877925,4,0.894751,0,60
1.0,0.466667,4,0.950981,16,0.027193,4,0.4,11,pairwise,60,0.978174,0.444444,joint_selector_propagator,120,11,0.0,0.35,0.0,0.644444,0.0,0.0,0.644444,0.333333,0.0,0.0,0.022222,0.633333,0.359296,0.166667,0.879577,confidence_t0p35,45,2048,0.4,0.877925,4,0.894751,0,60
0.555556,0.422222,4,0.950981,16,0.025771,4,0.155556,11,pairwise,60,0.976752,0.288889,confidence_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.311111,0.0,0.0,0.311111,0.222222,0.0,0.444444,0.022222,0.633333,0.359296,0.166667,0.879577,confidence_t0p35,45,2048,0.4,0.877925,4,0.894751,0,60
0.555556,0.422222,4,0.950981,16,0.025771,4,0.155556,11,pairwise,60,0.976752,0.288889,train_selected_joint_selector_propagator,120,11,0.0,0.35,0.0,0.311111,0.0,0.0,0.311111,0.222222,0.0,0.444444,0.022222,0.633333,0.359296,0.166667,0.879577,confidence_t0p35,45,2048,0.4,0.877925,4,0.894751,0,60
1.0,0.466667,4,0.950981,16,0.0,4,0.0,11,pairwise,60,0.950981,1.0,generated_plus_composition_oracle,120,11,0.0,0.35,0.066667,0.288889,0.044444,0.022222,0.422222,0.422222,0.0,0.0,0.155556,0.633333,0.359296,0.166667,0.879577,confidence_t0p35,45,2048,0.4,0.877925,4,0.894751,0,60
0.0,0.6,4,0.827901,16,0.041376,4,0.0,13,pairwise,60,0.869278,0.0,static_learned_interaction,120,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.55,0.32787,0.133333,0.839393,confidence_t0p45,45,2048,0.333333,0.833229,4,0.853117,0,60
1.0,0.6,4,0.827901,16,0.017144,4,0.244444,13,pairwise,60,0.845046,0.666667,joint_selector_propagator,120,13,0.0,0.45,0.0,0.488889,0.0,0.0,0.488889,0.511111,0.0,0.0,0.0,0.55,0.32787,0.133333,0.839393,confidence_t0p45,45,2048,0.333333,0.833229,4,0.853117,0,60
0.444444,0.6,4,0.827901,16,0.028476,4,0.066667,13,pairwise,60,0.856378,0.311111,confidence_selected_joint_selector_propagator,120,13,0.0,0.45,0.0,0.177778,0.0,0.0,0.177778,0.266667,0.0,0.555556,0.0,0.55,0.32787,0.133333,0.839393,confidence_t0p45,45,2048,0.333333,0.833229,4,0.853117,0,60
0.444444,0.6,4,0.827901,16,0.028476,4,0.066667,13,pairwise,60,0.856378,0.311111,train_selected_joint_selector_propagator,120,13,0.0,0.45,0.0,0.177778,0.0,0.0,0.177778,0.266667,0.0,0.555556,0.0,0.55,0.32787,0.133333,0.839393,confidence_t0p45,45,2048,0.333333,0.833229,4,0.853117,0,60
1.0,0.622222,4,0.827901,16,0.0,4,0.0,13,pairwise,60,0.827901,1.0,generated_plus_composition_oracle,120,13,0.0,0.45,0.044444,0.244444,0.022222,0.0,0.311111,0.577778,0.0,0.0,0.111111,0.55,0.32787,0.133333,0.839393,confidence_t0p45,45,2048,0.333333,0.833229,4,0.853117,0,60
0.0,0.488889,4,0.978474,16,0.031916,4,0.0,17,pairwise,60,1.01039,0.0,static_learned_interaction,120,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.216667,0.153153,0.05,0.97654,confidence_t0p45,45,2048,0.516667,0.983378,4,0.979999,0,60
1.0,0.466667,4,0.978474,16,0.045004,4,0.488889,17,pairwise,60,1.023478,0.422222,joint_selector_propagator,120,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.216667,0.153153,0.05,0.97654,confidence_t0p45,45,2048,0.516667,0.983378,4,0.979999,0,60
0.222222,0.488889,4,0.978474,16,0.04092,4,0.088889,17,pairwise,60,1.019394,0.066667,confidence_selected_joint_selector_propagator,120,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.216667,0.153153,0.05,0.97654,confidence_t0p45,45,2048,0.516667,0.983378,4,0.979999,0,60
0.222222,0.488889,4,0.978474,16,0.04092,4,0.088889,17,pairwise,60,1.019394,0.066667,train_selected_joint_selector_propagator,120,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.216667,0.153153,0.05,0.97654,confidence_t0p45,45,2048,0.516667,0.983378,4,0.979999,0,60
1.0,0.533333,4,0.978474,16,0.0,4,0.0,17,pairwise,60,0.978474,1.0,generated_plus_composition_oracle,120,17,0.0,0.45,0.133333,0.177778,0.044444,0.066667,0.422222,0.422222,0.0,0.0,0.155556,0.216667,0.153153,0.05,0.97654,confidence_t0p45,45,2048,0.516667,0.983378,4,0.979999,0,60
0.0,0.422222,4,1.062846,16,0.036192,4,0.0,19,pairwise,60,1.099039,0.0,static_learned_interaction,120,19,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.183333,0.097745,0.0,0.882894,confidence_t0p75,45,2048,0.483333,0.894957,4,0.885685,0,60
1.0,0.444444,4,1.062846,16,0.043121,4,0.511111,19,pairwise,60,1.105967,0.311111,joint_selector_propagator,120,19,0.0,0.75,0.0,0.4,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.183333,0.097745,0.0,0.882894,confidence_t0p75,45,2048,0.483333,0.894957,4,0.885685,0,60
0.088889,0.422222,4,1.062846,16,0.035706,4,0.0,19,pairwise,60,1.098553,0.088889,confidence_selected_joint_selector_propagator,120,19,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.088889,0.0,0.911111,0.0,0.183333,0.097745,0.0,0.882894,confidence_t0p75,45,2048,0.483333,0.894957,4,0.885685,0,60
0.088889,0.422222,4,1.062846,16,0.035706,4,0.0,19,pairwise,60,1.098553,0.088889,train_selected_joint_selector_propagator,120,19,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.088889,0.0,0.911111,0.0,0.183333,0.097745,0.0,0.882894,confidence_t0p75,45,2048,0.483333,0.894957,4,0.885685,0,60
1.0,0.466667,4,1.062846,16,0.0,4,0.0,19,pairwise,60,1.062846,1.0,generated_plus_composition_oracle,120,19,0.0,0.75,0.111111,0.244444,0.133333,0.066667,0.555556,0.288889,0.0,0.0,0.155556,0.183333,0.097745,0.0,0.882894,confidence_t0p75,45,2048,0.483333,0.894957,4,0.885685,0,60
0.0,0.555556,4,1.016316,16,0.036485,4,0.0,23,pairwise,60,1.052801,0.0,static_learned_interaction,120,23,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.316667,0.273995,0.033333,0.69017,confidence_t0p55,45,2048,0.4,0.69389,4,0.697449,0,60
1.0,0.511111,4,1.016316,16,0.049994,4,0.466667,23,pairwise,60,1.06631,0.4,joint_selector_propagator,120,23,0.0,0.55,0.0,0.533333,0.0,0.0,0.533333,0.466667,0.0,0.0,0.0,0.316667,0.273995,0.033333,0.69017,confidence_t0p55,45,2048,0.4,0.69389,4,0.697449,0,60
0.266667,0.533333,4,1.016316,16,0.042749,4,0.111111,23,pairwise,60,1.059065,0.155556,confidence_selected_joint_selector_propagator,120,23,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.266667,0.0,0.733333,0.0,0.316667,0.273995,0.033333,0.69017,confidence_t0p55,45,2048,0.4,0.69389,4,0.697449,0,60
0.266667,0.533333,4,1.016316,16,0.042749,4,0.111111,23,pairwise,60,1.059065,0.155556,train_selected_joint_selector_propagator,120,23,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.266667,0.0,0.733333,0.0,0.316667,0.273995,0.033333,0.69017,confidence_t0p55,45,2048,0.4,0.69389,4,0.697449,0,60
1.0,0.577778,4,1.016316,16,0.0,4,0.0,23,pairwise,60,1.016316,1.0,generated_plus_composition_oracle,120,23,0.0,0.55,0.066667,0.288889,0.111111,0.0,0.466667,0.355556,0.0,0.0,0.177778,0.316667,0.273995,0.033333,0.69017,confidence_t0p55,45,2048,0.4,0.69389,4,0.697449,0,60
0.0,0.466667,4,0.972452,32,0.017021,4,0.0,11,pairwise,60,0.989473,0.0,static_learned_interaction,120,11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.716667,0.297723,0.25,0.889943,confidence_t0p25,45,2048,0.4,0.889245,4,0.89591,0,60
1.0,0.488889,4,0.972452,32,0.013002,4,0.533333,11,pairwise,60,0.985454,0.222222,joint_selector_propagator,120,11,0.0,0.25,0.0,0.155556,0.0,0.0,0.155556,0.844444,0.0,0.0,0.0,0.716667,0.297723,0.25,0.889943,confidence_t0p25,45,2048,0.4,0.889245,4,0.89591,0,60
0.577778,0.488889,4,0.972452,32,0.011416,4,0.266667,11,pairwise,60,0.983868,0.222222,confidence_selected_joint_selector_propagator,120,11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.577778,0.0,0.422222,0.0,0.716667,0.297723,0.25,0.889943,confidence_t0p25,45,2048,0.4,0.889245,4,0.89591,0,60
0.577778,0.488889,4,0.972452,32,0.011416,4,0.266667,11,pairwise,60,0.983868,0.222222,train_selected_joint_selector_propagator,120,11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.577778,0.0,0.422222,0.0,0.716667,0.297723,0.25,0.889943,confidence_t0p25,45,2048,0.4,0.889245,4,0.89591,0,60
1.0,0.488889,4,0.972452,32,0.0,4,0.0,11,pairwise,60,0.972452,1.0,generated_plus_composition_oracle,120,11,0.0,0.25,0.133333,0.088889,0.2,0.066667,0.488889,0.244444,0.0,0.0,0.266667,0.716667,0.297723,0.25,0.889943,confidence_t0p25,45,2048,0.4,0.889245,4,0.89591,0,60
0.0,0.533333,4,0.90809,32,0.014782,4,0.0,13,pairwise,60,0.922871,0.0,static_learned_interaction,120,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.305808,0.383333,0.952417,confidence_t0,45,2048,0.383333,0.952417,4,0.957596,0,60
