accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.466667,4,0.928239,16,0.029813,4,0.0,11,pairwise,60,0.958052,0.0,0.25,0.0,static_learned_interaction,120,0.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.123238,0.383333,0.833005,confidence_t0,4,45,2048,0.383333,0.833005,4,0.83612,0,60
1.0,0.466667,4,0.928239,16,0.032169,4,0.4,11,pairwise,60,0.960408,0.266667,0.25,0.0,joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.822222,0.0,0.0,0.822222,0.177778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.123238,0.383333,0.833005,confidence_t0,4,45,2048,0.383333,0.833005,4,0.83612,0,60
1.0,0.466667,4,0.928239,16,0.032169,4,0.4,11,pairwise,60,0.960408,0.266667,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.822222,0.0,0.0,0.822222,0.177778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.123238,0.383333,0.833005,confidence_t0,4,45,2048,0.383333,0.833005,4,0.83612,0,60
1.0,0.466667,4,0.928239,16,0.032169,4,0.4,11,pairwise,60,0.960408,0.266667,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.822222,0.0,0.0,0.822222,0.177778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.123238,0.383333,0.833005,confidence_t0,4,45,2048,0.383333,0.833005,4,0.83612,0,60
1.0,0.488889,4,0.928239,16,0.0,4,0.0,11,pairwise,60,0.928239,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,11,0.0,0.0,0.088889,0.155556,0.044444,0.022222,0.311111,0.466667,0.0,0.0,0.133333,0.0,0.0,0.088889,0.0,1.0,0.123238,0.383333,0.833005,confidence_t0,4,45,2048,0.383333,0.833005,4,0.83612,0,60
0.0,0.577778,4,0.836112,16,0.031337,4,0.0,13,pairwise,60,0.867448,0.0,0.25,0.0,static_learned_interaction,120,0.2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.069676,0.55,0.830678,confidence_t0,4,45,2048,0.55,0.830678,4,0.832775,0,60
1.0,0.622222,4,0.836112,16,0.020489,4,0.466667,13,pairwise,60,0.856601,0.444444,0.25,0.0,joint_selector_propagator,120,0.2,13,0.0,0.0,0.0,0.244444,0.0,0.0,0.244444,0.733333,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,1.0,0.069676,0.55,0.830678,confidence_t0,4,45,2048,0.55,0.830678,4,0.832775,0,60
1.0,0.622222,4,0.836112,16,0.020489,4,0.466667,13,pairwise,60,0.856601,0.444444,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,13,0.0,0.0,0.0,0.244444,0.0,0.0,0.244444,0.733333,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,1.0,0.069676,0.55,0.830678,confidence_t0,4,45,2048,0.55,0.830678,4,0.832775,0,60
1.0,0.622222,4,0.836112,16,0.020489,4,0.466667,13,pairwise,60,0.856601,0.444444,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,13,0.0,0.0,0.0,0.244444,0.0,0.0,0.244444,0.733333,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,1.0,0.069676,0.55,0.830678,confidence_t0,4,45,2048,0.55,0.830678,4,0.832775,0,60
1.0,0.622222,4,0.836112,16,0.0,4,0.0,13,pairwise,60,0.836112,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,13,0.0,0.0,0.066667,0.288889,0.044444,0.044444,0.444444,0.333333,0.0,0.0,0.066667,0.0,0.044444,0.111111,0.0,1.0,0.069676,0.55,0.830678,confidence_t0,4,45,2048,0.55,0.830678,4,0.832775,0,60
