accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.444444,4,0.931974,16,0.032259,4,0.0,11,pairwise,60,0.964233,0.0,0.25,0.3,static_learned_interaction,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.183333,0.055737,0.066667,0.841251,confidence_t0,4,45,2048,0.066667,0.841251,4,0.842608,0,60
0.155556,0.444444,4,0.931974,16,0.025609,4,0.0,11,pairwise,60,0.957583,0.155556,0.25,0.3,joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.0,0.0,0.0,0.0,0.183333,0.055737,0.066667,0.841251,confidence_t0,4,45,2048,0.066667,0.841251,4,0.842608,0,60
0.155556,0.444444,4,0.931974,16,0.025609,4,0.0,11,pairwise,60,0.957583,0.155556,0.25,0.3,confidence_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.0,0.0,0.0,0.0,0.183333,0.055737,0.066667,0.841251,confidence_t0,4,45,2048,0.066667,0.841251,4,0.842608,0,60
0.155556,0.444444,4,0.931974,16,0.025609,4,0.0,11,pairwise,60,0.957583,0.155556,0.25,0.3,train_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155556,0.0,0.844444,0.0,0.0,0.0,0.0,0.0,0.183333,0.055737,0.066667,0.841251,confidence_t0,4,45,2048,0.066667,0.841251,4,0.842608,0,60
1.0,0.466667,4,0.931974,16,0.0,4,0.0,11,pairwise,60,0.931974,1.0,0.25,0.3,generated_plus_composition_oracle,120,11,0.0,0.0,0.066667,0.044444,0.044444,0.022222,0.177778,0.622222,0.0,0.0,0.133333,0.0,0.0,0.066667,0.0,0.183333,0.055737,0.066667,0.841251,confidence_t0,4,45,2048,0.066667,0.841251,4,0.842608,0,60
0.0,0.555556,4,0.854692,16,0.021334,4,0.0,13,pairwise,60,0.876026,0.0,0.25,0.3,static_learned_interaction,120,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.183333,0.095915,0.0,0.833547,confidence_t0p25,4,45,2048,0.016667,0.834125,4,0.835436,0,60
0.222222,0.577778,4,0.854692,16,0.016764,4,0.022222,13,pairwise,60,0.871456,0.155556,0.25,0.3,joint_selector_propagator,120,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.183333,0.095915,0.0,0.833547,confidence_t0p25,4,45,2048,0.016667,0.834125,4,0.835436,0,60
0.2,0.577778,4,0.854692,16,0.01687,4,0.022222,13,pairwise,60,0.871563,0.155556,0.25,0.3,confidence_selected_joint_selector_propagator,120,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.183333,0.095915,0.0,0.833547,confidence_t0p25,4,45,2048,0.016667,0.834125,4,0.835436,0,60
0.2,0.577778,4,0.854692,16,0.01687,4,0.022222,13,pairwise,60,0.871563,0.155556,0.25,0.3,train_selected_joint_selector_propagator,120,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.183333,0.095915,0.0,0.833547,confidence_t0p25,4,45,2048,0.016667,0.834125,4,0.835436,0,60
1.0,0.577778,4,0.854692,16,0.0,4,0.0,13,pairwise,60,0.854692,1.0,0.25,0.3,generated_plus_composition_oracle,120,13,0.0,0.25,0.044444,0.222222,0.022222,0.044444,0.333333,0.422222,0.0,0.0,0.088889,0.0,0.044444,0.111111,0.0,0.183333,0.095915,0.0,0.833547,confidence_t0p25,4,45,2048,0.016667,0.834125,4,0.835436,0,60
