accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.466667,4,0.936857,16,0.030132,4,0.0,11,pairwise,60,0.966989,0.0,0.25,0.0,static_learned_interaction,120,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.129135,0.516667,0.835767,confidence_t0,4,45,2048,0.516667,0.835767,4,0.839211,0,60
1.0,0.488889,4,0.936857,16,0.022573,4,0.377778,11,pairwise,60,0.95943,0.377778,0.25,0.0,joint_selector_propagator,120,11,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.129135,0.516667,0.835767,confidence_t0,4,45,2048,0.516667,0.835767,4,0.839211,0,60
1.0,0.488889,4,0.936857,16,0.022573,4,0.377778,11,pairwise,60,0.95943,0.377778,0.25,0.0,confidence_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.129135,0.516667,0.835767,confidence_t0,4,45,2048,0.516667,0.835767,4,0.839211,0,60
1.0,0.488889,4,0.936857,16,0.022573,4,0.377778,11,pairwise,60,0.95943,0.377778,0.25,0.0,train_selected_joint_selector_propagator,120,11,0.0,0.0,0.0,0.355556,0.0,0.0,0.355556,0.644444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.129135,0.516667,0.835767,confidence_t0,4,45,2048,0.516667,0.835767,4,0.839211,0,60
1.0,0.511111,4,0.936857,16,0.0,4,0.0,11,pairwise,60,0.936857,1.0,0.25,0.0,generated_plus_composition_oracle,120,11,0.0,0.0,0.111111,0.2,0.088889,0.066667,0.466667,0.311111,0.0,0.0,0.155556,0.0,0.022222,0.044444,0.0,1.0,0.129135,0.516667,0.835767,confidence_t0,4,45,2048,0.516667,0.835767,4,0.839211,0,60
0.0,0.622222,4,0.811206,16,0.046798,4,0.0,13,pairwise,60,0.858004,0.0,0.25,0.0,static_learned_interaction,120,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.233333,0.158122,0.066667,0.821446,confidence_t0p45,4,45,2048,0.6,0.830172,4,0.828793,0,60
1.0,0.577778,4,0.811206,16,0.037923,4,0.511111,13,pairwise,60,0.849129,0.4,0.25,0.0,joint_selector_propagator,120,13,0.0,0.45,0.0,0.111111,0.0,0.0,0.111111,0.866667,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.233333,0.158122,0.066667,0.821446,confidence_t0p45,4,45,2048,0.6,0.830172,4,0.828793,0,60
0.088889,0.622222,4,0.811206,16,0.045728,4,0.044444,13,pairwise,60,0.856934,0.044444,0.25,0.0,confidence_selected_joint_selector_propagator,120,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.088889,0.0,0.911111,0.0,0.0,0.0,0.0,0.0,0.233333,0.158122,0.066667,0.821446,confidence_t0p45,4,45,2048,0.6,0.830172,4,0.828793,0,60
0.088889,0.622222,4,0.811206,16,0.045728,4,0.044444,13,pairwise,60,0.856934,0.044444,0.25,0.0,train_selected_joint_selector_propagator,120,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.088889,0.0,0.911111,0.0,0.0,0.0,0.0,0.0,0.233333,0.158122,0.066667,0.821446,confidence_t0p45,4,45,2048,0.6,0.830172,4,0.828793,0,60
1.0,0.622222,4,0.811206,16,0.0,4,0.0,13,pairwise,60,0.811206,1.0,0.25,0.0,generated_plus_composition_oracle,120,13,0.0,0.45,0.066667,0.266667,0.044444,0.044444,0.422222,0.355556,0.0,0.0,0.066667,0.0,0.044444,0.111111,0.0,0.233333,0.158122,0.066667,0.821446,confidence_t0p45,4,45,2048,0.6,0.830172,4,0.828793,0,60
0.0,0.488889,4,0.910964,16,0.104032,4,0.0,17,pairwise,60,1.014996,0.0,0.25,0.0,static_learned_interaction,120,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.405533,0.25,0.9469,confidence_t0,4,45,2048,0.25,0.9469,4,0.99214,0,60
1.0,0.555556,4,0.910964,16,0.07189,4,0.333333,17,pairwise,60,0.982854,0.466667,0.25,0.0,joint_selector_propagator,120,17,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.622222,0.0,0.0,0.244444,0.0,0.0,0.044444,0.0,1.0,0.405533,0.25,0.9469,confidence_t0,4,45,2048,0.25,0.9469,4,0.99214,0,60
1.0,0.555556,4,0.910964,16,0.07189,4,0.333333,17,pairwise,60,0.982854,0.466667,0.25,0.0,confidence_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.622222,0.0,0.0,0.244444,0.0,0.0,0.044444,0.0,1.0,0.405533,0.25,0.9469,confidence_t0,4,45,2048,0.25,0.9469,4,0.99214,0,60
1.0,0.555556,4,0.910964,16,0.07189,4,0.333333,17,pairwise,60,0.982854,0.466667,0.25,0.0,train_selected_joint_selector_propagator,120,17,0.0,0.0,0.0,0.088889,0.0,0.0,0.088889,0.622222,0.0,0.0,0.244444,0.0,0.0,0.044444,0.0,1.0,0.405533,0.25,0.9469,confidence_t0,4,45,2048,0.25,0.9469,4,0.99214,0,60
1.0,0.622222,4,0.910964,16,0.0,4,0.0,17,pairwise,60,0.910964,1.0,0.25,0.0,generated_plus_composition_oracle,120,17,0.0,0.0,0.0,0.288889,0.022222,0.022222,0.333333,0.422222,0.0,0.0,0.133333,0.0,0.0,0.111111,0.0,1.0,0.405533,0.25,0.9469,confidence_t0,4,45,2048,0.25,0.9469,4,0.99214,0,60
0.0,0.444444,4,0.980711,16,0.096905,4,0.0,19,pairwise,60,1.077615,0.0,0.25,0.0,static_learned_interaction,120,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.566667,0.17643,0.116667,0.834419,confidence_t0p45,4,45,2048,0.4,0.843629,4,0.85101,0,60
1.0,0.511111,4,0.980711,16,0.068476,4,0.311111,19,pairwise,60,1.049187,0.533333,0.25,0.0,joint_selector_propagator,120,19,0.0,0.45,0.0,0.111111,0.0,0.0,0.111111,0.755556,0.0,0.0,0.133333,0.0,0.0,0.0,0.0,0.566667,0.17643,0.116667,0.834419,confidence_t0p45,4,45,2048,0.4,0.843629,4,0.85101,0,60
0.533333,0.488889,4,0.980711,16,0.0798,4,0.111111,19,pairwise,60,1.060511,0.377778,0.25,0.0,confidence_selected_joint_selector_propagator,120,19,0.0,0.45,0.0,0.022222,0.0,0.0,0.022222,0.511111,0.0,0.466667,0.0,0.0,0.0,0.0,0.0,0.566667,0.17643,0.116667,0.834419,confidence_t0p45,4,45,2048,0.4,0.843629,4,0.85101,0,60
0.533333,0.488889,4,0.980711,16,0.0798,4,0.111111,19,pairwise,60,1.060511,0.377778,0.25,0.0,train_selected_joint_selector_propagator,120,19,0.0,0.45,0.0,0.022222,0.0,0.0,0.022222,0.511111,0.0,0.466667,0.0,0.0,0.0,0.0,0.0,0.566667,0.17643,0.116667,0.834419,confidence_t0p45,4,45,2048,0.4,0.843629,4,0.85101,0,60
