accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach
0.0,0.444444,4,0.938979,16,0.032081,4,0.0,11,pairwise,60,0.971059,0.0,0.25,0.0,static_learned_interaction,120,0.0,11,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.366667,0.169098,0.1,0.8265,confidence_t0p45,4,45,2048,0.516667,0.829181,4,0.831497,0,60,1,1
1.0,0.488889,4,0.938979,16,0.017774,4,0.355556,11,pairwise,60,0.956753,0.488889,0.25,0.0,joint_selector_propagator,120,0.0,11,0.0,0.45,0.0,0.155556,0.0,0.0,0.155556,0.844444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366667,0.169098,0.1,0.8265,confidence_t0p45,4,45,2048,0.516667,0.829181,4,0.831497,0,60,1,1
0.266667,0.444444,4,0.938979,16,0.027843,4,0.022222,11,pairwise,60,0.966822,0.2,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,11,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.266667,0.0,0.733333,0.0,0.0,0.0,0.0,0.0,0.366667,0.169098,0.1,0.8265,confidence_t0p45,4,45,2048,0.516667,0.829181,4,0.831497,0,60,1,1
0.266667,0.444444,4,0.938979,16,0.027843,4,0.022222,11,pairwise,60,0.966822,0.2,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,11,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.266667,0.0,0.733333,0.0,0.0,0.0,0.0,0.0,0.366667,0.169098,0.1,0.8265,confidence_t0p45,4,45,2048,0.516667,0.829181,4,0.831497,0,60,1,1
1.0,0.488889,4,0.938979,16,0.0,4,0.0,11,pairwise,60,0.938979,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,11,0.0,0.45,0.088889,0.2,0.022222,0.022222,0.333333,0.444444,0.0,0.0,0.155556,0.0,0.022222,0.044444,0.0,0.366667,0.169098,0.1,0.8265,confidence_t0p45,4,45,2048,0.516667,0.829181,4,0.831497,0,60,1,1
0.0,0.577778,4,0.794655,16,0.058335,4,0.0,13,pairwise,60,0.852991,0.022222,0.25,0.0,static_learned_interaction,120,0.0,13,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.233333,0.223574,0.05,0.808938,confidence_t0p65,4,45,2048,0.5,0.812179,4,0.822314,0,60,1,1
1.0,0.6,4,0.794655,16,0.040053,4,0.466667,13,pairwise,60,0.834708,0.444444,0.25,0.0,joint_selector_propagator,120,0.0,13,0.0,0.65,0.0,0.244444,0.0,0.0,0.244444,0.733333,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.233333,0.223574,0.05,0.808938,confidence_t0p65,4,45,2048,0.5,0.812179,4,0.822314,0,60,1,1
0.044444,0.577778,4,0.794655,16,0.055237,4,0.0,13,pairwise,60,0.849893,0.066667,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,13,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.044444,0.0,0.955556,0.0,0.0,0.0,0.0,0.0,0.233333,0.223574,0.05,0.808938,confidence_t0p65,4,45,2048,0.5,0.812179,4,0.822314,0,60,1,1
0.044444,0.577778,4,0.794655,16,0.055237,4,0.0,13,pairwise,60,0.849893,0.066667,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,13,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.044444,0.0,0.955556,0.0,0.0,0.0,0.0,0.0,0.233333,0.223574,0.05,0.808938,confidence_t0p65,4,45,2048,0.5,0.812179,4,0.822314,0,60,1,1
0.977778,0.666667,4,0.794655,16,0.0,4,0.0,13,pairwise,60,0.794655,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,13,0.0,0.65,0.044444,0.288889,0.022222,0.022222,0.377778,0.333333,0.0,0.022222,0.111111,0.0,0.044444,0.111111,0.0,0.233333,0.223574,0.05,0.808938,confidence_t0p65,4,45,2048,0.5,0.812179,4,0.822314,0,60,1,1
