accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.466667,4,0.927396,16,0.038667,4,0.0,11,pairwise,60,0.966063,0.0,0.25,0.0,static_learned_interaction,120,0.0,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.533333,0.211032,0.216667,0.827524,confidence_t0p35,4,45,2048,0.533333,0.830428,4,0.834771,0,60,1,1,1,0.4,1.0
1.0,0.466667,4,0.927396,16,0.022937,4,0.533333,11,pairwise,60,0.950332,0.4,0.25,0.0,joint_selector_propagator,120,0.0,11,0.0,0.35,0.0,0.111111,0.0,0.0,0.111111,0.888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533333,0.211032,0.216667,0.827524,confidence_t0p35,4,45,2048,0.533333,0.830428,4,0.834771,0,60,1,1,1,0.4,1.0
0.622222,0.466667,4,0.927396,16,0.024908,4,0.288889,11,pairwise,60,0.952303,0.311111,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,11,0.0,0.35,0.0,0.022222,0.0,0.0,0.022222,0.6,0.0,0.377778,0.0,0.0,0.0,0.0,0.0,0.533333,0.211032,0.216667,0.827524,confidence_t0p35,4,45,2048,0.533333,0.830428,4,0.834771,0,60,1,1,1,0.4,1.0
0.622222,0.466667,4,0.927396,16,0.024908,4,0.288889,11,pairwise,60,0.952303,0.311111,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,11,0.0,0.35,0.0,0.022222,0.0,0.0,0.022222,0.6,0.0,0.377778,0.0,0.0,0.0,0.0,0.0,0.533333,0.211032,0.216667,0.827524,confidence_t0p35,4,45,2048,0.533333,0.830428,4,0.834771,0,60,1,1,1,0.4,1.0
1.0,0.511111,4,0.927396,16,0.0,4,0.0,11,pairwise,60,0.927396,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,11,0.0,0.35,0.088889,0.177778,0.044444,0.066667,0.377778,0.355556,0.0,0.0,0.177778,0.0,0.022222,0.066667,0.0,0.533333,0.211032,0.216667,0.827524,confidence_t0p35,4,45,2048,0.533333,0.830428,4,0.834771,0,60,1,1,1,0.4,1.0
0.0,0.577778,4,0.801183,16,0.055235,4,0.0,13,pairwise,60,0.856418,0.022222,0.25,0.0,static_learned_interaction,120,0.0,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.466667,0.217666,0.2,0.814154,confidence_t0p45,4,45,2048,0.583333,0.826994,4,0.826139,0,60,1,1,1,0.4,1.0
1.0,0.577778,4,0.801183,16,0.045232,4,0.511111,13,pairwise,60,0.846416,0.4,0.25,0.0,joint_selector_propagator,120,0.0,13,0.0,0.45,0.0,0.133333,0.0,0.0,0.133333,0.844444,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.466667,0.217666,0.2,0.814154,confidence_t0p45,4,45,2048,0.583333,0.826994,4,0.826139,0,60,1,1,1,0.4,1.0
0.377778,0.6,4,0.801183,16,0.040139,4,0.133333,13,pairwise,60,0.841322,0.266667,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.377778,0.0,0.622222,0.0,0.0,0.0,0.0,0.0,0.466667,0.217666,0.2,0.814154,confidence_t0p45,4,45,2048,0.583333,0.826994,4,0.826139,0,60,1,1,1,0.4,1.0
0.377778,0.6,4,0.801183,16,0.040139,4,0.133333,13,pairwise,60,0.841322,0.266667,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,13,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.377778,0.0,0.622222,0.0,0.0,0.0,0.0,0.0,0.466667,0.217666,0.2,0.814154,confidence_t0p45,4,45,2048,0.583333,0.826994,4,0.826139,0,60,1,1,1,0.4,1.0
0.977778,0.622222,4,0.801183,16,0.0,4,0.0,13,pairwise,60,0.801183,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,13,0.0,0.45,0.066667,0.266667,0.044444,0.022222,0.4,0.355556,0.0,0.022222,0.066667,0.0,0.044444,0.111111,0.0,0.466667,0.217666,0.2,0.814154,confidence_t0p45,4,45,2048,0.583333,0.826994,4,0.826139,0,60,1,1,1,0.4,1.0
