"accept_rate","accuracy","budget","candidate_oracle_loss","causal_k","composition_steps","deployment_reject_margin","deployment_risk_adjusted","deployment_risk_penalty","deployment_safe_threshold","excess_over_candidate_oracle","generated_candidates","harmful_accept_rate","heldout_seed","interaction_mode","learned_generated_candidates","loss","oracle_match_rate","policy","predicted_regret_mean","predicted_safe_probability_mean","predicted_sigma_mean","propagation_steps","regret_corr","regret_retriever_steps","retriever_steps","seed","selected_composition_argmax_rate","selected_composition_count_only_rate","selected_composition_expected_rate","selected_composition_rate","selected_generated_0_rate","selected_generated_1_rate","selected_generated_2_rate","selected_generated_3_rate","selected_generated_rate","selected_indexed_rate","selected_interaction_rate","selected_learned_generated_0_rate","selected_learned_generated_1_rate","selected_learned_generated_2_rate","selected_learned_generated_3_rate","selected_learned_rate","selected_proximity_rate","selection_train_accept_rate","selection_train_gap_closure","selection_train_harmful_accept_rate","selection_train_loss","selection_train_policy","test_samples","total_objects_n","train_joint_utility_accept_rate","train_joint_utility_safe_accept_rate","train_joint_utility_safe_verifier_loss","train_joint_utility_verifier_loss","train_seed_count","train_static_learned_loss","validation_samples_per_seed","verifier_steps"
"","0.5","4","0.939425","8","600","","","","","0.031081","4","","11","pairwise","4","0.970506","0.022222","static_learned_interaction","","","","40","","600","400","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.788889","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.5","0.026702","4","0.333333","11","pairwise","4","0.966127","0.133333","joint_utility_verifier","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.0","0.1","0.466667","0.0","0.077778","0.022222","0.0","0.022222","0.222222","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.755556","0.511111","4","0.939425","8","600","0.0","1.0","0.5","0.5","0.028372","4","0.355556","11","pairwise","4","0.967797","0.111111","joint_utility_safe_verifier","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.033333","0.0","0.033333","0.066667","0.033333","0.0","0.022222","0.011111","0.066667","0.411111","0.0","0.111111","0.022222","0.011111","0.022222","0.255556","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.811111","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.35","0.026247","4","0.333333","11","pairwise","4","0.965672","0.144444","train_selected_joint_utility_verifier","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.011111","0.111111","0.477778","0.0","0.077778","0.022222","0.0","0.022222","0.2","0.033333","0.930556","0.966834","0.0125","0.946521","candidate_regret_gate_s0p35","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"","0.511111","4","0.939425","8","600","","","","","0.0","4","","11","pairwise","4","0.939425","1.0","generated_plus_composition_oracle","","","","40","","600","400","11","0.233333","0.033333","0.066667","0.333333","0.088889","0.111111","0.055556","0.011111","0.266667","0.188889","0.033333","0.0","0.011111","0.0","0.022222","0.022222","0.122222","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.811111","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.35","0.026247","4","0.333333","11","pairwise","4","0.965672","0.144444","joint_utility_candidate_regret_gate_s0p35","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.011111","0.111111","0.477778","0.0","0.077778","0.022222","0.0","0.022222","0.2","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.788889","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.5","0.026702","4","0.333333","11","pairwise","4","0.966127","0.133333","joint_utility_candidate_regret_gate_s0p5","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.0","0.1","0.466667","0.0","0.077778","0.022222","0.0","0.022222","0.222222","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.777778","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.65","0.026457","4","0.322222","11","pairwise","4","0.965882","0.133333","joint_utility_candidate_regret_gate_s0p65","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.0","0.1","0.455556","0.0","0.077778","0.022222","0.0","0.022222","0.233333","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.755556","0.511111","4","0.939425","8","600","0.0","0.0","0.5","0.8","0.026087","4","0.3","11","pairwise","4","0.965513","0.133333","joint_utility_candidate_regret_gate_s0p8","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.011111","0.0","0.044444","0.055556","0.066667","0.011111","0.022222","0.0","0.1","0.433333","0.0","0.077778","0.022222","0.0","0.022222","0.255556","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
"0.777778","0.511111","4","0.939425","8","600","0.0","1.0","0.5","0.35","0.027917","4","0.355556","11","pairwise","4","0.967342","0.122222","joint_utility_uncertainty_regret_gate_s0p35","-0.296121","0.482345","0.301643","40","0.172716","600","400","11","0.033333","0.0","0.033333","0.066667","0.033333","0.0","0.022222","0.022222","0.077778","0.422222","0.0","0.111111","0.022222","0.011111","0.022222","0.233333","0.033333","","","","","","90","2048","0.913889","0.919444","0.947205","0.946659","4","0.981228","180","700"
