source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p0025_s0p35,0.988432,0.955128,0.033304,0.985841,0.513333,0.126667,0.00259,0.077781,0.030713,0.76,0.328889,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p0025_s0p5,0.988432,0.955128,0.033304,0.985859,0.513333,0.117778,0.002572,0.077234,0.030732,0.733333,0.32,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p0025_s0p65,0.988432,0.955128,0.033304,0.98613,0.511111,0.117778,0.002301,0.069097,0.031003,0.708889,0.311111,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p0025_s0p8,0.988432,0.955128,0.033304,0.985755,0.511111,0.117778,0.002677,0.080369,0.030627,0.695556,0.3,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p005_s0p35,0.988432,0.955128,0.033304,0.985841,0.513333,0.126667,0.00259,0.077781,0.030713,0.76,0.328889,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p005_s0p5,0.988432,0.955128,0.033304,0.985859,0.513333,0.117778,0.002572,0.077234,0.030732,0.733333,0.32,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p005_s0p65,0.988432,0.955128,0.033304,0.98613,0.511111,0.117778,0.002301,0.069097,0.031003,0.708889,0.311111,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p005_s0p8,0.988432,0.955128,0.033304,0.985755,0.511111,0.117778,0.002677,0.080369,0.030627,0.695556,0.3,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p01_s0p35,0.988432,0.955128,0.033304,0.985851,0.513333,0.126667,0.002581,0.077487,0.030723,0.757778,0.328889,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_joint_utility_verifier.csv,2048,8,joint_utility_candidate_regret_gate_m0p01_s0p5,0.988432,0.955128,0.033304,0.985869,0.513333,0.117778,0.002562,0.07694,0.030741,0.731111,0.32,0.050741,0.243856,0.0,0.0,5,insufficient_no_harm_rejection
