adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed_N4096_K4_D0_seed11.pt,512.271484,512,2,0.335,wpu-cws-indexed,4.072905,1e-05,6853655,11,4.0,ok,4096,1.082613
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed_N4096_K4_D0_seed13.pt,515.021484,512,2,0.335,wpu-cws-indexed,4.228012,2e-06,6853655,13,4.0,ok,4096,1.070704
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed-local-dense_N4096_K4_D0_seed11.pt,515.021484,512,2,0.335,wpu-cws-indexed-local-dense,3.324292,1e-05,6853655,11,4.0,ok,4096,1.082613
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed-local-dense_N4096_K4_D0_seed13.pt,515.021484,512,2,0.335,wpu-cws-indexed-local-dense,2.926755,2e-06,6853655,13,4.0,ok,4096,1.070704
0,4092,True,0.695,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed-sparse_N4096_K4_D0_seed11.pt,416.068359,512,2,0.335,wpu-cws-indexed-sparse,5.182375,0.0,548887,11,4.0,ok,4096,0.566548
0,4092,True,0.72,4,1.0,artifacts/wpu_v2_k_sweep_pilot_indexed/checkpoints/wpu-cws-indexed-sparse_N4096_K4_D0_seed13.pt,416.068359,512,2,0.335,wpu-cws-indexed-sparse,3.769742,0.0,548887,13,4.0,ok,4096,0.581523
0,4092,True,0.695,4,1.0,artifacts/wpu_v2_k_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K4_D0_seed11.pt,515.021484,512,2,0.335,wpu-cws-learned,1.240375,1.1e-05,6853655,11,64.0,ok,4096,0.474942
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot/checkpoints/wpu-cws-learned_N4096_K4_D0_seed13.pt,515.021484,512,2,0.335,wpu-cws-learned,1.302957,0.000156,6853655,13,64.0,ok,4096,1.127016
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot/checkpoints/wpu-cws-oracle_N4096_K4_D0_seed11.pt,512.271484,512,2,0.335,wpu-cws-oracle,1.812275,1e-05,6853655,11,4.0,ok,4096,1.082613
0,4092,True,0.335,4,1.0,artifacts/wpu_v2_k_sweep_pilot/checkpoints/wpu-cws-oracle_N4096_K4_D0_seed13.pt,515.021484,512,2,0.335,wpu-cws-oracle,1.747505,2e-06,6853655,13,4.0,ok,4096,1.070704
