balance_train_k,budget,causal_k,causal_recall,hand_hit_rate,obstacle_recall,samples,selected_obstacle_pair_density,selected_obstacles,selection_mode,teacher_overlap,total_objects_n,train_causal_k
1,4,8,0.5,1.0,0.0,320,0.0,0,indexed,0.333333,2048,16
1,4,8,0.5,0.409375,0.567187,320,0.244792,2.26875,proximity,0.616488,2048,16
1,4,8,0.5,1.0,0.5,320,0.6125,2,interaction,1.0,2048,16
1,4,8,0.5,1.0,0.5,320,0.546875,2,learned,0.8775,2048,16
1,4,16,0.25,1.0,0.0,320,0.0,0,indexed,0.333333,2048,16
1,4,16,0.25,0.31875,0.210938,320,0.542708,2.53125,proximity,0.307262,2048,16
1,4,16,0.25,1.0,0.166667,320,0.83125,2,interaction,1.0,2048,16
1,4,16,0.25,1.0,0.166667,320,0.821875,2,learned,0.93875,2048,16
1,4,32,0.125,1.0,0.0,320,0.0,0,indexed,0.333333,2048,16
1,4,32,0.125,0.275,0.093862,320,0.807292,2.628125,proximity,0.23631,2048,16
1,4,32,0.125,1.0,0.071429,320,0.8625,2,interaction,1.0,2048,16
1,4,32,0.125,1.0,0.071429,320,0.784375,2,learned,0.474583,2048,16
1,4,8,0.5,1.0,0.0,320,0.0,0,indexed,0.333333,2048,"8,16,32"
1,4,8,0.5,0.409375,0.567187,320,0.244792,2.26875,proximity,0.616488,2048,"8,16,32"
1,4,8,0.5,1.0,0.5,320,0.6125,2,interaction,1.0,2048,"8,16,32"
1,4,8,0.5,1.0,0.5,320,0.565625,2,learned,0.9675,2048,"8,16,32"
1,4,16,0.25,1.0,0.0,320,0.0,0,indexed,0.333333,2048,"8,16,32"
1,4,16,0.25,0.31875,0.210938,320,0.542708,2.53125,proximity,0.307262,2048,"8,16,32"
1,4,16,0.25,1.0,0.166667,320,0.83125,2,interaction,1.0,2048,"8,16,32"
1,4,16,0.25,1.0,0.166667,320,0.85625,2,learned,0.9575,2048,"8,16,32"
1,4,32,0.125,1.0,0.0,320,0.0,0,indexed,0.333333,2048,"8,16,32"
1,4,32,0.125,0.275,0.093862,320,0.807292,2.628125,proximity,0.23631,2048,"8,16,32"
1,4,32,0.125,1.0,0.071429,320,0.8625,2,interaction,1.0,2048,"8,16,32"
1,4,32,0.125,1.0,0.071429,320,0.875,2,learned,0.954583,2048,"8,16,32"
