adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,dense_compute_ratio,hidden_dim,index_depth,interaction_dense_threshold,interaction_mode,layers,local_dense_ratio,majority_accuracy,model,ms_per_sample_forward,mse,params,pre_tensor_indexed,route_compute_loss_weight,seed,selected_k_mean,selector_confidence_mean,sparse_ratio,status,total_objects_n,train_loss,source,route_distill_loss_weight
0,2040,True,0.411111,8,1.0,,22.210938,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,2.077063,0.030942,257141,True,0.01,11,8.0,0.206823,1.0,ok,2048,1.056333,wpu_v2_learned_selective_pilot.csv,
0,2040,True,0.455556,8,1.0,,22.210938,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,1.998697,0.025832,257141,True,0.01,13,8.0,0.267485,1.0,ok,2048,1.052292,wpu_v2_learned_selective_pilot.csv,
0,2032,True,0.355556,16,1.0,,22.382324,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,3.08643,0.039031,257141,True,0.01,11,16.0,0.135066,1.0,ok,2048,0.809152,wpu_v2_learned_selective_pilot.csv,
0,2032,True,0.555556,16,1.0,,22.382324,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,3.14715,0.012599,257141,True,0.01,13,16.0,0.149064,1.0,ok,2048,0.927158,wpu_v2_learned_selective_pilot.csv,
0,2016,True,0.333333,32,1.0,,22.731445,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.64283,0.08091,257141,True,0.01,11,32.0,0.487024,1.0,ok,2048,1.029325,wpu_v2_learned_selective_pilot.csv,
0,2016,True,0.5,32,1.0,,22.731445,0.0,128,1,0.5,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,4.90467,0.019751,257141,True,0.01,13,32.0,0.301463,1.0,ok,2048,1.12851,wpu_v2_learned_selective_pilot.csv,
0,2040,True,0.411111,8,1.0,,22.210938,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,2.252673,0.030942,257141,True,0.01,11,8.0,0.206823,1.0,ok,2048,1.056333,wpu_v2_learned_selective_t015_pilot.csv,
0,2040,True,0.455556,8,1.0,,22.210938,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,2.545723,0.025832,257141,True,0.01,13,8.0,0.267485,1.0,ok,2048,1.052292,wpu_v2_learned_selective_t015_pilot.csv,
0,2032,True,0.344444,16,1.0,,22.382324,0.266667,128,1,0.15,pairwise,1,0.042602,0.333333,wpu-cws-indexed-learned-selective-hybrid,3.868077,0.039357,257141,True,0.01,11,16.0,0.135066,0.957398,ok,2048,0.809152,wpu_v2_learned_selective_t015_pilot.csv,
0,2032,True,0.555556,16,1.0,,22.382324,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.052387,0.012599,257141,True,0.01,13,16.0,0.149064,1.0,ok,2048,0.927158,wpu_v2_learned_selective_t015_pilot.csv,
0,2016,True,0.333333,32,1.0,,22.731445,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.408033,0.08091,257141,True,0.01,11,32.0,0.487024,1.0,ok,2048,1.029325,wpu_v2_learned_selective_t015_pilot.csv,
0,2016,True,0.5,32,1.0,,22.731445,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,5.821597,0.019751,257141,True,0.01,13,32.0,0.301463,1.0,ok,2048,1.12851,wpu_v2_learned_selective_t015_pilot.csv,
0,2040,True,0.4,8,1.0,,22.211426,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,1.864683,0.023468,257141,True,0.0,11,8.0,0.671009,1.0,ok,2048,1.153266,wpu_v2_distilled_selective_pilot.csv,1.0
0,2040,True,0.455556,8,1.0,,22.211426,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,1.761427,0.017535,257141,True,0.0,13,8.0,0.030161,1.0,ok,2048,1.092077,wpu_v2_distilled_selective_pilot.csv,1.0
0,2032,True,0.377778,16,1.0,,22.382812,0.322222,128,1,0.15,pairwise,1,0.050159,0.333333,wpu-cws-indexed-learned-selective-hybrid,4.47341,0.041814,257141,True,0.0,11,16.0,0.953389,0.949841,ok,2048,0.803178,wpu_v2_distilled_selective_pilot.csv,1.0
0,2032,True,0.555556,16,1.0,,22.382812,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,3.843947,0.019632,257141,True,0.0,13,16.0,0.020269,1.0,ok,2048,0.917406,wpu_v2_distilled_selective_pilot.csv,1.0
0,2016,True,0.366667,32,1.0,,22.731934,0.011111,128,1,0.15,pairwise,1,0.001669,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.784367,0.05945,257141,True,0.0,11,32.0,0.912962,0.998331,ok,2048,0.932569,wpu_v2_distilled_selective_pilot.csv,1.0
0,2016,True,0.444444,32,1.0,,22.731934,0.111111,128,1,0.15,pairwise,1,0.0173,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.4226,0.010557,257141,True,0.0,13,32.0,0.028971,0.9827,ok,2048,1.108135,wpu_v2_distilled_selective_pilot.csv,1.0
