adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,index_depth,interaction_mode,layers,local_dense_ratio,majority_accuracy,model,ms_per_sample_forward,mse,params,pre_tensor_indexed,seed,selected_k_mean,selector_confidence_mean,sparse_ratio,status,total_objects_n,train_loss
0,2040,True,0.488889,8,1.0,,18.73877,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,1.760497,0.009067,49836,True,11,8.0,0.391787,1.0,ok,2048,1.150463
0,2040,True,0.411111,8,1.0,,18.73877,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,1.644457,0.018853,49836,True,13,8.0,0.63149,1.0,ok,2048,1.022992
0,2032,True,0.433333,16,1.0,,18.913086,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,3.518963,0.015519,49836,True,11,16.0,0.295999,1.0,ok,2048,0.781283
0,2032,True,0.577778,16,1.0,,18.913086,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,2.74129,0.026471,49836,True,13,16.0,0.650055,1.0,ok,2048,0.950614
0,2016,True,0.5,32,1.0,,19.561035,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,4.422883,0.011411,49836,True,11,32.0,0.054906,1.0,ok,2048,1.009214
0,2016,True,0.6,32,1.0,,19.561035,128,1,pairwise,1,0.0,0.333333,wpu-cws-indexed-sparse,5.8093,0.012368,49836,True,13,32.0,0.692719,1.0,ok,2048,1.118073
0,2040,True,0.533333,8,1.0,,21.92041,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,1.71581,0.013131,248108,True,11,8.0,0.407653,0.0,ok,2048,1.066039
0,2040,True,0.444444,8,1.0,,21.92041,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,2.035457,0.025671,248108,True,13,8.0,0.502418,0.0,ok,2048,1.066974
0,2032,True,0.522222,16,1.0,,22.148926,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,3.714377,0.06854,248108,True,11,16.0,0.49439,0.0,ok,2048,0.786517
0,2032,True,0.566667,16,1.0,,22.148926,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,2.575427,0.022575,248108,True,13,16.0,0.359176,0.0,ok,2048,1.021717
0,2016,True,0.488889,32,1.0,,23.039062,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,5.516307,0.04703,248108,True,11,32.0,0.358032,0.0,ok,2048,1.036257
0,2016,True,0.544444,32,1.0,,23.039062,128,1,pairwise,1,1.0,0.333333,wpu-cws-indexed-local-dense,5.697843,0.020318,248108,True,13,32.0,0.773324,0.0,ok,2048,1.154399
0,2040,True,0.466667,8,1.0,,22.159668,128,1,pairwise,1,0.069322,0.333333,wpu-cws-indexed-learned-hybrid,1.88628,0.010809,248108,True,11,8.0,0.02593,0.930678,ok,2048,1.215155
0,2040,True,0.5,8,1.0,,22.159668,128,1,pairwise,1,0.075121,0.333333,wpu-cws-indexed-learned-hybrid,1.125727,0.017008,248108,True,13,8.0,0.905872,0.924879,ok,2048,1.11833
0,2032,True,0.444444,16,1.0,,22.331055,128,1,pairwise,1,0.075426,0.333333,wpu-cws-indexed-learned-hybrid,3.138077,0.016698,248108,True,11,16.0,0.065991,0.924574,ok,2048,0.801529
0,2032,True,0.6,16,1.0,,22.331055,128,1,pairwise,1,0.081676,0.333333,wpu-cws-indexed-learned-hybrid,3.094227,0.020318,248108,True,13,16.0,0.851883,0.918324,ok,2048,0.906231
0,2016,True,0.488889,32,1.0,,23.144531,128,1,pairwise,1,0.054272,0.333333,wpu-cws-indexed-learned-hybrid,4.82663,0.012297,248108,True,11,32.0,0.006503,0.945728,ok,2048,0.916666
0,2016,True,0.466667,32,1.0,,23.144531,128,1,pairwise,1,0.097535,0.333333,wpu-cws-indexed-learned-hybrid,5.594877,0.026958,248108,True,13,32.0,0.972023,0.902465,ok,2048,1.11604
