calibrated_threshold,calibration_gain_vs_zero,causal_k,compute_cost,dense_accuracy,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,model,oracle_dense_compute_ratio,oracle_loss,propagation_steps,regret_steps,route_regret_eval_corr,route_regret_eval_mse,route_regret_mean,route_regret_negative_ratio,routed_accuracy,routed_delta_vs_sparse,routed_excess_over_oracle,routed_loss,samples,seed,sparse_accuracy,sparse_loss,status,total_objects_n,working_set_size,zero_threshold_accuracy,zero_threshold_delta_vs_sparse,zero_threshold_dense_compute_ratio,zero_threshold_loss
0.05,0.006767,8,0.05,0.433333,0.188889,1.022499,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.333333,0.880574,40,80,0.296025,0.054472,0.098658,0.077778,0.511111,-0.020853,0.050372,0.930946,90,11,0.511111,0.951799,ok,2048,32,0.511111,-0.014085,0.077778,0.937714
0.060646,0.004795,8,0.05,0.422222,0.188889,1.044071,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.344444,0.906456,40,80,0.230879,0.055786,0.083721,0.0,0.5,-0.004795,0.060525,0.966981,90,13,0.5,0.971776,ok,2048,32,0.5,0.0,0.0,0.971776
-0.115848,0.035508,8,0.05,0.466667,0.188889,1.055065,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.4,0.913727,40,80,0.440349,0.077732,-0.029398,0.522222,0.455556,-0.036632,0.053072,0.966799,90,17,0.455556,1.003431,ok,2048,32,0.455556,-0.001125,0.522222,1.002306
-0.05,-0.009239,8,0.05,0.522222,0.088889,0.992269,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.511111,0.914236,40,80,0.452815,0.031192,0.048962,0.244444,0.533333,-0.022754,0.040618,0.954854,90,19,0.533333,0.977608,ok,2048,32,0.533333,-0.031993,0.244444,0.945616
-0.5,0.02484,8,0.05,0.533333,0.0,1.027173,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.422222,0.889565,40,80,0.020458,0.062837,-0.002068,0.6,0.533333,0.0,0.08239,0.971955,90,23,0.533333,0.971955,ok,2048,32,0.555556,0.02484,0.6,0.996795
0.016937,0.000201,16,0.05,0.488889,0.222222,1.021287,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.455556,0.919183,40,80,0.544443,0.028848,0.045979,0.177778,0.522222,-0.034318,0.012981,0.932163,90,11,0.544444,0.966481,ok,2048,32,0.544444,-0.034117,0.177778,0.932364
0.1,0.026455,16,0.05,0.466667,0.233333,0.9952,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.5,0.845087,40,80,0.299331,0.081151,0.134514,0.0,0.533333,-0.026455,0.046102,0.891189,90,13,0.533333,0.917643,ok,2048,32,0.533333,0.0,0.0,0.917643
0.0,0.0,16,0.05,0.411111,0.266667,1.100607,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.511111,0.923086,40,80,0.325432,0.127166,0.066023,0.266667,0.488889,-0.007041,0.05,0.973086,90,17,0.488889,0.980127,ok,2048,32,0.488889,-0.007041,0.266667,0.973086
-0.054493,0.011886,16,0.05,0.511111,0.188889,1.044703,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.433333,0.923548,40,80,0.38341,0.081956,0.010989,0.377778,0.488889,-0.024229,0.038844,0.962392,90,19,0.488889,0.986621,ok,2048,32,0.477778,-0.012343,0.377778,0.974278
-0.05,0.057729,16,0.05,0.466667,0.133333,1.04354,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.422222,0.914569,40,80,0.193963,0.052658,0.001789,0.411111,0.555556,-0.020366,0.036288,0.950857,90,23,0.555556,0.971223,ok,2048,32,0.5,0.037363,0.411111,1.008587
-0.060893,0.060583,32,0.05,0.466667,0.133333,1.086864,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.377778,0.959552,40,80,0.428331,0.039592,-0.01713,0.544444,0.5,-0.024959,0.02775,0.987302,90,11,0.5,1.01226,ok,2048,32,0.466667,0.035624,0.544444,1.047885
0.09832,0.033159,32,0.05,0.455556,0.888889,1.021242,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.688889,0.929378,40,80,0.199346,0.090149,0.038837,0.211111,0.444444,-0.055393,0.084359,1.013737,90,13,0.388889,1.06913,ok,2048,32,0.388889,-0.022233,0.211111,1.046896
0.05,-0.011117,32,0.05,0.455556,0.677778,1.077507,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.644444,0.951144,40,80,0.421184,0.103528,-0.013808,0.544444,0.466667,-0.022629,0.061404,1.012548,90,17,0.433333,1.035177,ok,2048,32,0.455556,-0.033745,0.544444,1.001431
-0.1,0.030327,32,0.05,0.455556,0.077778,1.10363,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.477778,0.905894,40,80,0.277244,0.150632,0.021431,0.322222,0.488889,-0.017717,0.074386,0.980281,90,19,0.488889,0.997998,ok,2048,32,0.455556,0.01261,0.322222,1.010608
-0.08007,0.026106,32,0.05,0.477778,0.122222,1.00151,128,pairwise,1,wpu-cws-indexed-physics-regret-hybrid,0.333333,0.938594,40,80,0.462666,0.01077,-0.008917,0.533333,0.522222,-0.019207,0.01112,0.949715,90,23,0.522222,0.968921,ok,2048,32,0.522222,0.006899,0.533333,0.975821
