adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,index_depth,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,pre_tensor_indexed,seed,selected_k_mean,status,total_objects_n,train_loss
0,56,True,0.69,8,1.0,,124.199219,512,1,2,0.335,wpu-cws-indexed,1.07528,0.00512,6853655,True,11,8.0,ok,64,1.060343
0,56,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.078191,0.010733,6853655,True,13,8.0,ok,64,0.51483
0,120,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.084844,0.00512,6853655,True,11,8.0,ok,128,1.060343
0,120,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.138523,0.010733,6853655,True,13,8.0,ok,128,0.51483
0,248,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.254916,0.00512,6853655,True,11,8.0,ok,256,1.060343
0,248,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.346073,0.010733,6853655,True,13,8.0,ok,256,0.51483
0,504,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.202487,0.00512,6853655,True,11,8.0,ok,512,1.060343
0,504,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.217308,0.010733,6853655,True,13,8.0,ok,512,0.51483
0,1016,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.462585,0.00512,6853655,True,11,8.0,ok,1024,1.060343
0,1016,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.530639,0.010733,6853655,True,13,8.0,ok,1024,0.51483
0,2040,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.517382,0.00512,6853655,True,11,8.0,ok,2048,1.060343
0,2040,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.58879,0.010733,6853655,True,13,8.0,ok,2048,0.51483
0,4088,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.503252,0.00512,6853655,True,11,8.0,ok,4096,1.060343
0,4088,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.522979,0.010733,6853655,True,13,8.0,ok,4096,0.51483
0,8184,True,0.69,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.741064,0.00512,6853655,True,11,8.0,ok,8192,1.060343
0,8184,True,0.665,8,1.0,,126.074219,512,1,2,0.335,wpu-cws-indexed,1.938904,0.010733,6853655,True,13,8.0,ok,8192,0.51483
