causal_k,dense_accuracy_mean,dense_accuracy_std,dense_compute_ratio_mean,dense_compute_ratio_std,dense_loss_mean,dense_loss_std,n,oracle_loss_mean,oracle_loss_std,route_regret_eval_corr_mean,route_regret_eval_corr_std,route_regret_eval_mse_mean,route_regret_eval_mse_std,routed_accuracy_mean,routed_accuracy_std,routed_delta_vs_sparse_mean,routed_delta_vs_sparse_std,routed_excess_over_oracle_mean,routed_excess_over_oracle_std,routed_loss_mean,routed_loss_std,sparse_accuracy_mean,sparse_accuracy_std,sparse_loss_mean,sparse_loss_std,variant
8,0.464444,0.029313,0.204445,0.07938,1.036001,0.011122,5,0.918102,0.028894,0.37698,0.080557,0.055988,0.021084,0.482222,0.015072,-0.030559,0.014698,0.041865,0.009657,0.959968,0.021046,0.482222,0.015072,0.990527,0.012973,internal
16,0.455556,0.044997,0.204444,0.071871,1.054396,0.032558,5,0.900536,0.051277,0.288751,0.195755,0.087851,0.035726,0.504444,0.023934,-0.017248,0.025374,0.048896,0.013649,0.949432,0.041248,0.504444,0.023934,0.966681,0.021914,internal
32,0.475556,0.036784,0.302222,0.208629,1.049826,0.035139,5,0.935939,0.020935,0.387533,0.132477,0.067626,0.030818,0.493333,0.025915,-0.028341,0.01032,0.043343,0.016408,0.979282,0.017877,0.477778,0.027217,1.007623,0.02042,internal
overall,0.465185,0.038462,0.237037,0.143022,1.046741,0.02945,15,0.918193,0.038855,0.351088,0.150825,0.070488,0.032612,0.493333,0.023934,-0.025383,0.018869,0.044702,0.01386,0.962894,0.03121,0.488148,0.025488,0.988277,0.02524,internal
8,0.475555,0.045216,0.131111,0.076142,1.028215,0.021439,5,0.900912,0.013527,0.288105,0.158291,0.056404,0.015073,0.506667,0.028631,-0.017007,0.013201,0.057395,0.014029,0.958307,0.014793,0.506667,0.028631,0.975314,0.016569,physics_hidden
16,0.468889,0.033259,0.208889,0.045216,1.041067,0.034812,5,0.905095,0.030177,0.349316,0.115274,0.074356,0.032968,0.517778,0.025915,-0.022482,0.008965,0.036843,0.012904,0.941937,0.028772,0.522222,0.028109,0.964419,0.024406,physics_hidden
32,0.462223,0.008889,0.38,0.336533,1.058151,0.039593,5,0.936912,0.018638,0.357754,0.101574,0.078934,0.049123,0.484444,0.026851,-0.027981,0.013939,0.051804,0.027913,0.988717,0.023615,0.466667,0.048686,1.016697,0.03389,physics_hidden
overall,0.468889,0.033259,0.24,0.226216,1.042478,0.035072,15,0.914306,0.02718,0.331725,0.131086,0.069898,0.036564,0.502963,0.030488,-0.02249,0.013028,0.048681,0.021356,0.962987,0.030173,0.498518,0.043294,0.985477,0.034352,physics_hidden
8,0.48,0.035417,0.273333,0.364445,1.028944,0.020557,5,0.914411,0.016021,0.072534,0.081502,0.052643,0.017847,0.515555,0.011331,0.002219,0.00403,0.067052,0.021246,0.981464,0.018944,0.502222,0.01474,0.979245,0.017319,state_only
16,0.44,0.029481,0.315555,0.258065,1.049145,0.048656,5,0.880432,0.054869,0.141629,0.185824,0.113934,0.031586,0.488889,0.015713,0.013573,0.034192,0.091024,0.049599,0.971457,0.030109,0.488889,0.036515,0.957884,0.027753,state_only
32,0.464445,0.023727,0.302222,0.195176,1.061886,0.024637,5,0.932566,0.035605,0.268188,0.121317,0.073926,0.032837,0.48,0.032508,-0.013384,0.013094,0.062927,0.036562,0.995492,0.022167,0.471111,0.036243,1.008877,0.018603,state_only
overall,0.461481,0.034155,0.297037,0.281924,1.046658,0.036281,15,0.909136,0.044481,0.160784,0.158726,0.080168,0.037997,0.494815,0.026563,0.000803,0.023966,0.073668,0.039617,0.982804,0.02613,0.487407,0.033424,0.982002,0.030154,state_only
