accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_margin_threshold,generated_candidates,heldout_seed,interaction_mode,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,robust_gate_margin_threshold,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_evaluator_use_rate,test_mean_margin,test_robust_use_rate,test_samples,total_objects_n,train_conservative_loss,train_evaluator_loss,train_robust_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.5,4,0.940478,8,600,0.030027,0.029756,4,11,pairwise,0.970506,0.022222,static_learned_interaction,40,600,400,0.029756,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,0.966667,0.950992,0.966667,90,2048,0.951445,0.951715,0.951445,4,0.981228,180
0.5,4,0.940478,8,600,0.026849,0.029756,4,11,pairwise,0.967327,0.122222,set_evaluator,40,600,400,0.029756,11,0.044444,0.011111,0.077778,0.133333,0.022222,0.177778,0.055556,0.0,0.255556,0.388889,0.066667,0.0,0.155556,600,0.966667,0.950992,0.966667,90,2048,0.951445,0.951715,0.951445,4,0.981228,180
0.5,4,0.940478,8,600,0.025991,0.029756,4,11,pairwise,0.966469,0.122222,conservative_margin_gate,40,600,400,0.029756,11,0.044444,0.011111,0.077778,0.133333,0.022222,0.166667,0.055556,0.0,0.244444,0.377778,0.066667,0.033333,0.144444,600,0.966667,0.950992,0.966667,90,2048,0.951445,0.951715,0.951445,4,0.981228,180
0.5,4,0.940478,8,600,0.025991,0.029756,4,11,pairwise,0.966469,0.122222,robust_per_seed_margin_gate,40,600,400,0.029756,11,0.044444,0.011111,0.077778,0.133333,0.022222,0.166667,0.055556,0.0,0.244444,0.377778,0.066667,0.033333,0.144444,600,0.966667,0.950992,0.966667,90,2048,0.951445,0.951715,0.951445,4,0.981228,180
0.511111,4,0.940478,8,600,0.0,0.029756,4,11,pairwise,0.940478,1.0,generated_plus_composition_oracle,40,600,400,0.029756,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,600,0.966667,0.950992,0.966667,90,2048,0.951445,0.951715,0.951445,4,0.981228,180
0.455556,4,0.964368,8,600,0.031986,0.007296,4,13,pairwise,0.996354,0.0,static_learned_interaction,40,600,400,0.007296,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,1.0,0.87072,1.0,90,2048,0.952576,0.952576,0.952576,4,0.980309,180
0.466667,4,0.964368,8,600,0.02749,0.007296,4,13,pairwise,0.991857,0.188889,set_evaluator,40,600,400,0.007296,13,0.033333,0.0,0.066667,0.1,0.044444,0.166667,0.011111,0.011111,0.233333,0.477778,0.033333,0.0,0.155556,600,1.0,0.87072,1.0,90,2048,0.952576,0.952576,0.952576,4,0.980309,180
0.466667,4,0.964368,8,600,0.02749,0.007296,4,13,pairwise,0.991857,0.188889,conservative_margin_gate,40,600,400,0.007296,13,0.033333,0.0,0.066667,0.1,0.044444,0.166667,0.011111,0.011111,0.233333,0.477778,0.033333,0.0,0.155556,600,1.0,0.87072,1.0,90,2048,0.952576,0.952576,0.952576,4,0.980309,180
0.466667,4,0.964368,8,600,0.02749,0.007296,4,13,pairwise,0.991857,0.188889,robust_per_seed_margin_gate,40,600,400,0.007296,13,0.033333,0.0,0.066667,0.1,0.044444,0.166667,0.011111,0.011111,0.233333,0.477778,0.033333,0.0,0.155556,600,1.0,0.87072,1.0,90,2048,0.952576,0.952576,0.952576,4,0.980309,180
0.522222,4,0.964368,8,600,0.0,0.007296,4,13,pairwise,0.964368,1.0,generated_plus_composition_oracle,40,600,400,0.007296,13,0.311111,0.033333,0.0,0.344444,0.033333,0.2,0.0,0.022222,0.255556,0.3,0.0,0.0,0.1,600,1.0,0.87072,1.0,90,2048,0.952576,0.952576,0.952576,4,0.980309,180
0.5,4,0.955413,8,600,0.020951,0.001108,4,17,pairwise,0.976364,0.011111,static_learned_interaction,40,600,400,0.001108,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,1.0,0.925035,1.0,90,2048,0.955142,0.955142,0.955142,4,0.98719,180
0.466667,4,0.955413,8,600,0.024363,0.001108,4,17,pairwise,0.979776,0.133333,set_evaluator,40,600,400,0.001108,17,0.088889,0.022222,0.033333,0.144444,0.022222,0.122222,0.055556,0.011111,0.211111,0.544444,0.011111,0.0,0.088889,600,1.0,0.925035,1.0,90,2048,0.955142,0.955142,0.955142,4,0.98719,180
0.466667,4,0.955413,8,600,0.024363,0.001108,4,17,pairwise,0.979776,0.133333,conservative_margin_gate,40,600,400,0.001108,17,0.088889,0.022222,0.033333,0.144444,0.022222,0.122222,0.055556,0.011111,0.211111,0.544444,0.011111,0.0,0.088889,600,1.0,0.925035,1.0,90,2048,0.955142,0.955142,0.955142,4,0.98719,180
0.466667,4,0.955413,8,600,0.024363,0.001108,4,17,pairwise,0.979776,0.133333,robust_per_seed_margin_gate,40,600,400,0.001108,17,0.088889,0.022222,0.033333,0.144444,0.022222,0.122222,0.055556,0.011111,0.211111,0.544444,0.011111,0.0,0.088889,600,1.0,0.925035,1.0,90,2048,0.955142,0.955142,0.955142,4,0.98719,180
