accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.5,4,8,0.028907,4,11,pairwise,400,0.971301,static_validation_base_choice,40,600,11,1.0,2,90,2048,4,180,interaction
0.5,4,8,0.028907,4,11,pairwise,400,0.971301,static_interaction,40,600,11,1.0,2,90,2048,4,180,interaction
0.5,4,8,0.028112,4,11,pairwise,400,0.970506,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,interaction
0.511111,4,8,0.027661,4,11,pairwise,400,0.970055,cross_seed_regret_distilled_retriever,40,600,11,0.822222,1.088889,90,2048,4,180,interaction
0.511111,4,8,0.022398,4,11,pairwise,400,0.964792,cross_seed_regret_min1_obstacle,40,600,11,0.755556,1.477778,90,2048,4,180,interaction
0.5,4,8,0.024861,4,11,pairwise,400,0.967255,cross_seed_regret_min2_obstacles,40,600,11,0.622222,2.077778,90,2048,4,180,interaction
0.511111,4,8,0.0,4,11,pairwise,400,0.942394,generated_oracle,40,600,11,0.666667,1.588889,90,2048,4,180,interaction
0.455556,4,8,0.024789,4,13,pairwise,400,0.989433,static_validation_base_choice,40,600,13,1.0,0,90,2048,4,180,indexed
0.466667,4,8,0.031725,4,13,pairwise,400,0.99637,static_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.455556,4,8,0.031709,4,13,pairwise,400,0.996354,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.477778,4,8,0.023583,4,13,pairwise,400,0.988228,cross_seed_regret_distilled_retriever,40,600,13,0.911111,1.2,90,2048,4,180,indexed
0.466667,4,8,0.027625,4,13,pairwise,400,0.99227,cross_seed_regret_min1_obstacle,40,600,13,0.9,1.522222,90,2048,4,180,indexed
0.477778,4,8,0.030791,4,13,pairwise,400,0.995436,cross_seed_regret_min2_obstacles,40,600,13,0.8,2.077778,90,2048,4,180,indexed
0.522222,4,8,0.0,4,13,pairwise,400,0.964645,generated_oracle,40,600,13,0.611111,1.322222,90,2048,4,180,indexed
0.5,4,8,0.019111,4,17,pairwise,400,0.976364,static_validation_base_choice,40,600,17,1.0,2,90,2048,4,180,learned
