accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.5,4,0.940478,8,600,0.030027,4,11,pairwise,0.970506,0.022222,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.951715,4,0.981228,180
0.5,4,0.940478,8,600,0.026849,4,11,pairwise,0.967327,0.122222,set_evaluator,40,600,400,11,0.044444,0.011111,0.077778,0.133333,0.022222,0.177778,0.055556,0.0,0.255556,0.388889,0.066667,0.0,0.155556,600,90,2048,0.951715,4,0.981228,180
0.511111,4,0.940478,8,600,0.0,4,11,pairwise,0.940478,1.0,generated_plus_composition_oracle,40,600,400,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,600,90,2048,0.951715,4,0.981228,180
0.455556,4,0.964368,8,600,0.031986,4,13,pairwise,0.996354,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.952576,4,0.980309,180
0.466667,4,0.964368,8,600,0.02749,4,13,pairwise,0.991857,0.188889,set_evaluator,40,600,400,13,0.033333,0.0,0.066667,0.1,0.044444,0.166667,0.011111,0.011111,0.233333,0.477778,0.033333,0.0,0.155556,600,90,2048,0.952576,4,0.980309,180
0.522222,4,0.964368,8,600,0.0,4,13,pairwise,0.964368,1.0,generated_plus_composition_oracle,40,600,400,13,0.311111,0.033333,0.0,0.344444,0.033333,0.2,0.0,0.022222,0.255556,0.3,0.0,0.0,0.1,600,90,2048,0.952576,4,0.980309,180
0.5,4,0.955413,8,600,0.020951,4,17,pairwise,0.976364,0.011111,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.955142,4,0.98719,180
0.466667,4,0.955413,8,600,0.024363,4,17,pairwise,0.979776,0.133333,set_evaluator,40,600,400,17,0.088889,0.022222,0.033333,0.144444,0.022222,0.122222,0.055556,0.011111,0.211111,0.544444,0.011111,0.0,0.088889,600,90,2048,0.955142,4,0.98719,180
0.511111,4,0.955413,8,600,0.0,4,17,pairwise,0.955413,1.0,generated_plus_composition_oracle,40,600,400,17,0.355556,0.011111,0.1,0.466667,0.066667,0.077778,0.066667,0.077778,0.288889,0.166667,0.022222,0.011111,0.044444,600,90,2048,0.955142,4,0.98719,180
0.533333,4,0.966301,8,600,0.036499,4,19,pairwise,1.002799,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.955278,4,0.984641,180
0.544444,4,0.966301,8,600,0.033471,4,19,pairwise,0.999772,0.166667,set_evaluator,40,600,400,19,0.044444,0.022222,0.011111,0.077778,0.044444,0.2,0.044444,0.0,0.288889,0.466667,0.055556,0.022222,0.088889,600,90,2048,0.955278,4,0.984641,180
0.644444,4,0.966301,8,600,0.0,4,19,pairwise,0.966301,1.0,generated_plus_composition_oracle,40,600,400,19,0.233333,0.066667,0.066667,0.366667,0.033333,0.211111,0.022222,0.044444,0.311111,0.233333,0.011111,0.0,0.077778,600,90,2048,0.955278,4,0.984641,180
0.544444,4,0.951111,8,600,0.045024,4,23,pairwise,0.996135,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.950052,4,0.974007,180
0.533333,4,0.951111,8,600,0.056197,4,23,pairwise,1.007308,0.077778,set_evaluator,40,600,400,23,0.155556,0.011111,0.055556,0.222222,0.011111,0.188889,0.044444,0.011111,0.255556,0.366667,0.055556,0.0,0.1,600,90,2048,0.950052,4,0.974007,180
0.6,4,0.951111,8,600,0.0,4,23,pairwise,0.951111,1.0,generated_plus_composition_oracle,40,600,400,23,0.144444,0.022222,0.055556,0.222222,0.011111,0.233333,0.044444,0.011111,0.3,0.355556,0.0,0.0,0.122222,600,90,2048,0.950052,4,0.974007,180
0.5,4,0.934236,16,600,0.037585,4,11,pairwise,0.971821,0.011111,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.863935,4,0.912281,180
0.488889,4,0.934236,16,600,0.034954,4,11,pairwise,0.96919,0.111111,set_evaluator,40,600,400,11,0.055556,0.022222,0.022222,0.1,0.066667,0.222222,0.022222,0.011111,0.322222,0.311111,0.055556,0.0,0.211111,600,90,2048,0.863935,4,0.912281,180
