accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.511111,0.945257,0.355556,4,8,0.021765,0.022753,1,0.511111,0.944269,0.344444,pairwise,0.967022,static_indexed,40,600,400,0.005,,11,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.511111,0.945257,0.322222,4,8,0.021379,0.022366,1,0.511111,0.944269,0.3,pairwise,0.966635,static_proximity,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.5,0.945257,0.277778,4,8,0.026044,0.027032,1,0.511111,0.944269,0.1,pairwise,0.971301,static_interaction,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.5,0.945257,0.044444,4,8,0.025249,0.026236,1,0.511111,0.944269,0.044444,pairwise,0.970506,static_learned,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.5,0.945257,0.277778,4,8,0.026044,0.027032,1,0.511111,0.944269,0.1,pairwise,0.971301,static_base_validation_choice,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.5,0.945257,0.277778,4,8,0.026044,0.027032,1,0.511111,0.944269,0.1,pairwise,0.971301,static_generated_validation_choice,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.957269,180,0.981704
0.511111,0.945257,0.377778,4,8,0.015601,0.016589,1,0.511111,0.944269,0.411111,pairwise,0.960858,generated_set_reranker,40,600,400,0.005,,11,0.066667,,,,,,,,0.066667,0.377778,0.144444,0.011111,0.4,interaction,interaction,90,2048,0.957269,180,0.981704
0.511111,0.945257,0.377778,4,8,0.015601,0.016589,1,0.511111,0.944269,0.411111,pairwise,0.960858,generated_margin_safe_reranker,40,600,400,0.005,1,11,0.066667,,,,,,,,0.066667,0.377778,0.144444,0.011111,0.4,interaction,interaction,90,2048,0.957269,180,0.981704
0.511111,0.945257,1.0,4,8,0.0,0.000988,1,0.511111,0.944269,0.788889,pairwise,0.945257,base_oracle,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.355556,0.277778,0.044444,0.322222,interaction,interaction,90,2048,0.957269,180,0.981704
0.511111,0.945257,0.788889,4,8,-0.000988,0.0,1,0.511111,0.944269,1.0,pairwise,0.944269,generated_oracle,40,600,400,0.005,,11,0.211111,,,,,,,,0.211111,0.344444,0.1,0.044444,0.3,interaction,interaction,90,2048,0.957269,180,0.981704
0.455556,0.968257,0.522222,4,8,0.021177,0.022323,1,0.511111,0.967111,0.511111,pairwise,0.989433,static_indexed,40,600,400,0.005,,13,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.455556,0.968257,0.266667,4,8,0.026101,0.027247,1,0.511111,0.967111,0.233333,pairwise,0.994358,static_proximity,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.466667,0.968257,0.2,4,8,0.028113,0.029259,1,0.511111,0.967111,0.133333,pairwise,0.99637,static_interaction,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.455556,0.968257,0.011111,4,8,0.028097,0.029243,1,0.511111,0.967111,0.011111,pairwise,0.996354,static_learned,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.455556,0.968257,0.522222,4,8,0.021177,0.022323,1,0.511111,0.967111,0.511111,pairwise,0.989433,static_base_validation_choice,40,600,400,0.005,,13,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.455556,0.968257,0.522222,4,8,0.021177,0.022323,1,0.511111,0.967111,0.511111,pairwise,0.989433,static_generated_validation_choice,40,600,400,0.005,,13,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957534,180,0.979049
0.466667,0.968257,0.6,4,8,0.010037,0.011182,1,0.511111,0.967111,0.555556,pairwise,0.978293,generated_set_reranker,40,600,400,0.005,,13,0.033333,,,,,,,,0.033333,0.588889,0.077778,0.022222,0.277778,indexed,indexed,90,2048,0.957534,180,0.979049
0.466667,0.968257,0.6,4,8,0.010037,0.011182,1,0.511111,0.967111,0.555556,pairwise,0.978293,generated_margin_safe_reranker,40,600,400,0.005,1,13,0.033333,,,,,,,,0.033333,0.588889,0.077778,0.022222,0.277778,indexed,indexed,90,2048,0.957534,180,0.979049
