accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.511111,0.945257,0.355556,4,8,0.021765,0.024628,4,0.511111,0.942394,0.333333,pairwise,0.967022,static_indexed,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.511111,0.945257,0.322222,4,8,0.021379,0.024242,4,0.511111,0.942394,0.133333,pairwise,0.966635,static_proximity,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.277778,4,8,0.026044,0.028907,4,0.511111,0.942394,0.044444,pairwise,0.971301,static_interaction,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.044444,4,8,0.025249,0.028112,4,0.511111,0.942394,0.044444,pairwise,0.970506,static_learned,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.277778,4,8,0.026044,0.028907,4,0.511111,0.942394,0.044444,pairwise,0.971301,static_base_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.0,4,8,0.022933,0.025796,4,0.511111,0.942394,0.077778,pairwise,0.96819,static_generated_validation_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.255556,4,8,0.02415,0.027013,4,0.511111,0.942394,0.244444,pairwise,0.969407,generated_set_reranker,40,600,400,0.005,,11,0.088889,0.188889,0.055556,0.066667,0.4,0.277778,0.088889,0.033333,0.2,generated_2,interaction,90,2048,0.952232,180,0.981704
0.5,0.945257,0.255556,4,8,0.02415,0.027013,4,0.511111,0.942394,0.244444,pairwise,0.969407,generated_margin_safe_reranker,40,600,400,0.005,1,11,0.088889,0.188889,0.055556,0.066667,0.4,0.277778,0.088889,0.033333,0.2,generated_2,interaction,90,2048,0.952232,180,0.981704
0.511111,0.945257,1.0,4,8,0.0,0.002863,4,0.511111,0.942394,0.555556,pairwise,0.945257,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.355556,0.277778,0.044444,0.322222,generated_2,interaction,90,2048,0.952232,180,0.981704
0.511111,0.945257,0.555556,4,8,-0.002863,0.0,4,0.511111,0.942394,1.0,pairwise,0.942394,generated_oracle,40,600,400,0.005,,11,0.122222,0.222222,0.077778,0.022222,0.444444,0.333333,0.044444,0.044444,0.133333,generated_2,interaction,90,2048,0.952232,180,0.981704
0.455556,0.968257,0.522222,4,8,0.021177,0.024789,4,0.522222,0.964645,0.511111,pairwise,0.989433,static_indexed,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.95288,180,0.979049
0.455556,0.968257,0.266667,4,8,0.026101,0.029713,4,0.522222,0.964645,0.1,pairwise,0.994358,static_proximity,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,indexed,indexed,90,2048,0.95288,180,0.979049
