accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,feature_variant,generated_candidates,heldout_seed,interaction_mode,loss,mechanism_max_seed_harm,mechanism_min_win_rate,mechanism_risk_penalty,mechanism_safe_margin,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,risk_adjusted_max_delta,risk_adjusted_mean_delta,risk_adjusted_score,risk_adjusted_selected_mechanism,risk_adjusted_win_rate,safe_margin,safe_uses_invariant_scorer,scorer_steps,seed,seed_stable_max_delta,seed_stable_mean_delta,seed_stable_selected_mechanism,seed_stable_win_rate,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_non_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_delta_vs_static,train_invariant_scorer_loss,train_seed_count,train_selected_mechanism,train_static_learned_loss,validation_samples_per_seed
0.5,4,0.940478,8,600,0.030027,role_geometry_family,4,11,pairwise,0.970506,0.0,0.75,0.5,0.0,0.022222,static_learned_interaction,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.030997,role_geometry_family,4,11,pairwise,0.971475,0.0,0.75,0.5,0.0,0.1,invariant_set_scorer,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.011111,0.0,0.044444,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.5,0.0,0.0,1.0,0.188889,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.030997,role_geometry_family,4,11,pairwise,0.971475,0.0,0.75,0.5,0.0,0.1,train_safe_invariant_set_scorer,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.011111,0.0,0.044444,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.5,0.0,0.0,1.0,0.188889,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.030997,role_geometry_family,4,11,pairwise,0.971475,0.0,0.75,0.5,0.0,0.1,train_selected_mechanism,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.011111,0.0,0.044444,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.5,0.0,0.0,1.0,0.188889,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.030997,role_geometry_family,4,11,pairwise,0.971475,0.0,0.75,0.5,0.0,0.1,seed_stable_selected_mechanism,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.011111,0.0,0.044444,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.5,0.0,0.0,1.0,0.188889,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.030997,role_geometry_family,4,11,pairwise,0.971475,0.0,0.75,0.5,0.0,0.1,risk_adjusted_selected_mechanism,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.011111,0.0,0.044444,0.055556,0.0,0.255556,0.0,0.0,0.255556,0.5,0.0,0.0,1.0,0.188889,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.511111,4,0.940478,8,600,0.0,role_geometry_family,4,11,pairwise,0.940478,0.0,0.75,0.5,0.0,1.0,generated_plus_composition_oracle,40,600,400,-0.000723,-0.016599,-0.016599,invariant,1.0,0.0,1,600,11,-0.000723,-0.016599,invariant,1.0,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,1.0,0.122222,90,2048,-0.016599,0.964629,4,invariant,0.981228,180
0.5,4,0.940478,8,600,0.030027,role_geometry_only,4,11,pairwise,0.970506,0.0,0.75,0.5,0.0,0.022222,static_learned_interaction,40,600,400,-0.004985,-0.016155,-0.016155,composition_argmax,1.0,0.0,1,600,11,-0.004985,-0.016155,composition_argmax,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90,2048,-0.013567,0.967662,4,composition_argmax,0.981228,180
0.511111,4,0.940478,8,600,0.032283,role_geometry_only,4,11,pairwise,0.972761,0.0,0.75,0.5,0.0,0.166667,invariant_set_scorer,40,600,400,-0.004985,-0.016155,-0.016155,composition_argmax,1.0,0.0,1,600,11,-0.004985,-0.016155,composition_argmax,1.0,0.011111,0.0,0.088889,0.1,0.0,0.144444,0.0,0.0,0.144444,0.6,0.0,0.0,1.0,0.155556,90,2048,-0.013567,0.967662,4,composition_argmax,0.981228,180
0.511111,4,0.940478,8,600,0.032283,role_geometry_only,4,11,pairwise,0.972761,0.0,0.75,0.5,0.0,0.166667,train_safe_invariant_set_scorer,40,600,400,-0.004985,-0.016155,-0.016155,composition_argmax,1.0,0.0,1,600,11,-0.004985,-0.016155,composition_argmax,1.0,0.011111,0.0,0.088889,0.1,0.0,0.144444,0.0,0.0,0.144444,0.6,0.0,0.0,1.0,0.155556,90,2048,-0.013567,0.967662,4,composition_argmax,0.981228,180
