accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,pairwise_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,soft_ce_weight,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,utility_weight,validation_reranker_loss,validation_samples,validation_static_loss
0.5,0.945257,0.277778,4,8,0.026044,0.030226,8,0.522222,0.941076,0.033333,pairwise,0.971301,1.0,static_base_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.5,0.945257,0.0,4,8,0.022933,0.027115,8,0.522222,0.941076,0.044444,pairwise,0.96819,1.0,static_generated_validation_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.522222,0.945257,0.155556,4,8,0.019737,0.023919,8,0.522222,0.941076,0.188889,pairwise,0.964994,1.0,pairwise_generated_reranker,40,600,400,0.005,,11,0.077778,0.055556,0.055556,0.044444,0.133333,0.022222,0.066667,0.122222,0.577778,0.222222,0.011111,0.044444,0.144444,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.522222,0.945257,0.155556,4,8,0.019737,0.023919,8,0.522222,0.941076,0.188889,pairwise,0.964994,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,11,0.077778,0.055556,0.055556,0.044444,0.133333,0.022222,0.066667,0.122222,0.577778,0.222222,0.011111,0.044444,0.144444,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.511111,0.945257,1.0,4,8,0.0,0.004181,8,0.522222,0.941076,0.488889,pairwise,0.945257,1.0,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355556,0.277778,0.044444,0.322222,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.522222,0.945257,0.488889,4,8,-0.004181,0.0,8,0.522222,0.941076,1.0,pairwise,0.941076,1.0,generated_oracle,40,600,400,0.005,,11,0.1,0.155556,0.044444,0.011111,0.077778,0.022222,0.055556,0.044444,0.511111,0.3,0.033333,0.022222,0.133333,0.25,generated_2,interaction,90,2048,0.05,0.952633,180,0.981704
0.455556,0.968257,0.522222,4,8,0.021177,0.025912,8,0.522222,0.963522,0.5,pairwise,0.989433,1.0,static_base_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.455556,0.968257,0.522222,4,8,0.021177,0.025912,8,0.522222,0.963522,0.5,pairwise,0.989433,1.0,static_generated_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.488889,0.968257,0.422222,4,8,0.008954,0.013689,8,0.522222,0.963522,0.544444,pairwise,0.977211,1.0,pairwise_generated_reranker,40,600,400,0.005,,13,0.0,0.088889,0.011111,0.011111,0.066667,0.022222,0.022222,0.111111,0.333333,0.533333,0.011111,0.033333,0.088889,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.488889,0.968257,0.422222,4,8,0.008954,0.013689,8,0.522222,0.963522,0.544444,pairwise,0.977211,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,13,0.0,0.088889,0.011111,0.011111,0.066667,0.022222,0.022222,0.111111,0.333333,0.533333,0.011111,0.033333,0.088889,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.511111,0.968257,1.0,4,8,0.0,0.004735,8,0.522222,0.963522,0.544444,pairwise,0.968257,1.0,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522222,0.2,0.011111,0.266667,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.522222,0.968257,0.544444,4,8,-0.004735,0.0,8,0.522222,0.963522,1.0,pairwise,0.963522,1.0,generated_oracle,40,600,400,0.005,,13,0.011111,0.2,0.0,0.011111,0.144444,0.011111,0.022222,0.055556,0.455556,0.5,0.0,0.0,0.044444,0.25,indexed,indexed,90,2048,0.05,0.953971,180,0.979049
0.5,0.962886,0.022222,4,8,0.013478,0.020361,8,0.511111,0.956003,0.011111,pairwise,0.976364,1.0,static_base_validation_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
0.477778,0.962886,0.0,4,8,0.014757,0.021641,8,0.511111,0.956003,0.077778,pairwise,0.977643,1.0,static_generated_validation_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
