accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,validation_samples,validation_static_base_mode
0.5,4,8,0.028907,4,pairwise,400,0.971301,static_validation_base_choice,40,600,11,1.0,2,90,2048,180,interaction
0.5,4,8,0.028907,4,pairwise,400,0.971301,static_interaction,40,600,11,1.0,2,90,2048,180,interaction
0.5,4,8,0.028112,4,pairwise,400,0.970506,static_learned_interaction,40,600,11,1.0,2,90,2048,180,interaction
0.522222,4,8,0.020663,4,pairwise,400,0.963057,regret_distilled_retriever,40,600,11,0.655556,1.766667,90,2048,180,interaction
0.5,4,8,0.028112,4,pairwise,400,0.970506,interaction_retrained_reference,40,600,11,1.0,2,90,2048,180,interaction
0.511111,4,8,0.0,4,pairwise,400,0.942394,generated_oracle,40,600,11,0.666667,1.588889,90,2048,180,interaction
0.455556,4,8,0.024789,4,pairwise,400,0.989433,static_validation_base_choice,40,600,13,1.0,0,90,2048,180,indexed
0.466667,4,8,0.031725,4,pairwise,400,0.99637,static_interaction,40,600,13,1.0,2,90,2048,180,indexed
0.455556,4,8,0.031709,4,pairwise,400,0.996354,static_learned_interaction,40,600,13,1.0,2,90,2048,180,indexed
0.5,4,8,0.016943,4,pairwise,400,0.981587,regret_distilled_retriever,40,600,13,0.611111,1.222222,90,2048,180,indexed
0.455556,4,8,0.031709,4,pairwise,400,0.996354,interaction_retrained_reference,40,600,13,1.0,2,90,2048,180,indexed
0.522222,4,8,0.0,4,pairwise,400,0.964645,generated_oracle,40,600,13,0.611111,1.322222,90,2048,180,indexed
0.5,4,8,0.019111,4,pairwise,400,0.976364,static_validation_base_choice,40,600,17,1.0,2,90,2048,180,learned
0.5,4,8,0.019329,4,pairwise,400,0.976582,static_interaction,40,600,17,1.0,2,90,2048,180,learned
0.5,4,8,0.019111,4,pairwise,400,0.976364,static_learned_interaction,40,600,17,1.0,2,90,2048,180,learned
0.5,4,8,0.015048,4,pairwise,400,0.972301,regret_distilled_retriever,40,600,17,0.788889,1.766667,90,2048,180,learned
0.5,4,8,0.019111,4,pairwise,400,0.976364,interaction_retrained_reference,40,600,17,1.0,2,90,2048,180,learned
0.511111,4,8,0.0,4,pairwise,400,0.957253,generated_oracle,40,600,17,0.722222,1.655556,90,2048,180,learned
0.533333,4,8,0.03599,4,pairwise,400,1.002764,static_validation_base_choice,40,600,19,1.0,2,90,2048,180,interaction
0.533333,4,8,0.03599,4,pairwise,400,1.002764,static_interaction,40,600,19,1.0,2,90,2048,180,interaction
0.533333,4,8,0.036025,4,pairwise,400,1.002799,static_learned_interaction,40,600,19,1.0,2,90,2048,180,interaction
0.633333,4,8,0.01603,4,pairwise,400,0.982804,regret_distilled_retriever,40,600,19,0.677778,1.3,90,2048,180,interaction
0.533333,4,8,0.036025,4,pairwise,400,1.002799,interaction_retrained_reference,40,600,19,1.0,2,90,2048,180,interaction
0.644444,4,8,0.0,4,pairwise,400,0.966774,generated_oracle,40,600,19,0.633333,1.422222,90,2048,180,interaction
0.544444,4,8,0.046302,4,pairwise,400,0.997574,static_validation_base_choice,40,600,23,1.0,0,90,2048,180,indexed
0.544444,4,8,0.045348,4,pairwise,400,0.99662,static_interaction,40,600,23,1.0,2,90,2048,180,indexed
0.544444,4,8,0.044863,4,pairwise,400,0.996135,static_learned_interaction,40,600,23,1.0,2,90,2048,180,indexed
0.555556,4,8,0.034066,4,pairwise,400,0.985338,regret_distilled_retriever,40,600,23,0.744444,1.177778,90,2048,180,indexed
0.544444,4,8,0.044863,4,pairwise,400,0.996135,interaction_retrained_reference,40,600,23,1.0,2,90,2048,180,indexed
0.6,4,8,0.0,4,pairwise,400,0.951272,generated_oracle,40,600,23,0.633333,1.311111,90,2048,180,indexed
0.5,4,16,0.036723,4,pairwise,400,0.971821,static_validation_base_choice,40,600,11,1.0,2,90,2048,180,learned
0.5,4,16,0.036448,4,pairwise,400,0.971546,static_interaction,40,600,11,1.0,2,90,2048,180,learned
0.5,4,16,0.036723,4,pairwise,400,0.971821,static_learned_interaction,40,600,11,1.0,2,90,2048,180,learned
0.5,4,16,0.034776,4,pairwise,400,0.969873,regret_distilled_retriever,40,600,11,0.866667,1.055556,90,2048,180,learned
0.5,4,16,0.036723,4,pairwise,400,0.971821,interaction_retrained_reference,40,600,11,1.0,2,90,2048,180,learned
0.544444,4,16,0.0,4,pairwise,400,0.935098,generated_oracle,40,600,11,0.577778,1.7,90,2048,180,learned
0.5,4,16,0.059514,4,pairwise,400,0.948618,static_validation_base_choice,40,600,13,0.355556,2.511111,90,2048,180,proximity
0.522222,4,16,0.056717,4,pairwise,400,0.945821,static_interaction,40,600,13,1.0,2,90,2048,180,proximity
0.522222,4,16,0.056724,4,pairwise,400,0.945828,static_learned_interaction,40,600,13,1.0,2,90,2048,180,proximity
0.511111,4,16,0.055366,4,pairwise,400,0.94447,regret_distilled_retriever,40,600,13,0.688889,1.244444,90,2048,180,proximity
0.522222,4,16,0.056724,4,pairwise,400,0.945828,interaction_retrained_reference,40,600,13,1.0,2,90,2048,180,proximity
0.555556,4,16,0.0,4,pairwise,400,0.889104,generated_oracle,40,600,13,0.488889,1.766667,90,2048,180,proximity
0.5,4,16,0.030557,4,pairwise,400,0.931978,static_validation_base_choice,40,600,17,1.0,2,90,2048,180,learned
0.5,4,16,0.030331,4,pairwise,400,0.931751,static_interaction,40,600,17,1.0,2,90,2048,180,learned
0.5,4,16,0.030557,4,pairwise,400,0.931978,static_learned_interaction,40,600,17,1.0,2,90,2048,180,learned
0.477778,4,16,0.024238,4,pairwise,400,0.925658,regret_distilled_retriever,40,600,17,0.866667,1.3,90,2048,180,learned
0.5,4,16,0.030557,4,pairwise,400,0.931978,interaction_retrained_reference,40,600,17,1.0,2,90,2048,180,learned
0.522222,4,16,0.0,4,pairwise,400,0.901421,generated_oracle,40,600,17,0.666667,1.655556,90,2048,180,learned
0.5,4,16,0.041492,4,pairwise,400,0.971019,static_validation_base_choice,40,600,19,0.288889,2.544444,90,2048,180,proximity
0.488889,4,16,0.043256,4,pairwise,400,0.972783,static_interaction,40,600,19,1.0,2,90,2048,180,proximity
0.488889,4,16,0.043424,4,pairwise,400,0.972951,static_learned_interaction,40,600,19,1.0,2,90,2048,180,proximity
0.522222,4,16,0.037696,4,pairwise,400,0.967223,regret_distilled_retriever,40,600,19,0.855556,1.022222,90,2048,180,proximity
0.488889,4,16,0.043424,4,pairwise,400,0.972951,interaction_retrained_reference,40,600,19,1.0,2,90,2048,180,proximity
