accuracy,budget,causal_k,delta_vs_static_validation_choice,excess_over_oracle,interaction_mode,loss,mode,oracle_accuracy,oracle_loss,oracle_mode_rate,policy,propagation_steps,retriever_steps,samples,seed,static_mode_from_validation,static_validation_accuracy,static_validation_loss,total_objects_n
0.511111,4,8,-0.004279,0.021765,pairwise,0.967022,indexed,0.511111,0.945257,0.355556,static_indexed,40,400,90,11,interaction,0.5,0.971301,2048
0.511111,4,8,-0.004666,0.021379,pairwise,0.966635,proximity,0.511111,0.945257,0.322222,static_proximity,40,400,90,11,interaction,0.5,0.971301,2048
0.5,4,8,0.0,0.026044,pairwise,0.971301,interaction,0.511111,0.945257,0.277778,static_interaction,40,400,90,11,interaction,0.5,0.971301,2048
0.5,4,8,-0.000796,0.025249,pairwise,0.970506,learned,0.511111,0.945257,0.044444,static_learned,40,400,90,11,interaction,0.5,0.971301,2048
0.511111,4,8,-0.026044,0.0,pairwise,0.945257,oracle,0.511111,0.945257,1.0,oracle_over_retrievers,40,400,90,11,interaction,0.5,0.971301,2048
0.455556,4,8,0.0,0.021177,pairwise,0.989433,indexed,0.511111,0.968257,0.522222,static_indexed,40,400,90,13,indexed,0.455556,0.989433,2048
0.455556,4,8,0.004924,0.026101,pairwise,0.994358,proximity,0.511111,0.968257,0.266667,static_proximity,40,400,90,13,indexed,0.455556,0.989433,2048
0.466667,4,8,0.006937,0.028113,pairwise,0.99637,interaction,0.511111,0.968257,0.2,static_interaction,40,400,90,13,indexed,0.455556,0.989433,2048
0.455556,4,8,0.00692,0.028097,pairwise,0.996354,learned,0.511111,0.968257,0.011111,static_learned,40,400,90,13,indexed,0.455556,0.989433,2048
0.511111,4,8,-0.021177,0.0,pairwise,0.968257,oracle,0.511111,0.968257,1.0,oracle_over_retrievers,40,400,90,13,indexed,0.455556,0.989433,2048
0.466667,4,8,0.005611,0.019307,pairwise,0.982193,indexed,0.511111,0.962886,0.355556,static_indexed,40,400,90,17,interaction,0.5,0.976582,2048
0.488889,4,8,0.000537,0.014234,pairwise,0.977119,proximity,0.511111,0.962886,0.266667,static_proximity,40,400,90,17,interaction,0.5,0.976582,2048
0.5,4,8,0.0,0.013696,pairwise,0.976582,interaction,0.511111,0.962886,0.355556,static_interaction,40,400,90,17,interaction,0.5,0.976582,2048
0.5,4,8,-0.000218,0.013478,pairwise,0.976364,learned,0.511111,0.962886,0.022222,static_learned,40,400,90,17,interaction,0.5,0.976582,2048
0.511111,4,8,-0.013696,0.0,pairwise,0.962886,oracle,0.511111,0.962886,1.0,oracle_over_retrievers,40,400,90,17,interaction,0.5,0.976582,2048
0.511111,4,8,0.0,0.025892,pairwise,0.999732,indexed,0.622222,0.973841,0.5,static_indexed,40,400,90,19,indexed,0.511111,0.999732,2048
0.522222,4,8,0.003371,0.029262,pairwise,1.003103,proximity,0.622222,0.973841,0.3,static_proximity,40,400,90,19,indexed,0.511111,0.999732,2048
0.533333,4,8,0.003032,0.028924,pairwise,1.002764,interaction,0.622222,0.973841,0.177778,static_interaction,40,400,90,19,indexed,0.511111,0.999732,2048
0.533333,4,8,0.003067,0.028959,pairwise,1.002799,learned,0.622222,0.973841,0.022222,static_learned,40,400,90,19,indexed,0.511111,0.999732,2048
0.622222,4,8,-0.025892,0.0,pairwise,0.973841,oracle,0.622222,0.973841,1.0,oracle_over_retrievers,40,400,90,19,indexed,0.511111,0.999732,2048
0.544444,4,8,0.0,0.037345,pairwise,0.997574,indexed,0.6,0.960229,0.533333,static_indexed,40,400,90,23,indexed,0.544444,0.997574,2048
0.511111,4,8,0.003577,0.040922,pairwise,1.001151,proximity,0.6,0.960229,0.255556,static_proximity,40,400,90,23,indexed,0.544444,0.997574,2048
0.544444,4,8,-0.000954,0.036391,pairwise,0.99662,interaction,0.6,0.960229,0.177778,static_interaction,40,400,90,23,indexed,0.544444,0.997574,2048
0.544444,4,8,-0.001439,0.035906,pairwise,0.996135,learned,0.6,0.960229,0.033333,static_learned,40,400,90,23,indexed,0.544444,0.997574,2048
0.6,4,8,-0.037345,0.0,pairwise,0.960229,oracle,0.6,0.960229,1.0,oracle_over_retrievers,40,400,90,23,indexed,0.544444,0.997574,2048
0.477778,4,16,0.017962,0.046674,pairwise,0.989783,indexed,0.522222,0.943108,0.377778,static_indexed,40,400,90,11,learned,0.5,0.971821,2048
0.488889,4,16,0.006115,0.034828,pairwise,0.977936,proximity,0.522222,0.943108,0.366667,static_proximity,40,400,90,11,learned,0.5,0.971821,2048
0.5,4,16,-0.000275,0.028437,pairwise,0.971546,interaction,0.522222,0.943108,0.233333,static_interaction,40,400,90,11,learned,0.5,0.971821,2048
0.5,4,16,0.0,0.028712,pairwise,0.971821,learned,0.522222,0.943108,0.022222,static_learned,40,400,90,11,learned,0.5,0.971821,2048
0.522222,4,16,-0.028712,0.0,pairwise,0.943108,oracle,0.522222,0.943108,1.0,oracle_over_retrievers,40,400,90,11,learned,0.5,0.971821,2048
0.5,4,16,0.022543,0.066572,pairwise,0.971161,indexed,0.544444,0.904589,0.4,static_indexed,40,400,90,13,proximity,0.5,0.948618,2048
0.5,4,16,0.0,0.044029,pairwise,0.948618,proximity,0.544444,0.904589,0.411111,static_proximity,40,400,90,13,proximity,0.5,0.948618,2048
0.522222,4,16,-0.002797,0.041232,pairwise,0.945821,interaction,0.544444,0.904589,0.155556,static_interaction,40,400,90,13,proximity,0.5,0.948618,2048
0.522222,4,16,-0.00279,0.041239,pairwise,0.945828,learned,0.544444,0.904589,0.033333,static_learned,40,400,90,13,proximity,0.5,0.948618,2048
0.544444,4,16,-0.044029,0.0,pairwise,0.904589,oracle,0.544444,0.904589,1.0,oracle_over_retrievers,40,400,90,13,proximity,0.5,0.948618,2048
0.466667,4,16,0.007807,0.034451,pairwise,0.939784,indexed,0.522222,0.905333,0.355556,static_indexed,40,400,90,17,learned,0.5,0.931978,2048
0.511111,4,16,-0.000694,0.02595,pairwise,0.931283,proximity,0.522222,0.905333,0.377778,static_proximity,40,400,90,17,learned,0.5,0.931978,2048
0.5,4,16,-0.000226,0.026418,pairwise,0.931751,interaction,0.522222,0.905333,0.244444,static_interaction,40,400,90,17,learned,0.5,0.931978,2048
0.5,4,16,0.0,0.026644,pairwise,0.931978,learned,0.522222,0.905333,0.022222,static_learned,40,400,90,17,learned,0.5,0.931978,2048
0.522222,4,16,-0.026644,0.0,pairwise,0.905333,oracle,0.522222,0.905333,1.0,oracle_over_retrievers,40,400,90,17,learned,0.5,0.931978,2048
0.488889,4,16,0.008675,0.043594,pairwise,0.979695,indexed,0.588889,0.9361,0.444444,static_indexed,40,400,90,19,proximity,0.5,0.971019,2048
0.5,4,16,0.0,0.034919,pairwise,0.971019,proximity,0.588889,0.9361,0.388889,static_proximity,40,400,90,19,proximity,0.5,0.971019,2048
