best_mode,budget,causal_k,indexed_correct,indexed_loss,indexed_pair_density,indexed_selected_hand,indexed_selected_obstacles,interaction_correct,interaction_loss,interaction_pair_density,interaction_selected_hand,interaction_selected_obstacles,label,learned_correct,learned_is_oracle,learned_loss,learned_pair_density,learned_selected_hand,learned_selected_obstacles,oracle_correct,oracle_loss,proximity_correct,proximity_loss,proximity_pair_density,proximity_selected_hand,proximity_selected_obstacles,sample_index,seed,split,static_mode_from_validation,teacher_is_oracle,total_objects_n
indexed,4,8,0,1.69616,0.0,1,0,0,1.737882,1.0,1,2,0,0,0,1.737882,1.0,1,2,0,1.69616,0,1.732774,0.0,1,2,0,11,test,interaction,0,2048
proximity,4,8,1,0.729806,0.0,1,0,1,0.707778,1.0,1,2,1,1,0,0.707778,1.0,1,2,1,0.703496,1,0.703496,0.666667,0,3,1,11,test,interaction,0,2048
proximity,4,8,0,1.029,0.0,1,0,0,1.001306,0.0,1,2,2,0,0,1.001306,0.0,1,2,0,0.969722,0,0.969722,0.0,1,1,2,11,test,interaction,0,2048
learned,4,8,1,0.890751,0.0,1,0,1,0.84795,1.0,1,2,0,1,1,0.839857,0.0,1,2,1,0.839857,1,0.887233,0.0,0,2,3,11,test,interaction,0,2048
proximity,4,8,1,0.749989,0.0,1,0,1,0.72275,1.0,1,2,1,1,0,0.722998,0.0,1,2,1,0.721351,1,0.721351,0.0,1,2,4,11,test,interaction,0,2048
indexed,4,8,0,1.114242,0.0,1,0,0,1.115624,0.0,1,2,2,0,0,1.115624,0.0,1,2,0,1.114242,0,1.115624,0.0,1,2,5,11,test,interaction,0,2048
proximity,4,8,0,1.717505,0.0,1,0,0,1.725387,1.0,1,2,0,0,0,1.709013,0.0,1,2,0,1.663253,0,1.663253,0.0,0,2,6,11,test,interaction,0,2048
indexed,4,8,0,1.189965,0.0,1,0,0,1.247266,1.0,1,2,1,0,0,1.244754,1.0,1,2,0,1.189965,0,1.24207,0.0,1,1,7,11,test,interaction,0,2048
proximity,4,8,0,1.087826,0.0,1,0,0,1.148495,0.0,1,2,2,0,0,1.148495,0.0,1,2,0,1.073086,0,1.073086,0.0,0,3,8,11,test,interaction,0,2048
proximity,4,8,1,0.597035,0.0,1,0,1,0.588105,1.0,1,2,0,1,0,0.588105,1.0,1,2,1,0.561978,1,0.561978,0.0,0,3,9,11,test,interaction,0,2048
interaction,4,8,1,0.786405,0.0,1,0,1,0.718958,1.0,1,2,1,1,0,0.718958,1.0,1,2,1,0.718958,1,0.728597,0.0,1,2,10,11,test,interaction,1,2048
proximity,4,8,0,1.122974,0.0,1,0,0,1.12474,0.0,1,2,2,0,0,1.12474,0.0,1,2,0,1.112017,0,1.112017,0.0,0,2,11,11,test,interaction,0,2048
indexed,4,8,0,1.599073,0.0,1,0,0,1.638627,1.0,1,2,0,0,0,1.638627,1.0,1,2,0,1.599073,0,1.612199,0.333333,0,3,12,11,test,interaction,0,2048
interaction,4,8,1,0.706757,0.0,1,0,1,0.697221,1.0,1,2,1,1,0,0.699518,0.0,1,2,1,0.697221,1,0.708034,0.333333,0,3,13,11,test,interaction,1,2048
indexed,4,8,0,1.114633,0.0,1,0,0,1.130074,0.0,1,2,2,0,0,1.130074,0.0,1,2,0,1.114633,0,1.130074,0.0,1,2,14,11,test,interaction,0,2048
learned,4,8,1,0.617742,0.0,1,0,1,0.617195,0.0,1,2,0,1,1,0.606865,0.0,1,2,1,0.606865,1,0.649363,0.0,0,2,15,11,test,interaction,0,2048
proximity,4,8,1,0.716399,0.0,1,0,1,0.684765,1.0,1,2,1,1,0,0.684376,1.0,1,2,1,0.675048,1,0.675048,1.0,0,2,16,11,test,interaction,0,2048
proximity,4,8,0,1.11316,0.0,1,0,0,1.105415,0.0,1,2,2,0,0,1.105415,0.0,1,2,0,1.093109,0,1.093109,0.0,0,2,17,11,test,interaction,0,2048
