accuracy,budget,causal_k,excess_over_oracle,interaction_mode,loss,oracle_accuracy,oracle_loss,oracle_match_rate,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.511111,4,8,0.021765,pairwise,0.967022,0.511111,0.945257,0.355556,static_indexed,40,600,400,0.005,,11,1.0,0.0,0.0,0.0,interaction,90,2048,0.979589,180,0.981704
0.511111,4,8,0.021379,pairwise,0.966635,0.511111,0.945257,0.322222,static_proximity,40,600,400,0.005,,11,0.0,0.0,0.0,1.0,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.026044,pairwise,0.971301,0.511111,0.945257,0.277778,static_interaction,40,600,400,0.005,,11,0.0,1.0,0.0,0.0,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.025249,pairwise,0.970506,0.511111,0.945257,0.044444,static_learned,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.026044,pairwise,0.971301,0.511111,0.945257,0.277778,static_validation_choice,40,600,400,0.005,,11,0.0,1.0,0.0,0.0,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.021781,pairwise,0.967038,0.511111,0.945257,0.333333,deployed_reranker,40,600,400,0.005,,11,0.177778,0.433333,0.0,0.388889,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.021781,pairwise,0.967038,0.511111,0.945257,0.333333,validation_safe_reranker,40,600,400,0.005,1,11,0.177778,0.433333,0.0,0.388889,interaction,90,2048,0.979589,180,0.981704
0.5,4,8,0.026044,pairwise,0.971301,0.511111,0.945257,0.277778,margin_safe_reranker,40,600,400,0.005,0,11,0.0,1.0,0.0,0.0,interaction,90,2048,0.979589,180,0.981704
0.511111,4,8,0.0,pairwise,0.945257,0.511111,0.945257,1.0,oracle_over_retrievers,40,600,400,0.005,,11,0.355556,0.277778,0.044444,0.322222,interaction,90,2048,0.979589,180,0.981704
0.455556,4,8,0.021177,pairwise,0.989433,0.511111,0.968257,0.522222,static_indexed,40,600,400,0.005,,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.97413,180,0.979049
0.455556,4,8,0.026101,pairwise,0.994358,0.511111,0.968257,0.266667,static_proximity,40,600,400,0.005,,13,0.0,0.0,0.0,1.0,indexed,90,2048,0.97413,180,0.979049
0.466667,4,8,0.028113,pairwise,0.99637,0.511111,0.968257,0.2,static_interaction,40,600,400,0.005,,13,0.0,1.0,0.0,0.0,indexed,90,2048,0.97413,180,0.979049
0.455556,4,8,0.028097,pairwise,0.996354,0.511111,0.968257,0.011111,static_learned,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,indexed,90,2048,0.97413,180,0.979049
0.455556,4,8,0.021177,pairwise,0.989433,0.511111,0.968257,0.522222,static_validation_choice,40,600,400,0.005,,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.97413,180,0.979049
0.477778,4,8,0.013444,pairwise,0.981701,0.511111,0.968257,0.633333,deployed_reranker,40,600,400,0.005,,13,0.733333,0.0,0.0,0.266667,indexed,90,2048,0.97413,180,0.979049
0.477778,4,8,0.013444,pairwise,0.981701,0.511111,0.968257,0.633333,validation_safe_reranker,40,600,400,0.005,1,13,0.733333,0.0,0.0,0.266667,indexed,90,2048,0.97413,180,0.979049
0.455556,4,8,0.021177,pairwise,0.989433,0.511111,0.968257,0.522222,margin_safe_reranker,40,600,400,0.005,0,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.97413,180,0.979049
0.511111,4,8,0.0,pairwise,0.968257,0.511111,0.968257,1.0,oracle_over_retrievers,40,600,400,0.005,,13,0.522222,0.2,0.011111,0.266667,indexed,90,2048,0.97413,180,0.979049
0.466667,4,8,0.019307,pairwise,0.982193,0.511111,0.962886,0.355556,static_indexed,40,600,400,0.005,,17,1.0,0.0,0.0,0.0,learned,90,2048,0.958838,180,0.958614
0.488889,4,8,0.014234,pairwise,0.977119,0.511111,0.962886,0.266667,static_proximity,40,600,400,0.005,,17,0.0,0.0,0.0,1.0,learned,90,2048,0.958838,180,0.958614
0.5,4,8,0.013696,pairwise,0.976582,0.511111,0.962886,0.355556,static_interaction,40,600,400,0.005,,17,0.0,1.0,0.0,0.0,learned,90,2048,0.958838,180,0.958614
0.5,4,8,0.013478,pairwise,0.976364,0.511111,0.962886,0.022222,static_learned,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,learned,90,2048,0.958838,180,0.958614
0.5,4,8,0.013478,pairwise,0.976364,0.511111,0.962886,0.022222,static_validation_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,learned,90,2048,0.958838,180,0.958614
0.488889,4,8,0.013647,pairwise,0.976533,0.511111,0.962886,0.3,deployed_reranker,40,600,400,0.005,,17,0.144444,0.111111,0.0,0.744444,learned,90,2048,0.958838,180,0.958614
0.5,4,8,0.013478,pairwise,0.976364,0.511111,0.962886,0.022222,validation_safe_reranker,40,600,400,0.005,0,17,0.0,0.0,1.0,0.0,learned,90,2048,0.958838,180,0.958614
0.5,4,8,0.013478,pairwise,0.976364,0.511111,0.962886,0.022222,margin_safe_reranker,40,600,400,0.005,0,17,0.0,0.0,1.0,0.0,learned,90,2048,0.958838,180,0.958614
0.511111,4,8,0.0,pairwise,0.962886,0.511111,0.962886,1.0,oracle_over_retrievers,40,600,400,0.005,,17,0.355556,0.355556,0.022222,0.266667,learned,90,2048,0.958838,180,0.958614
0.511111,4,8,0.025892,pairwise,0.999732,0.622222,0.973841,0.5,static_indexed,40,600,400,0.005,,19,1.0,0.0,0.0,0.0,interaction,90,2048,0.953467,180,0.968328
0.522222,4,8,0.029262,pairwise,1.003103,0.622222,0.973841,0.3,static_proximity,40,600,400,0.005,,19,0.0,0.0,0.0,1.0,interaction,90,2048,0.953467,180,0.968328
0.533333,4,8,0.028924,pairwise,1.002764,0.622222,0.973841,0.177778,static_interaction,40,600,400,0.005,,19,0.0,1.0,0.0,0.0,interaction,90,2048,0.953467,180,0.968328
0.533333,4,8,0.028959,pairwise,1.002799,0.622222,0.973841,0.022222,static_learned,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,interaction,90,2048,0.953467,180,0.968328
0.533333,4,8,0.028924,pairwise,1.002764,0.622222,0.973841,0.177778,static_validation_choice,40,600,400,0.005,,19,0.0,1.0,0.0,0.0,interaction,90,2048,0.953467,180,0.968328
0.588889,4,8,0.014818,pairwise,0.988658,0.622222,0.973841,0.555556,deployed_reranker,40,600,400,0.005,,19,0.677778,0.0,0.0,0.322222,interaction,90,2048,0.953467,180,0.968328
0.588889,4,8,0.014818,pairwise,0.988658,0.622222,0.973841,0.555556,validation_safe_reranker,40,600,400,0.005,1,19,0.677778,0.0,0.0,0.322222,interaction,90,2048,0.953467,180,0.968328
0.588889,4,8,0.014818,pairwise,0.988658,0.622222,0.973841,0.555556,margin_safe_reranker,40,600,400,0.005,1,19,0.677778,0.0,0.0,0.322222,interaction,90,2048,0.953467,180,0.968328
0.622222,4,8,0.0,pairwise,0.973841,0.622222,0.973841,1.0,oracle_over_retrievers,40,600,400,0.005,,19,0.5,0.177778,0.022222,0.3,interaction,90,2048,0.953467,180,0.968328
0.544444,4,8,0.037345,pairwise,0.997574,0.6,0.960229,0.533333,static_indexed,40,600,400,0.005,,23,1.0,0.0,0.0,0.0,indexed,90,2048,1.000918,180,1.00984
0.511111,4,8,0.040922,pairwise,1.001151,0.6,0.960229,0.255556,static_proximity,40,600,400,0.005,,23,0.0,0.0,0.0,1.0,indexed,90,2048,1.000918,180,1.00984
0.544444,4,8,0.036391,pairwise,0.99662,0.6,0.960229,0.177778,static_interaction,40,600,400,0.005,,23,0.0,1.0,0.0,0.0,indexed,90,2048,1.000918,180,1.00984
0.544444,4,8,0.035906,pairwise,0.996135,0.6,0.960229,0.033333,static_learned,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,indexed,90,2048,1.000918,180,1.00984
