model,threshold,feature_count,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1
interaction_density,0.05,1,0.261111,1.0,0.261111,0.5,0.261111,1.0,0.41382
interaction_density,0.1,1,0.261111,0.990741,0.266667,0.501283,0.261718,0.992424,0.413909
interaction_density,0.15,1,0.261111,0.838889,0.32963,0.488378,0.255858,0.821515,0.389995
interaction_density,0.2,1,0.261111,0.294444,0.577778,0.476952,0.222971,0.262728,0.240632
interaction_density,0.3,1,0.261111,0.005555,0.733333,0.49621,0.0,0.0,0.0
mlp_sparse_diagnostics,0.02,12,0.261111,0.005555,0.740741,0.505385,0.333334,0.013333,0.025641
mlp_sparse_diagnostics,0.05,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.1,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.15,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.2,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.3,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.4,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_sparse_diagnostics,0.5,12,0.261111,0.0,0.738889,0.5,0.0,0.0,0.0
mlp_state,0.02,7,0.261111,0.8,0.37963,0.526714,0.275593,0.840606,0.414756
mlp_state,0.05,7,0.261111,0.731482,0.425925,0.543335,0.285255,0.796061,0.419397
mlp_state,0.1,7,0.261111,0.65,0.474074,0.557074,0.296346,0.735151,0.422167
mlp_state,0.15,7,0.261111,0.6,0.505556,0.566684,0.305254,0.699091,0.42463
mlp_state,0.2,7,0.261111,0.555556,0.527778,0.568227,0.308644,0.656364,0.419778
mlp_state,0.3,7,0.261111,0.492592,0.542593,0.550512,0.300685,0.567879,0.393153
mlp_state,0.4,7,0.261111,0.416667,0.559259,0.525084,0.284189,0.453939,0.349402
mlp_state,0.5,7,0.261111,0.361111,0.585185,0.525489,0.287239,0.399697,0.333983
