budget,causal_k,causal_recall,edge_hit_rate,hand_hit_rate,mean_selected,obstacle_recall,samples,selected_obstacle_pair_density,selected_obstacles,selection_mode,table_hit_rate,total_objects_n
4,8,0.5,1.0,1.0,4,0.0,256,0.0,0,indexed,1.0,2048
4,8,0.5,0.253906,0.398438,4,0.561523,256,0.253906,2.246094,proximity,0.101562,2048
4,8,0.5,0.0,1.0,4,0.5,256,0.625,2,interaction,0.0,2048
8,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,indexed,1.0,2048
8,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,proximity,1.0,2048
8,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,interaction,1.0,2048
16,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,indexed,1.0,2048
16,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,proximity,1.0,2048
16,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,interaction,1.0,2048
32,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,indexed,1.0,2048
32,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,proximity,1.0,2048
32,8,1.0,1.0,1.0,8,1.0,256,0.156901,4,interaction,1.0,2048
4,16,0.25,1.0,1.0,4,0.0,256,0.0,0,indexed,1.0,2048
4,16,0.25,0.164062,0.332031,4,0.208659,256,0.550781,2.503906,proximity,0.0,2048
4,16,0.25,0.0,1.0,4,0.166667,256,0.8125,2,interaction,0.0,2048
8,16,0.5,1.0,1.0,8,0.333333,256,0.158203,4,indexed,1.0,2048
8,16,0.5,0.246094,0.421875,8,0.51888,256,0.284728,6.226562,proximity,0.105469,2048
8,16,0.5,0.0,1.0,8,0.5,256,0.389844,6,interaction,0.0,2048
16,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,indexed,1.0,2048
16,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,proximity,1.0,2048
16,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,interaction,1.0,2048
32,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,indexed,1.0,2048
32,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,proximity,1.0,2048
32,16,1.0,1.0,1.0,16,1.0,256,0.156842,12,interaction,1.0,2048
4,32,0.125,1.0,1.0,4,0.0,256,0.0,0,indexed,1.0,2048
4,32,0.125,0.109375,0.300781,4,0.092494,256,0.799479,2.589844,proximity,0.0,2048
4,32,0.125,0.0,1.0,4,0.071429,256,0.902344,2,interaction,0.0,2048
8,32,0.25,1.0,1.0,8,0.142857,256,0.167969,4,indexed,1.0,2048
8,32,0.25,0.171875,0.347656,8,0.231166,256,0.521726,6.472656,proximity,0.007812,2048
8,32,0.25,0.0,1.0,8,0.214286,256,0.651563,6,interaction,0.0,2048
16,32,0.5,1.0,1.0,16,0.428571,256,0.157611,12,indexed,1.0,2048
16,32,0.5,0.234375,0.441406,16,0.507533,256,0.292743,14.210938,proximity,0.113281,2048
16,32,0.5,0.0,1.0,16,0.5,256,0.327224,14,interaction,0.0,2048
32,32,1.0,1.0,1.0,32,1.0,256,0.157655,28,indexed,1.0,2048
32,32,1.0,1.0,1.0,32,1.0,256,0.157655,28,proximity,1.0,2048
32,32,1.0,1.0,1.0,32,1.0,256,0.157655,28,interaction,1.0,2048
