K,threshold,accuracy,dense_compute,dense_mix,ms
8,0.05,0.561111,1.0,0.148018,2.362328
8,0.1,0.555555,0.755556,0.126567,1.843002
8,0.15,0.555555,0.366667,0.078716,1.766158
8,0.2,0.494444,0.166666,0.044131,1.998602
8,0.3,0.466666,0.038888,0.01416,1.70859
16,0.05,0.594445,1.0,0.163989,2.643576
16,0.1,0.616667,0.988889,0.162921,2.554146
16,0.15,0.611111,0.572223,0.107923,3.386734
16,0.2,0.566666,0.166666,0.038408,3.410835
16,0.3,0.516667,0.005555,0.001767,2.913558
32,0.05,0.722222,1.0,0.176156,4.726975
32,0.1,0.722222,1.0,0.176156,4.248343
32,0.15,0.711111,0.822222,0.150817,4.925318
32,0.2,0.577778,0.205556,0.044215,5.306774
32,0.3,0.472222,0.0,0.0,4.630118
