"adversarial_distractors","background_objects","balanced_labels","branch_accuracy","causal_k","causal_recall_mean","checkpoint","cuda_peak_mb","dense_compute_ratio","hidden_dim","index_depth","interaction_dense_threshold","interaction_mode","layers","local_dense_ratio","majority_accuracy","model","ms_per_sample_forward","mse","params","pre_tensor_indexed","seed","selected_k_mean","selector_confidence_mean","sparse_ratio","status","total_objects_n","train_loss"
"0","2040","True","0.566667","8","1.0","","22.067871","1.0","128","1","0.05","pairwise","1","0.147149","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.318373","0.027641","248366","True","11","8.0","0.51148","0.852851","ok","2048","1.077449"
"0","2040","True","0.555556","8","1.0","","22.067871","1.0","128","1","0.05","pairwise","1","0.148887","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.406283","0.023883","248366","True","13","8.0","0.408342","0.851113","ok","2048","0.929582"
"0","2032","True","0.6","16","1.0","","22.475098","1.0","128","1","0.05","pairwise","1","0.163102","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.07265","0.018769","248366","True","11","16.0","0.461868","0.836898","ok","2048","0.653527"
"0","2032","True","0.588889","16","1.0","","22.475098","1.0","128","1","0.05","pairwise","1","0.164876","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.214503","0.021311","248366","True","13","16.0","0.398273","0.835124","ok","2048","0.720618"
"0","2016","True","0.755556","32","1.0","","23.365234","1.0","128","1","0.05","pairwise","1","0.176722","0.333333","wpu-cws-indexed-selective-interaction-hybrid","5.559453","0.017097","248366","True","11","32.0","0.505446","0.823278","ok","2048","0.90218"
"0","2016","True","0.688889","32","1.0","","23.365234","1.0","128","1","0.05","pairwise","1","0.175591","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.894497","0.009402","248366","True","13","32.0","0.246801","0.824409","ok","2048","0.941839"
"0","2040","True","0.577778","8","1.0","","22.067871","0.766667","128","1","0.1","pairwise","1","0.126756","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.773377","0.029825","248366","True","11","8.0","0.523197","0.873244","ok","2048","1.097656"
"0","2040","True","0.533333","8","1.0","","22.067871","0.744444","128","1","0.1","pairwise","1","0.126379","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.912627","0.019057","248366","True","13","8.0","0.538206","0.873621","ok","2048","1.046329"
"0","2032","True","0.633333","16","1.0","","22.475098","1.0","128","1","0.1","pairwise","1","0.163102","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.190423","0.031572","248366","True","11","16.0","0.295638","0.836898","ok","2048","0.706615"
"0","2032","True","0.6","16","1.0","","22.475098","0.977778","128","1","0.1","pairwise","1","0.162741","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.91787","0.021476","248366","True","13","16.0","0.39891","0.837259","ok","2048","0.731499"
"0","2016","True","0.755556","32","1.0","","23.365234","1.0","128","1","0.1","pairwise","1","0.176722","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.889557","0.017097","248366","True","11","32.0","0.505446","0.823278","ok","2048","0.90218"
"0","2016","True","0.688889","32","1.0","","23.365234","1.0","128","1","0.1","pairwise","1","0.175591","0.333333","wpu-cws-indexed-selective-interaction-hybrid","4.60713","0.009402","248366","True","13","32.0","0.246801","0.824409","ok","2048","0.941839"
"0","2040","True","0.577778","8","1.0","","22.067871","0.344444","128","1","0.15","pairwise","1","0.073812","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.27918","0.017521","248366","True","11","8.0","0.543149","0.926188","ok","2048","1.114749"
"0","2040","True","0.533333","8","1.0","","22.067871","0.388889","128","1","0.15","pairwise","1","0.083621","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.253137","0.019614","248366","True","13","8.0","0.464407","0.916379","ok","2048","0.958742"
"0","2032","True","0.611111","16","1.0","","22.239258","0.588889","128","1","0.15","pairwise","1","0.109009","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.535167","0.01366","248366","True","11","16.0","0.344642","0.890991","ok","2048","0.721641"
"0","2032","True","0.611111","16","1.0","","22.239258","0.555556","128","1","0.15","pairwise","1","0.106837","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.2383","0.026667","248366","True","13","16.0","0.413828","0.893163","ok","2048","0.779802"
"0","2016","True","0.711111","32","1.0","","22.989746","0.811111","128","1","0.15","pairwise","1","0.149752","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.867613","0.023236","248366","True","11","32.0","0.373575","0.850248","ok","2048","0.811138"
"0","2016","True","0.711111","32","1.0","","23.114746","0.833333","128","1","0.15","pairwise","1","0.151882","0.333333","wpu-cws-indexed-selective-interaction-hybrid","5.983023","0.033617","248366","True","13","32.0","0.257704","0.848118","ok","2048","0.944941"
"0","2040","True","0.522222","8","1.0","","22.067871","0.133333","128","1","0.2","pairwise","1","0.037387","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.008877","0.023706","248366","True","11","8.0","0.473057","0.962613","ok","2048","1.075798"
"0","2040","True","0.466667","8","1.0","","22.067871","0.2","128","1","0.2","pairwise","1","0.050875","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.988327","0.023822","248366","True","13","8.0","0.68083","0.949125","ok","2048","0.995103"
"0","2032","True","0.522222","16","1.0","","22.239258","0.144444","128","1","0.2","pairwise","1","0.032893","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.735173","0.016724","248366","True","11","16.0","0.246706","0.967107","ok","2048","0.828928"
"0","2032","True","0.611111","16","1.0","","22.239258","0.188889","128","1","0.2","pairwise","1","0.043924","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.086497","0.022974","248366","True","13","16.0","0.369012","0.956076","ok","2048","0.996074"
"0","2016","True","0.566667","32","1.0","","22.588379","0.211111","128","1","0.2","pairwise","1","0.045507","0.333333","wpu-cws-indexed-selective-interaction-hybrid","5.21392","0.01606","248366","True","11","32.0","0.416175","0.954493","ok","2048","0.848612"
"0","2016","True","0.588889","32","1.0","","22.614258","0.2","128","1","0.2","pairwise","1","0.042923","0.333333","wpu-cws-indexed-selective-interaction-hybrid","5.399627","0.017502","248366","True","13","32.0","0.289964","0.957077","ok","2048","0.94474"
"0","2040","True","0.488889","8","1.0","","21.311523","0.044444","128","1","0.3","pairwise","1","0.016355","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.744093","0.014071","248366","True","11","8.0","0.448631","0.983645","ok","2048","1.063107"
"0","2040","True","0.444444","8","1.0","","21.311523","0.033333","128","1","0.3","pairwise","1","0.011965","0.333333","wpu-cws-indexed-selective-interaction-hybrid","1.673087","0.017865","248366","True","13","8.0","0.535326","0.988035","ok","2048","1.047077"
"0","2032","True","0.466667","16","1.0","","21.48291","0.0","128","1","0.3","pairwise","1","0.0","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.958573","0.011755","248366","True","11","16.0","0.210707","1.0","ok","2048","0.797928"
"0","2032","True","0.566667","16","1.0","","21.48291","0.011111","128","1","0.3","pairwise","1","0.003535","0.333333","wpu-cws-indexed-selective-interaction-hybrid","2.868543","0.034923","248366","True","13","16.0","0.47757","0.996465","ok","2048","0.946334"
"0","2016","True","0.466667","32","1.0","","20.319336","0.0","128","1","0.3","pairwise","1","0.0","0.333333","wpu-cws-indexed-selective-interaction-hybrid","5.583453","0.008549","248366","True","11","32.0","0.253129","1.0","ok","2048","0.965111"
"0","2016","True","0.477778","32","1.0","","20.319336","0.0","128","1","0.3","pairwise","1","0.0","0.333333","wpu-cws-indexed-selective-interaction-hybrid","3.676783","0.014171","248366","True","13","32.0","0.223949","1.0","ok","2048","1.122175"
