adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,56,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N64_K8_D0_seed11.pt,132.265625,512,2,0.333333,wpu-cws-frontier,2.339884,9.8e-05,6853655,11,8.0,ok,64,1.105286
0,56,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-frontier,2.166849,3.8e-05,6853655,13,8.0,ok,64,1.115179
0,56,True,0.603333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N64_K8_D0_seed17.pt,132.140625,512,2,0.333333,wpu-cws-frontier,2.302215,0.000219,6853655,17,8.0,ok,64,1.075625
0,56,True,0.64,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N64_K8_D0_seed19.pt,132.140625,512,2,0.333333,wpu-cws-frontier,2.40721,0.00024,6853655,19,8.0,ok,64,0.373902
0,56,True,0.793333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N64_K8_D0_seed23.pt,132.140625,512,2,0.333333,wpu-cws-frontier,2.258411,0.000224,6853655,23,8.0,ok,64,0.55359
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed11.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.94886,6e-05,6853655,11,16.0,ok,64,1.105248
0,56,True,0.72,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.953479,0.00163,6853655,13,16.0,ok,64,0.618062
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed17.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.913036,0.003626,6853655,17,16.0,ok,64,1.424078
0,56,True,0.65,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed19.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.91456,0.00057,6853655,19,16.0,ok,64,0.284818
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed23.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.911526,0.000439,6853655,23,16.0,ok,64,1.2265
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed11.pt,132.265625,512,2,0.333333,wpu-cws-oracle,1.04061,9.8e-05,6853655,11,8.0,ok,64,1.105286
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-oracle,1.054189,3.8e-05,6853655,13,8.0,ok,64,1.115179
0,56,True,0.603333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed17.pt,132.265625,512,2,0.333333,wpu-cws-oracle,0.971492,0.000219,6853655,17,8.0,ok,64,1.075625
0,56,True,0.64,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed19.pt,132.140625,512,2,0.333333,wpu-cws-oracle,0.964438,0.00024,6853655,19,8.0,ok,64,0.373902
0,56,True,0.793333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed23.pt,132.140625,512,2,0.333333,wpu-cws-oracle,0.973771,0.000224,6853655,23,8.0,ok,64,0.55359
0,120,True,0.653333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N128_K8_D0_seed11.pt,139.214844,512,2,0.333333,wpu-cws-frontier,2.177776,0.000176,6853655,11,8.0,ok,128,1.097963
0,120,True,0.766667,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N128_K8_D0_seed13.pt,139.214844,512,2,0.333333,wpu-cws-frontier,2.190357,3.9e-05,6853655,13,8.0,ok,128,0.583433
0,120,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N128_K8_D0_seed17.pt,139.214844,512,2,0.333333,wpu-cws-frontier,2.204221,2e-05,6853655,17,8.0,ok,128,1.064484
0,120,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N128_K8_D0_seed19.pt,139.214844,512,2,0.333333,wpu-cws-frontier,2.404358,2.8e-05,6853655,19,8.0,ok,128,1.098564
0,120,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N128_K8_D0_seed23.pt,139.214844,512,2,0.333333,wpu-cws-frontier,2.186046,1.7e-05,6853655,23,8.0,ok,128,1.105712
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed11.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.907216,3.2e-05,6853655,11,16.0,ok,128,1.096459
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed13.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.571069,5.9e-05,6853655,13,16.0,ok,128,1.105344
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed17.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.795495,3.9e-05,6853655,17,16.0,ok,128,1.101254
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed19.pt,136.339844,512,2,0.333333,wpu-cws-learned,2.309309,5.1e-05,6853655,19,16.0,ok,128,1.097957
0,120,True,0.696667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed23.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.734221,6.4e-05,6853655,23,16.0,ok,128,0.911735
0,120,True,0.653333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-oracle_N128_K8_D0_seed11.pt,138.339844,512,2,0.333333,wpu-cws-oracle,1.961149,0.000176,6853655,11,8.0,ok,128,1.097963
0,120,True,0.766667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-oracle_N128_K8_D0_seed13.pt,137.339844,512,2,0.333333,wpu-cws-oracle,1.69904,3.9e-05,6853655,13,8.0,ok,128,0.583433
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-oracle_N128_K8_D0_seed17.pt,137.339844,512,2,0.333333,wpu-cws-oracle,2.170278,2e-05,6853655,17,8.0,ok,128,1.064484
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-oracle_N128_K8_D0_seed19.pt,137.339844,512,2,0.333333,wpu-cws-oracle,1.942029,2.8e-05,6853655,19,8.0,ok,128,1.098564
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-oracle_N128_K8_D0_seed23.pt,137.339844,512,2,0.333333,wpu-cws-oracle,1.79763,1.7e-05,6853655,23,8.0,ok,128,1.105712
0,248,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N256_K8_D0_seed11.pt,151.36377,512,2,0.333333,wpu-cws-frontier,2.629924,2.4e-05,6853655,11,8.0,ok,256,1.266622
0,248,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N256_K8_D0_seed13.pt,151.36377,512,2,0.333333,wpu-cws-frontier,2.514585,3.8e-05,6853655,13,8.0,ok,256,1.105307
0,248,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N256_K8_D0_seed17.pt,151.36377,512,2,0.333333,wpu-cws-frontier,2.481159,1.5e-05,6853655,17,8.0,ok,256,1.043442
0,248,True,0.456667,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N256_K8_D0_seed19.pt,151.36377,512,2,0.333333,wpu-cws-frontier,2.546929,6.1e-05,6853655,19,8.0,ok,256,1.161983
0,248,True,0.333333,8,1.0,artifacts/wpu_v2_selector_gap_frontier/checkpoints/wpu-cws-frontier_N256_K8_D0_seed23.pt,151.36377,512,2,0.333333,wpu-cws-frontier,2.508794,1.5e-05,6853655,23,8.0,ok,256,1.09731
0,248,True,0.65,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N256_K8_D0_seed11.pt,149.48877,512,2,0.333333,wpu-cws-learned,2.054546,3.5e-05,6853655,11,16.0,ok,256,0.674478
0,248,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N256_K8_D0_seed13.pt,149.48877,512,2,0.333333,wpu-cws-learned,1.979746,3.4e-05,6853655,13,16.0,ok,256,1.159843
0,248,True,0.686667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N256_K8_D0_seed17.pt,149.48877,512,2,0.333333,wpu-cws-learned,1.862881,2.1e-05,6853655,17,16.0,ok,256,0.506985
0,248,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N256_K8_D0_seed19.pt,149.48877,512,2,0.333333,wpu-cws-learned,1.812061,1.5e-05,6853655,19,16.0,ok,256,1.09371
