model,test_seed,threshold,samples,feature_count,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
mlp_state,11,0.02,270,7,0.455556,0.992593,0.462963,0.506803,0.458955,1.0,0.629156,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.05,270,7,0.455556,0.955556,0.492593,0.53335,0.472868,0.99187,0.64042,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.1,270,7,0.455556,0.918518,0.507407,0.544964,0.479839,0.96748,0.641509,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.15,270,7,0.455556,0.87037,0.503704,0.536917,0.476596,0.910569,0.625698,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.2,270,7,0.455556,0.818519,0.533333,0.562137,0.493213,0.886179,0.633721,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.3,270,7,0.455556,0.740741,0.537037,0.558902,0.495,0.804878,0.613003,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.4,270,7,0.455556,0.644444,0.588889,0.602539,0.534483,0.756098,0.626263,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state,11,0.5,270,7,0.455556,0.537037,0.62963,0.63398,0.57931,0.682927,0.626866,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state_cal_balanced_accuracy,11,0.5,270,7,0.455556,0.537037,0.62963,0.63398,0.57931,0.682927,0.626866,0.559071,0.660583,0.629036,0.272851,0.214879
mlp_state_cal_f1,11,0.4,270,7,0.455556,0.644444,0.588889,0.602539,0.534483,0.756098,0.626263,0.559071,0.660583,0.629036,0.272851,0.214879
interaction_density,11,0.05,270,1,0.455556,1.0,0.455556,0.5,0.455556,1.0,0.625954,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density,11,0.1,270,1,0.455556,0.988889,0.466667,0.510204,0.460674,1.0,0.630769,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density,11,0.15,270,1,0.455556,0.848148,0.511111,0.542393,0.480349,0.894309,0.625,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density,11,0.2,270,1,0.455556,0.281481,0.537037,0.517753,0.486842,0.300813,0.371859,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density,11,0.3,270,1,0.455556,0.007407,0.551852,0.50813,1.0,0.01626,0.032,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density_cal_balanced_accuracy,11,0.15,270,1,0.455556,0.848148,0.511111,0.542393,0.480349,0.894309,0.625,0.182101,0.547038,0.493422,0.32084,0.275622
interaction_density_cal_f1,11,0.02,270,1,0.455556,1.0,0.455556,0.5,0.455556,1.0,0.625954,0.182101,0.547038,0.493422,0.32084,0.275622
mlp_sparse_diagnostics,11,0.02,270,12,0.455556,0.737037,0.57037,0.592169,0.517588,0.837398,0.639752,0.507517,0.662851,0.594014,0.311931,0.278608
mlp_sparse_diagnostics,11,0.05,270,12,0.455556,0.688889,0.581481,0.599054,0.526882,0.796748,0.634304,0.507517,0.662851,0.594014,0.311931,0.278608
mlp_sparse_diagnostics,11,0.1,270,12,0.455556,0.640741,0.614815,0.628339,0.554913,0.780488,0.648649,0.507517,0.662851,0.594014,0.311931,0.278608
mlp_sparse_diagnostics,11,0.15,270,12,0.455556,0.618519,0.622222,0.633815,0.562874,0.764228,0.648276,0.507517,0.662851,0.594014,0.311931,0.278608
mlp_sparse_diagnostics,11,0.2,270,12,0.455556,0.603704,0.62963,0.639954,0.570552,0.756098,0.65035,0.507517,0.662851,0.594014,0.311931,0.278608
