model,threshold,feature_count,seeds,samples,threshold_mean,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
interaction_density,0.05,1,2,540,0.05,0.538889,1.0,0.538889,0.5,0.538889,1.0,0.696538,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density,0.1,1,2,540,0.1,0.538889,0.990741,0.540741,0.502126,0.540038,0.994047,0.696119,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density,0.15,1,2,540,0.15,0.538889,0.838889,0.551852,0.527586,0.554906,0.866797,0.672194,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density,0.2,1,2,540,0.2,0.538889,0.294444,0.455556,0.466947,0.490409,0.272431,0.349276,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density,0.3,1,2,540,0.3,0.538889,0.005555,0.466666,0.505553,1.0,0.011106,0.021917,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density_cal_balanced_accuracy,calibrated,1,2,540,0.15,0.538889,0.838889,0.551852,0.527586,0.554906,0.866797,0.672194,0.182243,0.489731,0.533705,0.376623,0.357729
interaction_density_cal_f1,calibrated,1,2,540,0.06,0.538889,0.996296,0.535185,0.497024,0.537479,0.994047,0.693711,0.182243,0.489731,0.533705,0.376623,0.357729
mlp_sparse_diagnostics,0.02,12,2,540,0.02,0.538889,0.85,0.577778,0.531203,0.56264,0.888937,0.689035,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.05,12,2,540,0.05,0.538889,0.816666,0.574074,0.527205,0.563441,0.853731,0.678854,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.1,12,2,540,0.1,0.538889,0.788889,0.587037,0.538872,0.575875,0.839649,0.682994,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.15,12,2,540,0.15,0.538889,0.775926,0.588889,0.540122,0.579056,0.828542,0.681281,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.2,12,2,540,0.2,0.538889,0.766667,0.590741,0.541703,0.582089,0.821502,0.680783,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.3,12,2,540,0.3,0.538889,0.738889,0.588889,0.539525,0.586286,0.793336,0.673034,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.4,12,2,540,0.4,0.538889,0.714815,0.57963,0.531846,0.585445,0.764373,0.661655,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics,0.5,12,2,540,0.5,0.538889,0.681481,0.575926,0.528466,0.586354,0.7259,0.646063,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics_cal_balanced_accuracy,calibrated,12,2,540,0.45,0.538889,0.690741,0.574074,0.524089,0.584492,0.731853,0.646829,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_sparse_diagnostics_cal_f1,calibrated,12,2,540,0.4,0.538889,0.714815,0.57963,0.531846,0.585445,0.764373,0.661655,0.67484,0.529167,0.575094,0.368924,0.348017
mlp_state,0.02,7,2,540,0.02,0.538889,0.959259,0.531481,0.501213,0.539478,0.96131,0.685392,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.05,7,2,540,0.05,0.538889,0.909259,0.540741,0.516763,0.547593,0.927482,0.681806,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.1,7,2,540,0.1,0.538889,0.868518,0.544444,0.524408,0.552137,0.894454,0.675511,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.15,7,2,540,0.15,0.538889,0.824074,0.540741,0.52371,0.552584,0.848141,0.662055,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.2,7,2,540,0.2,0.538889,0.766667,0.557407,0.546474,0.56785,0.812137,0.660351,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.3,7,2,540,0.3,0.538889,0.681482,0.564815,0.562802,0.583809,0.738749,0.642811,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.4,7,2,540,0.4,0.538889,0.603703,0.590741,0.592324,0.612636,0.690549,0.641257,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state,0.5,7,2,540,0.5,0.538889,0.511111,0.624075,0.631941,0.663701,0.63313,0.641192,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state_cal_balanced_accuracy,calibrated,7,2,540,0.5,0.538889,0.511111,0.624075,0.631941,0.663701,0.63313,0.641192,0.511344,0.653208,0.714077,0.27767,0.205572
mlp_state_cal_f1,calibrated,7,2,540,0.45,0.538889,0.564814,0.603704,0.616221,0.641288,0.669716,0.640891,0.511344,0.653208,0.714077,0.27767,0.205572
