causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,0,1.73547387,0,0.08392358,1.83306026,0.28051573,pairwise,0.19605634,0.00377208,0,11,0.43408117,0,0.22266579,1.0467658,1.65155029,0.0599148,0.53626341,0.52886301,0.0,2048
8,1,0,1,0,0.74120748,0,-0.08078003,1.8134954,0.20969675,pairwise,0.23528282,0.03159432,1,11,0.43955716,1,0.20544209,1.04474938,0.82198751,0.06915838,0.53683639,0.67246807,0.0,2048
8,0,0,0,0,1.22495174,0,0.10378504,1.61342621,0.18111314,pairwise,0.22726679,0.01389086,2,11,0.45815885,0,0.16804799,1.0539825,1.12116671,0.13225952,0.54708648,0.51389086,0.0,2048
8,1,0,1,1,0.74469662,1,-0.51077676,1.64964163,0.11444648,pairwise,0.32255369,0.04843605,3,11,0.38884702,0,0.15165482,1.09045386,1.25547338,0.06263503,0.54428846,0.95156395,0.0,2048
8,1,0,1,0,0.81894279,0,-0.03364182,1.78464544,0.18187377,pairwise,0.20965396,0.05016771,4,11,0.42631167,1,0.18914437,1.05285478,0.8525846,0.05209178,0.53802097,0.56683922,0.0,2048
8,0,0,0,0,1.10002828,0,0.11518931,1.80122232,0.12431349,pairwise,0.21602252,0.06210125,5,11,0.43832928,0,0.21163958,1.04368591,0.98483896,0.06482995,0.53716111,0.72447288,0.0,2048
8,0,0,0,0,1.87011933,0,0.10564125,1.87561071,0.10638529,pairwise,0.25815699,0.05529992,6,11,0.47263619,0,0.24291927,1.02410889,1.76447809,0.11654854,0.53415954,0.85536212,0.0,2048
8,0,0,0,0,1.38410616,0,0.362409,1.67299056,0.21155702,pairwise,0.18965463,0.03269,7,11,0.39838204,0,0.16094732,1.07764292,1.02169716,0.03839856,0.54289436,0.91727108,0.0,2048
8,0,0,0,0,1.14818311,0,0.13218856,1.63926375,0.1579112,pairwise,0.21264049,0.00609666,8,11,0.36995244,0,0.15467983,1.08860207,1.01599455,0.00791025,0.54526705,0.69321299,0.0,2048
8,1,0,1,0,0.26371166,0,-0.28786549,1.5502243,0.11635999,pairwise,0.26697016,0.04254218,9,11,0.57604063,1,0.23062199,0.95472598,0.55157715,0.29839817,0.55349636,0.64635205,0.0,2048
8,0,0,1,0,0.95008922,0,0.00413311,1.74851167,0.23795798,pairwise,0.19686672,0.00127123,10,11,0.38830814,1,0.18645357,1.07015634,0.94595611,0.00125712,0.53973615,0.57553113,0.0,2048
8,0,0,0,0,1.27347112,0,0.20612955,1.94299364,0.12402688,pairwise,0.2928257,0.06172222,11,11,0.49596915,0,0.28981805,1.00818002,1.06734157,0.15204757,0.53152502,0.93827778,0.0,2048
