model,test_seed,threshold,samples,feature_count,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
mlp_state,11,0.02,270,7,0.155556,0.811111,0.307407,0.541353,0.16895,0.880952,0.283525,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.05,270,7,0.155556,0.744444,0.359259,0.552632,0.174129,0.833333,0.288066,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.1,270,7,0.155556,0.662963,0.418519,0.558584,0.178771,0.761905,0.289593,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.15,270,7,0.155556,0.625926,0.448148,0.566416,0.183432,0.738095,0.293839,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.2,270,7,0.155556,0.566667,0.477778,0.545113,0.176471,0.642857,0.276923,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.3,270,7,0.155556,0.488889,0.533333,0.548872,0.181818,0.571429,0.275862,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.4,270,7,0.155556,0.448148,0.574074,0.572995,0.198347,0.571429,0.294479,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state,11,0.5,270,7,0.155556,0.385185,0.637037,0.610276,0.230769,0.571429,0.328767,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state_cal_balanced_accuracy,11,0.5,270,7,0.155556,0.385185,0.637037,0.610276,0.230769,0.571429,0.328767,0.366703,0.60589,0.247472,0.247662,0.272086
mlp_state_cal_f1,11,0.5,270,7,0.155556,0.385185,0.637037,0.610276,0.230769,0.571429,0.328767,0.366703,0.60589,0.247472,0.247662,0.272086
interaction_density,11,0.05,270,1,0.155556,1.0,0.155556,0.5,0.155556,1.0,0.269231,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density,11,0.1,270,1,0.155556,0.988889,0.166667,0.506579,0.157303,1.0,0.271845,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density,11,0.15,270,1,0.155556,0.848148,0.255556,0.491228,0.152838,0.833333,0.258303,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density,11,0.2,270,1,0.155556,0.281481,0.62963,0.460213,0.118421,0.214286,0.152542,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density,11,0.3,270,1,0.155556,0.007407,0.837037,0.495614,0.0,0.0,0.0,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density_cal_balanced_accuracy,11,0.15,270,1,0.155556,0.848148,0.255556,0.491228,0.152838,0.833333,0.258303,0.182101,0.418129,0.140103,0.13532,0.03307
interaction_density_cal_f1,11,0.1,270,1,0.155556,0.988889,0.166667,0.506579,0.157303,1.0,0.271845,0.182101,0.418129,0.140103,0.13532,0.03307
mlp_sparse_diagnostics,11,0.02,270,12,0.155556,0.485185,0.581481,0.635652,0.229008,0.714286,0.346821,0.296748,0.693922,0.256624,0.255861,0.252096
mlp_sparse_diagnostics,11,0.05,270,12,0.155556,0.433333,0.633333,0.666353,0.25641,0.714286,0.377358,0.296748,0.693922,0.256624,0.255861,0.252096
mlp_sparse_diagnostics,11,0.1,270,12,0.155556,0.407407,0.637037,0.639411,0.245455,0.642857,0.355263,0.296748,0.693922,0.256624,0.255861,0.252096
mlp_sparse_diagnostics,11,0.15,270,12,0.155556,0.388889,0.640741,0.62218,0.238095,0.595238,0.340136,0.296748,0.693922,0.256624,0.255861,0.252096
mlp_sparse_diagnostics,11,0.2,270,12,0.155556,0.366667,0.655556,0.621241,0.242424,0.571429,0.340426,0.296748,0.693922,0.256624,0.255861,0.252096
mlp_sparse_diagnostics,11,0.3,270,12,0.155556,0.337037,0.677778,0.624687,0.252747,0.547619,0.345865,0.296748,0.693922,0.256624,0.255861,0.252096
