model,threshold,feature_count,seeds,samples,threshold_mean,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
interaction_density,0.05,1,2,540,0.05,0.207408,1.0,0.207408,0.5,0.207408,1.0,0.340498,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density,0.1,1,2,540,0.1,0.207408,0.990741,0.216667,0.50579,0.209249,1.0,0.343023,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density,0.15,1,2,540,0.15,0.207408,0.838889,0.305556,0.5049,0.210348,0.845238,0.333233,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density,0.2,1,2,540,0.2,0.207408,0.294444,0.590741,0.453499,0.155596,0.221429,0.180846,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density,0.3,1,2,540,0.3,0.207408,0.005555,0.787037,0.496557,0.0,0.0,0.0,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density_cal_balanced_accuracy,calibrated,1,2,540,0.125,0.207408,0.92037,0.261111,0.498114,0.207016,0.916667,0.336252,0.182243,0.440636,0.190322,0.167526,0.064375
interaction_density_cal_f1,calibrated,1,2,540,0.1,0.207408,0.990741,0.216667,0.50579,0.209249,1.0,0.343023,0.182243,0.440636,0.190322,0.167526,0.064375
mlp_sparse_diagnostics,0.02,12,2,540,0.02,0.207408,0.242592,0.661111,0.567826,0.114504,0.357143,0.17341,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.05,12,2,540,0.05,0.207408,0.216667,0.687037,0.583176,0.128205,0.357143,0.188679,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.1,12,2,540,0.1,0.207408,0.203704,0.688889,0.569705,0.122728,0.321429,0.177631,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.15,12,2,540,0.15,0.207408,0.194444,0.690741,0.56109,0.119048,0.297619,0.170068,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.2,12,2,540,0.2,0.207408,0.183334,0.698149,0.56062,0.121212,0.285714,0.170213,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.3,12,2,540,0.3,0.207408,0.168518,0.709259,0.562343,0.126373,0.273809,0.172932,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.4,12,2,540,0.4,0.207408,0.151852,0.718519,0.558114,0.128049,0.25,0.169355,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics,0.5,12,2,540,0.5,0.207408,0.146296,0.720371,0.554354,0.126582,0.238095,0.16529,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics_cal_balanced_accuracy,calibrated,12,2,540,0.5,0.207408,0.146296,0.720371,0.554354,0.126582,0.238095,0.16529,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_sparse_diagnostics_cal_f1,calibrated,12,2,540,0.5,0.207408,0.146296,0.720371,0.554354,0.126582,0.238095,0.16529,0.148374,0.626068,0.291976,0.25756,0.255678
mlp_state,0.02,7,2,540,0.02,0.207408,0.764814,0.368518,0.543355,0.226227,0.833333,0.350096,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.05,7,2,540,0.05,0.207408,0.688889,0.411111,0.543994,0.227415,0.759524,0.343203,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.1,7,2,540,0.1,0.207408,0.594445,0.453704,0.530185,0.219667,0.645238,0.319325,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.15,7,2,540,0.15,0.207408,0.555555,0.485185,0.54303,0.229121,0.62619,0.326024,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.2,7,2,540,0.2,0.207408,0.509259,0.509259,0.533985,0.22758,0.564285,0.315545,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.3,7,2,540,0.3,0.207408,0.431482,0.561111,0.542829,0.239424,0.5,0.313369,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.4,7,2,540,0.4,0.207408,0.388889,0.592592,0.555426,0.250859,0.478571,0.317051,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state,0.5,7,2,540,0.5,0.207408,0.333333,0.644444,0.585495,0.286437,0.471429,0.342465,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state_cal_balanced_accuracy,calibrated,7,2,540,0.5,0.207408,0.333333,0.644444,0.585495,0.286437,0.471429,0.342465,0.329217,0.592445,0.301254,0.255282,0.262304
mlp_state_cal_f1,calibrated,7,2,540,0.5,0.207408,0.333333,0.644444,0.585495,0.286437,0.471429,0.342465,0.329217,0.592445,0.301254,0.255282,0.262304
