model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
mlp_state_regret,11,7,0.0,270,-0.000514,-0.002475,0.050448,0.173638,0.013546,0.452768,0.503704,0.455556,0.964139,0.998063,0.997548,0.904137,-0.033924,0.060002,0.481481,0.488889,0.455556,0.559259
mlp_state_regret,11,7,0.02,270,-0.000514,-0.002475,0.050448,0.173638,0.013546,0.452768,0.448148,0.448148,0.975191,0.998063,1.017548,0.913152,-0.022872,0.062039,0.474074,0.488889,0.455556,0.559259
mlp_state_regret,11,7,0.05,270,-0.000514,-0.002475,0.050448,0.173638,0.013546,0.452768,0.381481,0.433333,0.982034,0.998063,1.047548,0.926254,-0.016029,0.05578,0.477778,0.488889,0.455556,0.559259
mlp_state_regret,11,7,0.1,270,-0.000514,-0.002475,0.050448,0.173638,0.013546,0.452768,0.303704,0.388889,0.992241,0.998063,1.097548,0.947064,-0.005822,0.045178,0.485185,0.488889,0.455556,0.559259
mlp_state_regret,11,7,0.2,270,-0.000514,-0.002475,0.050448,0.173638,0.013546,0.452768,0.148148,0.222222,0.996557,0.998063,1.197548,0.976096,-0.001505,0.020462,0.485185,0.488889,0.455556,0.559259
mlp_sparse_diagnostics_regret,11,12,0.0,270,-0.000514,-0.59131,2.293039,1.252569,-43.837494,0.003326,0.659259,0.455556,0.995361,0.998063,0.997548,0.904137,-0.002701,0.091224,0.451852,0.488889,0.455556,0.559259
mlp_sparse_diagnostics_regret,11,12,0.02,270,-0.000514,-0.59131,2.293039,1.252569,-43.837494,0.003326,0.659259,0.448148,1.008547,0.998063,1.017548,0.913152,0.010484,0.095395,0.451852,0.488889,0.455556,0.559259
mlp_sparse_diagnostics_regret,11,12,0.05,270,-0.000514,-0.59131,2.293039,1.252569,-43.837494,0.003326,0.651852,0.433333,1.027109,0.998063,1.047548,0.926254,0.029046,0.100855,0.451852,0.488889,0.455556,0.559259
mlp_sparse_diagnostics_regret,11,12,0.1,270,-0.000514,-0.59131,2.293039,1.252569,-43.837494,0.003326,0.648148,0.388889,1.060395,0.998063,1.097548,0.947064,0.062332,0.113332,0.451852,0.488889,0.455556,0.559259
mlp_sparse_diagnostics_regret,11,12,0.2,270,-0.000514,-0.59131,2.293039,1.252569,-43.837494,0.003326,0.62963,0.222222,1.121544,0.998063,1.197548,0.976096,0.123481,0.145448,0.448148,0.488889,0.455556,0.559259
mlp_state_regret,13,7,0.0,270,-0.009984,-4.5e-05,0.084486,0.216098,0.048109,0.364279,0.392593,0.622222,0.917517,0.971029,0.961046,0.859743,-0.053513,0.057774,0.522222,0.518519,0.466667,0.611111
mlp_state_regret,13,7,0.02,270,-0.009984,-4.5e-05,0.084486,0.216098,0.048109,0.364279,0.318519,0.574074,0.92601,0.971029,0.981046,0.871747,-0.045019,0.054263,0.52963,0.518519,0.466667,0.611111
mlp_state_regret,13,7,0.05,270,-0.009984,-4.5e-05,0.084486,0.216098,0.048109,0.364279,0.244444,0.518519,0.935943,0.971029,1.011046,0.888222,-0.035086,0.047721,0.525926,0.518519,0.466667,0.611111
mlp_state_regret,13,7,0.1,270,-0.009984,-4.5e-05,0.084486,0.216098,0.048109,0.364279,0.192593,0.411111,0.951152,0.971029,1.061046,0.911328,-0.019877,0.039824,0.518519,0.518519,0.466667,0.611111
mlp_state_regret,13,7,0.2,270,-0.009984,-4.5e-05,0.084486,0.216098,0.048109,0.364279,0.118519,0.259259,0.967549,0.971029,1.161046,0.944308,-0.00348,0.023241,0.514815,0.518519,0.466667,0.611111
mlp_sparse_diagnostics_regret,13,12,0.0,270,-0.009984,-0.400947,0.710935,0.688156,-7.009958,-0.244788,0.703704,0.622222,0.992881,0.971029,0.961046,0.859743,0.021851,0.133138,0.47037,0.518519,0.466667,0.611111
mlp_sparse_diagnostics_regret,13,12,0.02,270,-0.009984,-0.400947,0.710935,0.688156,-7.009958,-0.244788,0.696296,0.574074,1.005924,0.971029,0.981046,0.871747,0.034895,0.134177,0.474074,0.518519,0.466667,0.611111
mlp_sparse_diagnostics_regret,13,12,0.05,270,-0.009984,-0.400947,0.710935,0.688156,-7.009958,-0.244788,0.696296,0.518519,1.026813,0.971029,1.011046,0.888222,0.055784,0.138591,0.474074,0.518519,0.466667,0.611111
mlp_sparse_diagnostics_regret,13,12,0.1,270,-0.009984,-0.400947,0.710935,0.688156,-7.009958,-0.244788,0.659259,0.411111,1.06103,0.971029,1.061046,0.911328,0.090001,0.149702,0.47037,0.518519,0.466667,0.611111
mlp_sparse_diagnostics_regret,13,12,0.2,270,-0.009984,-0.400947,0.710935,0.688156,-7.009958,-0.244788,0.6,0.259259,1.115433,0.971029,1.161046,0.944308,0.144404,0.171126,0.474074,0.518519,0.466667,0.611111
