model,compute_cost,seeds,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
mlp_sparse_diagnostics_regret,0.0,2,540,-0.005249,-0.496128,1.501987,0.970363,-25.423726,-0.120731,0.681482,0.994121,0.984546,0.979297,0.88194,0.009575,0.112181,0.461111,0.503704,0.461112,0.585185
mlp_sparse_diagnostics_regret,0.02,2,540,-0.005249,-0.496128,1.501987,0.970363,-25.423726,-0.120731,0.677778,1.007236,0.984546,0.999297,0.89245,0.02269,0.114786,0.462963,0.503704,0.461112,0.585185
mlp_sparse_diagnostics_regret,0.05,2,540,-0.005249,-0.496128,1.501987,0.970363,-25.423726,-0.120731,0.674074,1.026961,0.984546,1.029297,0.907238,0.042415,0.119723,0.462963,0.503704,0.461112,0.585185
mlp_sparse_diagnostics_regret,0.1,2,540,-0.005249,-0.496128,1.501987,0.970363,-25.423726,-0.120731,0.653703,1.060712,0.984546,1.079297,0.929196,0.076166,0.131517,0.461111,0.503704,0.461112,0.585185
mlp_sparse_diagnostics_regret,0.2,2,540,-0.005249,-0.496128,1.501987,0.970363,-25.423726,-0.120731,0.614815,1.118488,0.984546,1.179297,0.960202,0.133942,0.158287,0.461111,0.503704,0.461112,0.585185
mlp_state_regret,0.0,2,540,-0.005249,-0.00126,0.067467,0.194868,0.030828,0.408524,0.448149,0.940828,0.984546,0.979297,0.88194,-0.043719,0.058888,0.501852,0.503704,0.461112,0.585185
mlp_state_regret,0.02,2,540,-0.005249,-0.00126,0.067467,0.194868,0.030828,0.408524,0.383333,0.9506,0.984546,0.999297,0.89245,-0.033946,0.058151,0.501852,0.503704,0.461112,0.585185
mlp_state_regret,0.05,2,540,-0.005249,-0.00126,0.067467,0.194868,0.030828,0.408524,0.312963,0.958989,0.984546,1.029297,0.907238,-0.025558,0.051751,0.501852,0.503704,0.461112,0.585185
mlp_state_regret,0.1,2,540,-0.005249,-0.00126,0.067467,0.194868,0.030828,0.408524,0.248148,0.971696,0.984546,1.079297,0.929196,-0.012849,0.042501,0.501852,0.503704,0.461112,0.585185
mlp_state_regret,0.2,2,540,-0.005249,-0.00126,0.067467,0.194868,0.030828,0.408524,0.133333,0.982053,0.984546,1.179297,0.960202,-0.002492,0.021852,0.5,0.503704,0.461112,0.585185
