causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,retriever_steps,retriever_train_k_values,retriever_train_samples_per_k,route_threshold,rule,samples,seed,selection_mode,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
8,0.05,1.031112,0.991225,0.991225,32,0.02,sparse,0.0,128,1.011438,0.155556,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.883175,initial_calibrated_regret,0.488889,-0.041122,0.051028,0.934203,40,80,400,"8,16,32",160,0.0,none,90,11,learned_interaction_global,0.975325,ok,0.155556,2048,90
8,0.05,1.031112,0.991225,0.991225,32,0.02,sparse,1.0,128,1.011438,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.883175,always_expand_sparse,0.522222,0.0159,0.10805,0.991225,40,80,400,"8,16,32",160,0.0,always,90,11,learned_interaction_global,0.975325,ok,1.0,2048,90
8,0.05,1.031112,1.031112,0.991225,32,0.02,dense,1.0,128,1.011438,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.885144,always_expand_dense,0.466667,0.055787,0.145968,1.031112,40,80,400,"8,16,32",160,0.0,always,90,11,learned_interaction_global,0.975325,ok,1.0,2048,90
8,0.05,1.031112,0.991225,0.991225,32,0.02,sparse,0.0,128,1.011438,0.155556,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.883175,structured_expansion_gate,0.488889,-0.041122,0.051028,0.934203,40,80,400,"8,16,32",160,0.0,none,90,11,learned_interaction_global,0.975325,ok,0.155556,2048,90
8,0.05,1.031112,0.991225,0.991225,32,0.02,sparse,0.0,128,1.011438,0.155556,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.883175,physical_expansion_gate,0.488889,-0.041122,0.051028,0.934203,40,80,400,"8,16,32",160,0.0,none,90,11,learned_interaction_global,0.975325,ok,0.155556,2048,90
8,0.05,1.031112,1.031112,0.991225,32,0.02,dense,0.0,128,1.011438,0.155556,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.885144,structured_dense_expansion_gate,0.488889,-0.041122,0.049058,0.934203,40,80,400,"8,16,32",160,0.0,none,90,11,learned_interaction_global,0.975325,ok,0.155556,2048,90
8,0.05,1.031112,1.031112,0.991225,32,0.02,dense,0.0,128,1.011438,0.155556,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.885144,physical_dense_expansion_gate,0.488889,-0.041122,0.049058,0.934203,40,80,400,"8,16,32",160,0.0,none,90,11,learned_interaction_global,0.975325,ok,0.155556,2048,90
16,0.05,1.087039,1.00685,1.00685,32,0.02,sparse,0.0,128,1.068161,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.893259,initial_calibrated_regret,0.477778,-0.044648,0.044407,0.937665,40,80,400,"8,16,32",160,-0.002261,none,90,11,learned_interaction_global,0.982313,ok,0.244444,2048,90
16,0.05,1.087039,1.00685,1.00685,32,0.02,sparse,1.0,128,1.068161,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.893259,always_expand_sparse,0.477778,0.024537,0.113592,1.00685,40,80,400,"8,16,32",160,-0.002261,always,90,11,learned_interaction_global,0.982313,ok,1.0,2048,90
16,0.05,1.087039,1.087039,1.00685,32,0.02,dense,1.0,128,1.068161,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.898512,always_expand_dense,0.388889,0.104726,0.188527,1.087039,40,80,400,"8,16,32",160,-0.002261,always,90,11,learned_interaction_global,0.982313,ok,1.0,2048,90
16,0.05,1.087039,1.00685,1.00685,32,0.02,sparse,0.0,128,1.068161,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.893259,structured_expansion_gate,0.477778,-0.044648,0.044407,0.937665,40,80,400,"8,16,32",160,-0.002261,none,90,11,learned_interaction_global,0.982313,ok,0.244444,2048,90
16,0.05,1.087039,1.00685,1.00685,32,0.02,sparse,0.0,128,1.068161,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.893259,physical_expansion_gate,0.477778,-0.044648,0.044407,0.937665,40,80,400,"8,16,32",160,-0.002261,none,90,11,learned_interaction_global,0.982313,ok,0.244444,2048,90
16,0.05,1.087039,1.087039,1.00685,32,0.02,dense,0.0,128,1.068161,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.898512,structured_dense_expansion_gate,0.477778,-0.044648,0.039154,0.937665,40,80,400,"8,16,32",160,-0.002261,none,90,11,learned_interaction_global,0.982313,ok,0.244444,2048,90
16,0.05,1.087039,1.087039,1.00685,32,0.02,dense,0.0,128,1.068161,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.898512,physical_dense_expansion_gate,0.477778,-0.044648,0.039154,0.937665,40,80,400,"8,16,32",160,-0.002261,none,90,11,learned_interaction_global,0.982313,ok,0.244444,2048,90
32,0.05,1.113071,1.051481,1.051481,32,0.02,sparse,0.0,128,1.091576,0.188889,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.936742,initial_calibrated_regret,0.477778,-0.05368,0.044722,0.981464,40,80,400,"8,16,32",160,-0.084668,none,90,11,learned_interaction_global,1.035144,ok,0.188889,2048,90
32,0.05,1.113071,1.051481,1.051481,32,0.02,sparse,1.0,128,1.091576,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.936742,always_expand_sparse,0.522222,0.016337,0.114738,1.051481,40,80,400,"8,16,32",160,-0.084668,always,90,11,learned_interaction_global,1.035144,ok,1.0,2048,90
