causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.0,128,1.025595,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,initial_calibrated_regret,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,0.133333,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,1.0,128,1.025595,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,always_expand_sparse,0.5,0.02,0.110651,0.992273,40,80,0.033704,always,90,11,0.972272,ok,1.0,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,1.0,128,1.025595,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,always_expand_dense,0.444444,0.073322,0.163974,1.045595,40,80,0.033704,always,90,11,0.972272,ok,1.0,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.0,128,1.025595,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,structured_expansion_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,0.133333,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.0,128,1.025595,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,physical_expansion_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,0.133333,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,0.0,128,1.025595,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,structured_dense_expansion_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,0.133333,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,0.0,128,1.025595,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.881621,physical_dense_expansion_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,0.133333,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.03991,0.077778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,initial_calibrated_regret,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,0.077778,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,1.0,128,1.03991,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,always_expand_sparse,0.477778,0.02,0.077744,1.0016,40,80,-0.036979,always,90,13,0.9816,ok,1.0,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,1.0,128,1.03991,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,always_expand_dense,0.5,0.07831,0.136053,1.05991,40,80,-0.036979,always,90,13,0.9816,ok,1.0,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.03991,0.077778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,structured_expansion_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,0.077778,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.03991,0.077778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,physical_expansion_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,0.077778,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,0.0,128,1.03991,0.077778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,structured_dense_expansion_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,0.077778,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,0.0,128,1.03991,0.077778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.923856,physical_dense_expansion_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,0.077778,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,initial_calibrated_regret,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,1.0,128,1.054503,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,always_expand_sparse,0.466667,0.02,0.083837,1.021211,40,80,-0.1,always,90,17,1.001211,ok,1.0,2048,90
8,0.05,1.074503,1.074503,1.021211,32,0.02,dense,1.0,128,1.054503,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,always_expand_dense,0.433333,0.073292,0.137129,1.074503,40,80,-0.1,always,90,17,1.001211,ok,1.0,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,structured_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,physical_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
