"causal_k","compute_cost","expanded_dense_loss","expanded_path_loss","expanded_sparse_loss","expanded_working_set_size","expansion_cost","expansion_path","expansion_ratio","hidden_dim","initial_dense_loss","initial_dense_ratio","initial_working_set_size","interaction_mode","layers","max_expansion_rate","model","oracle_loss","policy","policy_accuracy","policy_delta_vs_sparse","policy_excess_over_oracle","policy_loss","propagation_steps","regret_steps","retriever_steps","route_threshold","rule","samples","seed","selection_mode","sparse_loss","status","total_compute_ratio","total_objects_n","validation_samples"
"8","0.05","1.030391","0.992524","0.992524","32","0.02","sparse","0.0","128","1.010944","0.244444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.887824","initial_calibrated_regret","0.488889","-0.038061","0.051094","0.938918","40","80","400","0.089154","none","90","11","learned_interaction","0.976979","ok","0.244444","2048","90"
"8","0.05","1.030391","0.992524","0.992524","32","0.02","sparse","1.0","128","1.010944","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.887824","always_expand_sparse","0.5","0.015544","0.104699","0.992524","40","80","400","0.089154","always","90","11","learned_interaction","0.976979","ok","1.0","2048","90"
"8","0.05","1.030391","1.030391","0.992524","32","0.02","dense","1.0","128","1.010944","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.889797","always_expand_dense","0.488889","0.053412","0.140594","1.030391","40","80","400","0.089154","always","90","11","learned_interaction","0.976979","ok","1.0","2048","90"
"8","0.05","1.030391","0.992524","0.992524","32","0.02","sparse","0.033333","128","1.010944","0.244444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.887824","structured_expansion_gate","0.5","-0.037239","0.051916","0.939741","40","80","400","0.089154","min_pair_distance:ge:0.086333 AND target_x:le:0.638193","90","11","learned_interaction","0.976979","ok","0.277778","2048","90"
"8","0.05","1.030391","0.992524","0.992524","32","0.02","sparse","0.033333","128","1.010944","0.244444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.887824","physical_expansion_gate","0.5","-0.037239","0.051916","0.939741","40","80","400","0.089154","min_pair_distance:ge:0.086333 AND target_x:le:0.638193","90","11","learned_interaction","0.976979","ok","0.277778","2048","90"
"8","0.05","1.030391","1.030391","0.992524","32","0.02","dense","0.033333","128","1.010944","0.244444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.889797","structured_dense_expansion_gate","0.488889","-0.034277","0.052906","0.942703","40","80","400","0.089154","min_pair_distance:ge:0.086333 AND target_x:le:0.638193","90","11","learned_interaction","0.976979","ok","0.277778","2048","90"
"8","0.05","1.030391","1.030391","0.992524","32","0.02","dense","0.033333","128","1.010944","0.244444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.889797","physical_dense_expansion_gate","0.488889","-0.034277","0.052906","0.942703","40","80","400","0.089154","min_pair_distance:ge:0.086333 AND target_x:le:0.638193","90","11","learned_interaction","0.976979","ok","0.277778","2048","90"
"8","0.05","1.045926","1.005801","1.005801","32","0.02","sparse","0.0","128","1.024774","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.937653","initial_calibrated_regret","0.477778","-0.014123","0.036851","0.974505","40","80","400","-0.000856","none","90","13","learned_interaction","0.988628","ok","0.166667","2048","90"
"8","0.05","1.045926","1.005801","1.005801","32","0.02","sparse","1.0","128","1.024774","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.937653","always_expand_sparse","0.444444","0.017174","0.068148","1.005801","40","80","400","-0.000856","always","90","13","learned_interaction","0.988628","ok","1.0","2048","90"
"8","0.05","1.045926","1.045926","1.005801","32","0.02","dense","1.0","128","1.024774","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.939314","always_expand_dense","0.488889","0.057298","0.106611","1.045926","40","80","400","-0.000856","always","90","13","learned_interaction","0.988628","ok","1.0","2048","90"
