model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
mlp_state_regret,11,7,0.02,270,0.01693,0.020272,0.062446,0.198376,0.136469,0.406128,0.381481,0.451852,0.963523,0.997165,1.034095,0.907283,-0.033642,0.05624,0.462963,0.503704,0.414815,0.555556
mlp_state_regret,11,7,0.05,270,0.01693,0.020272,0.062446,0.198376,0.136469,0.406128,0.285185,0.437037,0.963825,0.997165,1.064095,0.920565,-0.033341,0.043259,0.477778,0.503704,0.414815,0.555556
mlp_state_regret,11,7,0.1,270,0.01693,0.020272,0.062446,0.198376,0.136469,0.406128,0.166667,0.366667,0.968227,0.997165,1.114095,0.94024,-0.028938,0.027987,0.503704,0.503704,0.414815,0.555556
mlp_sparse_diagnostics_regret,11,12,0.02,270,0.01693,0.229541,0.191366,0.348006,-1.646298,0.19046,0.233333,0.451852,0.986725,0.997165,1.034095,0.907283,-0.01044,0.079442,0.451852,0.503704,0.414815,0.555556
mlp_sparse_diagnostics_regret,11,12,0.05,270,0.01693,0.229541,0.191366,0.348006,-1.646298,0.19046,0.174074,0.437037,0.992317,0.997165,1.064095,0.920565,-0.004848,0.071752,0.474074,0.503704,0.414815,0.555556
mlp_sparse_diagnostics_regret,11,12,0.1,270,0.01693,0.229541,0.191366,0.348006,-1.646298,0.19046,0.125926,0.366667,0.996727,0.997165,1.114095,0.94024,-0.000438,0.056487,0.477778,0.503704,0.414815,0.555556
mlp_state_selector_regret,11,9,0.02,270,0.01693,-0.01577,0.081135,0.223788,-0.121968,0.240774,0.522222,0.451852,0.992298,0.997165,1.034095,0.907283,-0.004867,0.085016,0.444444,0.503704,0.414815,0.555556
mlp_state_selector_regret,11,9,0.05,270,0.01693,-0.01577,0.081135,0.223788,-0.121968,0.240774,0.407407,0.437037,0.996256,0.997165,1.064095,0.920565,-0.000909,0.07569,0.466667,0.503704,0.414815,0.555556
mlp_state_selector_regret,11,9,0.1,270,0.01693,-0.01577,0.081135,0.223788,-0.121968,0.240774,0.262963,0.366667,0.99929,0.997165,1.114095,0.94024,0.002125,0.05905,0.488889,0.503704,0.414815,0.555556
mlp_state_regret_scalar,11,9,0.02,270,0.01693,0.026654,0.066204,0.211809,0.084498,0.337387,0.366667,0.451852,0.975593,0.997165,1.034095,0.907283,-0.021572,0.068311,0.474074,0.503704,0.414815,0.555556
mlp_state_regret_scalar,11,9,0.05,270,0.01693,0.026654,0.066204,0.211809,0.084498,0.337387,0.244444,0.437037,0.968488,0.997165,1.064095,0.920565,-0.028677,0.047923,0.481481,0.503704,0.414815,0.555556
mlp_state_regret_scalar,11,9,0.1,270,0.01693,0.026654,0.066204,0.211809,0.084498,0.337387,0.122222,0.366667,0.973463,0.997165,1.114095,0.94024,-0.023702,0.033223,0.5,0.503704,0.414815,0.555556
mlp_route_context_regret,11,17,0.02,270,0.01693,0.448058,0.407832,0.532506,-4.639673,0.050487,0.107407,0.451852,1.001551,0.997165,1.034095,0.907283,0.004386,0.094269,0.481481,0.503704,0.414815,0.555556
mlp_route_context_regret,11,17,0.05,270,0.01693,0.448058,0.407832,0.532506,-4.639673,0.050487,0.077778,0.437037,1.00692,0.997165,1.064095,0.920565,0.009755,0.086354,0.481481,0.503704,0.414815,0.555556
mlp_route_context_regret,11,17,0.1,270,0.01693,0.448058,0.407832,0.532506,-4.639673,0.050487,0.062963,0.366667,1.010759,0.997165,1.114095,0.94024,0.013594,0.070519,0.481481,0.503704,0.414815,0.555556
mlp_state_regret,13,7,0.02,270,-0.004662,0.017884,0.088157,0.240336,0.126364,0.362778,0.344444,0.62963,0.94006,0.972575,0.987913,0.862419,-0.032516,0.077641,0.477778,0.477778,0.485185,0.581481
mlp_state_regret,13,7,0.05,270,-0.004662,0.017884,0.088157,0.240336,0.126364,0.362778,0.244444,0.577778,0.951002,0.972575,1.017914,0.880489,-0.021573,0.070513,0.477778,0.477778,0.485185,0.581481
mlp_state_regret,13,7,0.1,270,-0.004662,0.017884,0.088157,0.240336,0.126364,0.362778,0.17037,0.522222,0.963074,0.972575,1.067914,0.908283,-0.009502,0.054791,0.477778,0.477778,0.485185,0.581481
mlp_sparse_diagnostics_regret,13,12,0.02,270,-0.004662,0.038765,0.097685,0.251452,0.031947,0.352434,0.381481,0.62963,0.941308,0.972575,0.987913,0.862419,-0.031267,0.078889,0.485185,0.477778,0.485185,0.581481
mlp_sparse_diagnostics_regret,13,12,0.05,270,-0.004662,0.038765,0.097685,0.251452,0.031947,0.352434,0.3,0.577778,0.956184,0.972575,1.017914,0.880489,-0.016392,0.075694,0.485185,0.477778,0.485185,0.581481
mlp_sparse_diagnostics_regret,13,12,0.1,270,-0.004662,0.038765,0.097685,0.251452,0.031947,0.352434,0.188889,0.522222,0.963247,0.972575,1.067914,0.908283,-0.009328,0.054964,0.477778,0.477778,0.485185,0.581481
mlp_state_selector_regret,13,9,0.02,270,-0.004662,0.063484,0.106676,0.279678,-0.057155,0.259138,0.266667,0.62963,0.951745,0.972575,0.987913,0.862419,-0.02083,0.089326,0.466667,0.477778,0.485185,0.581481
mlp_state_selector_regret,13,9,0.05,270,-0.004662,0.063484,0.106676,0.279678,-0.057155,0.259138,0.2,0.577778,0.962512,0.972575,1.017914,0.880489,-0.010064,0.082022,0.477778,0.477778,0.485185,0.581481
mlp_state_selector_regret,13,9,0.1,270,-0.004662,0.063484,0.106676,0.279678,-0.057155,0.259138,0.148148,0.522222,0.973414,0.972575,1.067914,0.908283,0.000839,0.065132,0.477778,0.477778,0.485185,0.581481
mlp_state_regret_scalar,13,9,0.02,270,-0.004662,0.031484,0.083817,0.228474,0.169379,0.427014,0.325926,0.62963,0.946854,0.972575,0.987913,0.862419,-0.025722,0.084435,0.488889,0.477778,0.485185,0.581481
mlp_state_regret_scalar,13,9,0.05,270,-0.004662,0.031484,0.083817,0.228474,0.169379,0.427014,0.240741,0.577778,0.949418,0.972575,1.017914,0.880489,-0.023158,0.068928,0.481481,0.477778,0.485185,0.581481
mlp_state_regret_scalar,13,9,0.1,270,-0.004662,0.031484,0.083817,0.228474,0.169379,0.427014,0.125926,0.522222,0.962847,0.972575,1.067914,0.908283,-0.009728,0.054564,0.477778,0.477778,0.485185,0.581481
mlp_route_context_regret,13,17,0.02,270,-0.004662,0.12656,0.155728,0.33168,-0.543264,0.208036,0.281481,0.62963,0.961431,0.972575,0.987913,0.862419,-0.011144,0.099013,0.47037,0.477778,0.485185,0.581481
mlp_route_context_regret,13,17,0.05,270,-0.004662,0.12656,0.155728,0.33168,-0.543264,0.208036,0.251852,0.577778,0.970039,0.972575,1.017914,0.880489,-0.002536,0.08955,0.47037,0.477778,0.485185,0.581481
mlp_route_context_regret,13,17,0.1,270,-0.004662,0.12656,0.155728,0.33168,-0.543264,0.208036,0.214815,0.522222,0.982664,0.972575,1.067914,0.908283,0.010089,0.074382,0.47037,0.477778,0.485185,0.581481
mlp_state_regret,17,7,0.02,270,0.013913,-0.001221,0.06398,0.175101,0.24612,0.498889,0.418519,0.607407,0.9767,0.996715,1.030629,0.914135,-0.020016,0.062565,0.507407,0.488889,0.47037,0.574074
mlp_state_regret,17,7,0.05,270,0.013913,-0.001221,0.06398,0.175101,0.24612,0.498889,0.337037,0.577778,0.981536,0.996715,1.060629,0.931785,-0.015179,0.049751,0.503704,0.488889,0.47037,0.574074
mlp_state_regret,17,7,0.1,270,0.013913,-0.001221,0.06398,0.175101,0.24612,0.498889,0.233333,0.418519,0.989202,0.996715,1.110629,0.957319,-0.007513,0.031884,0.485185,0.488889,0.47037,0.574074
mlp_sparse_diagnostics_regret,17,12,0.02,270,0.013913,-0.036478,0.084055,0.208313,0.009577,0.382199,0.555556,0.607407,0.983593,0.996715,1.030629,0.914135,-0.013122,0.069458,0.485185,0.488889,0.47037,0.574074
mlp_sparse_diagnostics_regret,17,12,0.05,270,0.013913,-0.036478,0.084055,0.208313,0.009577,0.382199,0.488889,0.577778,0.995197,0.996715,1.060629,0.931785,-0.001519,0.063412,0.492593,0.488889,0.47037,0.574074
mlp_sparse_diagnostics_regret,17,12,0.1,270,0.013913,-0.036478,0.084055,0.208313,0.009577,0.382199,0.411111,0.418519,1.017332,0.996715,1.110629,0.957319,0.020617,0.060013,0.496296,0.488889,0.47037,0.574074
mlp_state_selector_regret,17,9,0.02,270,0.013913,0.003321,0.067665,0.18126,0.202697,0.451873,0.444444,0.607407,0.969297,0.996715,1.030629,0.914135,-0.027419,0.055162,0.511111,0.488889,0.47037,0.574074
mlp_state_selector_regret,17,9,0.05,270,0.013913,0.003321,0.067665,0.18126,0.202697,0.451873,0.355556,0.577778,0.975092,0.996715,1.060629,0.931785,-0.021623,0.043308,0.5,0.488889,0.47037,0.574074
mlp_state_selector_regret,17,9,0.1,270,0.013913,0.003321,0.067665,0.18126,0.202697,0.451873,0.22963,0.418519,0.99232,0.996715,1.110629,0.957319,-0.004395,0.035001,0.496296,0.488889,0.47037,0.574074
mlp_state_regret_scalar,17,9,0.02,270,0.013913,-0.040312,0.079345,0.2036,0.065067,0.35301,0.540741,0.607407,0.990024,0.996715,1.030629,0.914135,-0.006692,0.075889,0.481481,0.488889,0.47037,0.574074
mlp_state_regret_scalar,17,9,0.05,270,0.013913,-0.040312,0.079345,0.2036,0.065067,0.35301,0.459259,0.577778,0.996773,0.996715,1.060629,0.931785,5.7e-05,0.064988,0.477778,0.488889,0.47037,0.574074
mlp_state_regret_scalar,17,9,0.1,270,0.013913,-0.040312,0.079345,0.2036,0.065067,0.35301,0.325926,0.418519,1.006563,0.996715,1.110629,0.957319,0.009848,0.049244,0.492593,0.488889,0.47037,0.574074
mlp_route_context_regret,17,17,0.02,270,0.013913,-0.072296,0.117975,0.267549,-0.390113,0.330072,0.562963,0.607407,0.992181,0.996715,1.030629,0.914135,-0.004534,0.078046,0.481481,0.488889,0.47037,0.574074
